col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,division
,Representative In The General Assembly 203rd District - Democrat,,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,All
,Dwight Evans,Lamont W Thomas,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Jacquelyn Manns Smalley,Mark Alan Aronchick,Vincent J Hughes,Stephen A Cozen,Jerry T Jordan,Eleanor M Dezzi,Andrew P Toy,Michelle W Singer,Jerome W Mondesire,Nancy Astor Fox,Heather Steinmiller,Raye E Johnson,Joseph C Meade,William S Leopold,All
Dwight Evans,144,0,411,362,342,317,294,277,233,227,222,221,219,221,223,219,215,211,213,All
Lamont W Thomas,,37,161,135,140,129,126,89,82,85,85,86,86,78,77,80,82,80,76,All
Kenyatta J Johnson,,,1,469,462,433,409,351,301,301,297,299,295,290,294,292,293,288,284,All
Blondell Reynolds Brown,,,,1,437,414,398,329,292,292,291,292,281,285,276,283,285,282,275,All
Cindy Bass,,,,,0,421,395,320,292,289,287,292,286,279,281,285,280,280,276,All
Jacquelyn Manns Smalley,,,,,,0,392,300,281,279,285,284,281,279,279,282,281,271,271,All
Mark Alan Aronchick,,,,,,,0,281,274,274,271,273,263,271,264,268,270,267,267,All
Vincent J Hughes,,,,,,,,0,300,296,290,296,287,290,279,284,288,282,283,All
Stephen A Cozen,,,,,,,,,1,285,286,283,273,284,277,283,282,279,276,All
Jerry T Jordan,,,,,,,,,,0,279,281,275,280,271,277,281,276,284,All
Eleanor M Dezzi,,,,,,,,,,,0,283,278,278,278,289,288,274,277,All
Andrew P Toy,,,,,,,,,,,,0,273,277,268,275,282,274,275,All
Michelle W Singer,,,,,,,,,,,,,0,271,276,276,276,266,266,All
Jerome W Mondesire,,,,,,,,,,,,,,0,265,275,277,268,275,All
Nancy Astor Fox,,,,,,,,,,,,,,,1,281,272,271,267,All
Heather Steinmiller,,,,,,,,,,,,,,,,0,281,274,276,All
Raye E Johnson,,,,,,,,,,,,,,,,,0,276,278,All
Joseph C Meade,,,,,,,,,,,,,,,,,,0,271,All
William S Leopold,,,,,,,,,,,,,,,,,,,0,All
Total,621,206,579,502,486,449,426,369,321,317,312,311,308,304,304,302,302,295,294,All
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Representative In The General Assembly 203rd District - Democrat,,6
,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Jacquelyn Manns Smalley,Mark Alan Aronchick,Vincent J Hughes,Stephen A Cozen,Andrew P Toy,Jerry T Jordan,Eleanor M Dezzi,Heather Steinmiller,Jerome W Mondesire,Raye E Johnson,Michelle W Singer,William S Leopold,Joseph C Meade,Nancy Astor Fox,Dwight Evans,Lamont W Thomas,6
Kenyatta J Johnson,0,113,111,104,96,82,71,70,66,65,66,65,66,63,63,63,61,95,44,6
Blondell Reynolds Brown,,0,101,95,95,76,71,68,65,67,65,64,66,59,63,62,60,86,36,6
Cindy Bass,,,0,100,93,72,67,66,62,62,62,61,63,60,61,60,59,72,40,6
Jacquelyn Manns Smalley,,,,0,92,67,63,62,58,60,58,60,60,58,58,55,55,69,36,6
Mark Alan Aronchick,,,,,0,62,62,62,58,58,58,58,59,56,58,57,58,66,34,6
Vincent J Hughes,,,,,,0,70,68,65,66,64,64,66,62,64,61,59,66,21,6
Stephen A Cozen,,,,,,,0,65,65,67,66,64,65,61,63,62,62,54,20,6
Andrew P Toy,,,,,,,,0,61,62,60,61,64,58,62,59,56,52,19,6
Jerry T Jordan,,,,,,,,,0,60,61,61,61,59,62,58,56,50,19,6
Eleanor M Dezzi,,,,,,,,,,0,62,60,64,57,61,57,57,49,19,6
Heather Steinmiller,,,,,,,,,,,0,60,64,60,61,59,59,48,19,6
Jerome W Mondesire,,,,,,,,,,,,0,61,56,60,56,54,49,17,6
Raye E Johnson,,,,,,,,,,,,,0,59,63,59,57,49,18,6
Michelle W Singer,,,,,,,,,,,,,,0,55,53,56,46,20,6
William S Leopold,,,,,,,,,,,,,,,0,57,56,48,17,6
Joseph C Meade,,,,,,,,,,,,,,,,0,57,46,16,6
Nancy Astor Fox,,,,,,,,,,,,,,,,,0,46,17,6
Dwight Evans,,,,,,,,,,,,,,,,,,22,0,6
Lamont W Thomas,,,,,,,,,,,,,,,,,,,9,6
Total,140,124,113,106,101,88,76,72,70,69,68,68,68,66,66,64,63,136,53,6
,Representative In The General Assembly 203rd District - Democrat,,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,17
,Dwight Evans,Lamont W Thomas,Kenyatta J Johnson,Cindy Bass,Blondell Reynolds Brown,Jacquelyn Manns Smalley,Mark Alan Aronchick,Vincent J Hughes,Eleanor M Dezzi,Michelle W Singer,Nancy Astor Fox,Andrew P Toy,Stephen A Cozen,Heather Steinmiller,Jerry T Jordan,Raye E Johnson,Joseph C Meade,William S Leopold,Jerome W Mondesire,17
Dwight Evans,12,0,56,52,51,46,40,39,33,32,32,33,34,32,31,31,29,30,29,17
Lamont W Thomas,,2,23,23,21,20,19,12,13,14,13,12,11,12,12,11,12,10,10,17
Kenyatta J Johnson,,,0,69,66,60,56,47,43,43,43,42,40,41,39,39,40,38,36,17
Cindy Bass,,,,0,68,64,57,45,44,45,43,43,41,42,40,40,40,39,37,17
Blondell Reynolds Brown,,,,,1,60,56,45,40,42,38,42,40,38,39,39,39,38,37,17
Jacquelyn Manns Smalley,,,,,,0,57,39,42,41,42,41,40,42,37,41,39,38,38,17
Mark Alan Aronchick,,,,,,,0,37,38,38,37,38,38,38,37,37,37,37,37,17
Vincent J Hughes,,,,,,,,0,40,42,40,43,41,39,39,39,38,38,38,17
Eleanor M Dezzi,,,,,,,,,0,42,43,42,40,43,38,40,39,39,38,17
Michelle W Singer,,,,,,,,,,0,42,42,39,41,40,41,40,40,38,17
Nancy Astor Fox,,,,,,,,,,,1,40,39,43,37,40,40,38,37,17
Andrew P Toy,,,,,,,,,,,,0,41,41,40,41,39,40,39,17
Stephen A Cozen,,,,,,,,,,,,,0,39,38,39,38,37,38,17
Heather Steinmiller,,,,,,,,,,,,,,0,38,40,39,39,38,17
Jerry T Jordan,,,,,,,,,,,,,,,0,38,37,39,36,17
Raye E Johnson,,,,,,,,,,,,,,,,0,39,39,38,17
Joseph C Meade,,,,,,,,,,,,,,,,,0,38,36,17
William S Leopold,,,,,,,,,,,,,,,,,,0,36,17
Jerome W Mondesire,,,,,,,,,,,,,,,,,,,0,17
Total,79,25,79,75,73,66,59,51,46,46,46,45,45,44,43,42,41,40,39,17
,Representative In The General Assembly 203rd District - Democrat,,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,21
,Dwight Evans,Lamont W Thomas,Kenyatta J Johnson,Cindy Bass,Blondell Reynolds Brown,Jacquelyn Manns Smalley,Mark Alan Aronchick,Vincent J Hughes,Stephen A Cozen,Jerome W Mondesire,Jerry T Jordan,Joseph C Meade,Eleanor M Dezzi,Michelle W Singer,Andrew P Toy,Nancy Astor Fox,Raye E Johnson,Heather Steinmiller,William S Leopold,21
Dwight Evans,33,0,103,90,90,84,76,69,60,59,57,56,56,57,54,56,55,54,53,21
Lamont W Thomas,,10,28,27,26,25,25,20,21,19,21,20,19,18,20,18,19,19,19,21
Kenyatta J Johnson,,,0,112,112,106,100,86,77,75,75,75,75,75,73,74,73,74,72,21
Cindy Bass,,,,0,106,102,97,81,76,74,75,74,73,71,72,70,71,72,70,21
Blondell Reynolds Brown,,,,,0,103,97,82,75,75,74,73,73,71,71,71,72,72,69,21
Jacquelyn Manns Smalley,,,,,,0,98,77,73,73,72,70,71,73,71,72,71,72,70,21
Mark Alan Aronchick,,,,,,,0,74,72,72,72,71,71,70,70,68,72,69,70,21
Vincent J Hughes,,,,,,,,0,77,76,76,74,74,74,72,71,73,72,71,21
Stephen A Cozen,,,,,,,,,0,75,73,74,72,70,70,69,70,71,71,21
Jerome W Mondesire,,,,,,,,,,0,73,71,73,72,70,70,72,71,71,21
Jerry T Jordan,,,,,,,,,,,0,71,71,69,72,69,70,70,70,21
Joseph C Meade,,,,,,,,,,,,0,72,68,70,68,71,70,71,21
Eleanor M Dezzi,,,,,,,,,,,,,0,72,69,71,72,72,71,21
Michelle W Singer,,,,,,,,,,,,,,0,68,70,71,70,69,21
Andrew P Toy,,,,,,,,,,,,,,,0,68,69,68,68,21
