col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,division
,Representative In The General Assembly 203rd District - Democrat,,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,All
,Dwight Evans,Lamont W Thomas,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Jacquelyn Manns Smalley,Mark Alan Aronchick,Vincent J Hughes,Jerome W Mondesire,Stephen A Cozen,Jerry T Jordan,Andrew P Toy,Michelle W Singer,Raye E Johnson,Joseph C Meade,Eleanor M Dezzi,Heather Steinmiller,Nancy Astor Fox,William S Leopold,All
Dwight Evans,"1,929",0,"3,121","2,824","2,676","2,486","2,432","1,926","1,730","1,682","1,674","1,664","1,653","1,658","1,634","1,622","1,608","1,606","1,577",All
Lamont W Thomas,,195,736,647,645,594,590,362,334,337,338,343,334,332,333,339,322,314,316,All
Kenyatta J Johnson,,,4,"3,265","3,187","3,019","2,962","2,183","1,986","1,960","1,960","1,944","1,929","1,956","1,927","1,912","1,896","1,878","1,862",All
Blondell Reynolds Brown,,,,1,"3,053","2,905","2,885","2,113","1,945","1,899","1,916","1,889","1,855","1,880","1,871","1,857","1,836","1,811","1,814",All
Cindy Bass,,,,,0,"2,934","2,856","2,049","1,916","1,898","1,903","1,895","1,857","1,881","1,874","1,870","1,853","1,829","1,818",All
Jacquelyn Manns Smalley,,,,,,1,"2,817","1,931","1,846","1,856","1,825","1,849","1,816","1,847","1,824","1,832","1,808","1,790","1,788",All
Mark Alan Aronchick,,,,,,,2,"1,861","1,804","1,832","1,801","1,817","1,759","1,807","1,799","1,799","1,778","1,740","1,772",All
Vincent J Hughes,,,,,,,,0,"1,968","1,921","1,923","1,921","1,868","1,895","1,896","1,868","1,850","1,807","1,835",All
Jerome W Mondesire,,,,,,,,,0,"1,875","1,842","1,845","1,785","1,830","1,843","1,812","1,795","1,748","1,784",All
Stephen A Cozen,,,,,,,,,,2,"1,842","1,868","1,784","1,862","1,863","1,830","1,819","1,779","1,809",All
Jerry T Jordan,,,,,,,,,,,1,"1,836","1,794","1,865","1,830","1,837","1,828","1,776","1,830",All
Andrew P Toy,,,,,,,,,,,,1,"1,787","1,850","1,853","1,831","1,810","1,751","1,804",All
Michelle W Singer,,,,,,,,,,,,,2,"1,817","1,765","1,809","1,793","1,815","1,754",All
Raye E Johnson,,,,,,,,,,,,,,0,"1,836","1,869","1,857","1,797","1,837",All
Joseph C Meade,,,,,,,,,,,,,,,0,"1,816","1,809","1,756","1,797",All
Eleanor M Dezzi,,,,,,,,,,,,,,,,0,"1,854","1,785","1,814",All
Heather Steinmiller,,,,,,,,,,,,,,,,,0,"1,788","1,805",All
Nancy Astor Fox,,,,,,,,,,,,,,,,,,2,"1,741",All
William S Leopold,,,,,,,,,,,,,,,,,,,0,All
Total,"5,477",999,"3,889","3,495","3,347","3,102","3,050","2,302","2,079","2,040","2,027","2,023","2,008","2,008","1,982","1,976","1,944","1,939","1,908",All
