col_1,col_2,col_3,division
,President Of The United States - Democrat,Representative In Congress 1st District - Democrat,All
,Barack Obama,Robert A Brady,All
Barack Obama,265,611,All
Robert A Brady,,49,All
Total,876,660,All
,President Of The United States - Democrat,Representative In Congress 1st District - Democrat,1
,Barack Obama,Robert A Brady,1
Barack Obama,6,30,1
Robert A Brady,,1,1
Total,36,31,1
,President Of The United States - Democrat,Representative In Congress 1st District - Democrat,2
,Barack Obama,Robert A Brady,2
Barack Obama,9,23,2
Robert A Brady,,5,2
Total,32,28,2
,Representative In Congress 1st District - Democrat,President Of The United States - Democrat,3
,Robert A Brady,Barack Obama,3
Robert A Brady,4,22,3
Barack Obama,,3,3
Total,26,25,3
,President Of The United States - Democrat,Representative In Congress 1st District - Democrat,4
,Barack Obama,Robert A Brady,4
Barack Obama,9,28,4
Robert A Brady,,3,4
Total,37,31,4
,President Of The United States - Democrat,Representative In Congress 1st District - Democrat,5
,Barack Obama,Robert A Brady,5
Barack Obama,8,27,5
Robert A Brady,,1,5
Total,35,28,5
,President Of The United States - Democrat,Representative In Congress 1st District - Democrat,6
,Barack Obama,Robert A Brady,6
Barack Obama,7,19,6
Robert A Brady,,3,6
Total,26,22,6
,Representative In Congress 1st District - Democrat,President Of The United States - Democrat,7
,Robert A Brady,Barack Obama,7
Robert A Brady,5,37,7
Barack Obama,,2,7
Total,42,39,7
,President Of The United States - Democrat,Representative In Congress 1st District - Democrat,8
,Barack Obama,Robert A Brady,8
Barack Obama,8,28,8
Robert A Brady,,1,8
Total,36,29,8
,President Of The United States - Democrat,Representative In Congress 1st District - Democrat,9
,Barack Obama,Robert A Brady,9
Barack Obama,4,30,9
Robert A Brady,,2,9
Total,34,32,9
,President Of The United States - Democrat,Representative In Congress 1st District - Democrat,10
,Barack Obama,Robert A Brady,10
Barack Obama,6,28,10
Robert A Brady,,1,10
Total,34,29,10
,President Of The United States - Democrat,Representative In Congress 1st District - Democrat,11
,Barack Obama,Robert A Brady,11
Barack Obama,1,25,11
Robert A Brady,,1,11
Total,26,26,11
,President Of The United States - Democrat,Representative In Congress 1st District - Democrat,12
,Barack Obama,Robert A Brady,12
Barack Obama,4,31,12
Robert A Brady,,2,12
Total,35,33,12
,President Of The United States - Democrat,Representative In Congress 1st District - Democrat,13
,Barack Obama,Robert A Brady,13
Barack Obama,8,23,13
Robert A Brady,,0,13
Total,31,23,13
,President Of The United States - Democrat,Representative In Congress 1st District - Democrat,14
,Barack Obama,Robert A Brady,14
Barack Obama,5,28,14
Robert A Brady,,0,14
Total,33,28,14
,President Of The United States - Democrat,Representative In Congress 1st District - Democrat,15
,Barack Obama,Robert A Brady,15
Barack Obama,18,35,15
Robert A Brady,,2,15
Total,53,37,15
,President Of The United States - Democrat,Representative In Congress 1st District - Democrat,16
,Barack Obama,Robert A Brady,16
Barack Obama,18,29,16
Robert A Brady,,4,16
Total,47,33,16
,President Of The United States - Democrat,Representative In Congress 1st District - Democrat,17
,Barack Obama,Robert A Brady,17
Barack Obama,11,12,17
Robert A Brady,,1,17
Total,23,13,17
,President Of The United States - Democrat,Representative In Congress 1st District - Democrat,18
,Barack Obama,Robert A Brady,18
Barack Obama,15,20,18
Robert A Brady,,0,18
Total,35,20,18
,President Of The United States - Democrat,Representative In Congress 1st District - Democrat,19
,Barack Obama,Robert A Brady,19
Barack Obama,19,24,19
Robert A Brady,,5,19
Total,43,29,19
,President Of The United States - Democrat,Representative In Congress 1st District - Democrat,20
,Barack Obama,Robert A Brady,20
Barack Obama,17,20,20
Robert A Brady,,2,20
Total,37,22,20
,President Of The United States - Democrat,Representative In Congress 1st District - Democrat,21
,Barack Obama,Robert A Brady,21
Barack Obama,8,10,21
Robert A Brady,,1,21
Total,18,11,21
,President Of The United States - Democrat,Representative In Congress 1st District - Democrat,22
,Barack Obama,Robert A Brady,22
Barack Obama,31,31,22
Robert A Brady,,0,22
Total,62,31,22
,President Of The United States - Democrat,Representative In Congress 1st District - Democrat,23
,Barack Obama,Robert A Brady,23
Barack Obama,32,31,23
Robert A Brady,,2,23
Total,63,33,23
,President Of The United States - Democrat,Representative In Congress 1st District - Democrat,24
,Barack Obama,Robert A Brady,24
Barack Obama,16,20,24
Robert A Brady,,3,24
Total,36,23,24
