col_1,col_2,col_3,division
,President Of The United States - Democrat,Representative In The General Assembly 181st District - Democrat,All
,Barack Obama,W Curtis Thomas,All
Barack Obama,129,887,All
W Curtis Thomas,,27,All
Total,"1,016",914,All
,President Of The United States - Democrat,Representative In The General Assembly 181st District - Democrat,1
,Barack Obama,W Curtis Thomas,1
Barack Obama,11,68,1
W Curtis Thomas,,3,1
Total,79,71,1
,President Of The United States - Democrat,Representative In The General Assembly 181st District - Democrat,2
,Barack Obama,W Curtis Thomas,2
Barack Obama,13,111,2
W Curtis Thomas,,1,2
Total,124,112,2
,President Of The United States - Democrat,Representative In The General Assembly 181st District - Democrat,3
,Barack Obama,W Curtis Thomas,3
Barack Obama,5,116,3
W Curtis Thomas,,1,3
Total,121,117,3
,President Of The United States - Democrat,Representative In The General Assembly 181st District - Democrat,4
,Barack Obama,W Curtis Thomas,4
Barack Obama,13,175,4
W Curtis Thomas,,1,4
Total,188,176,4
,President Of The United States - Democrat,Representative In The General Assembly 181st District - Democrat,5
,Barack Obama,W Curtis Thomas,5
Barack Obama,7,67,5
W Curtis Thomas,,1,5
Total,74,68,5
,President Of The United States - Democrat,Representative In The General Assembly 181st District - Democrat,6
,Barack Obama,W Curtis Thomas,6
Barack Obama,29,53,6
W Curtis Thomas,,2,6
Total,82,55,6
,President Of The United States - Democrat,Representative In The General Assembly 181st District - Democrat,7
,Barack Obama,W Curtis Thomas,7
Barack Obama,6,42,7
W Curtis Thomas,,1,7
Total,48,43,7
,Representative In The General Assembly 181st District - Democrat,President Of The United States - Democrat,8
,W Curtis Thomas,Barack Obama,8
W Curtis Thomas,1,23,8
Barack Obama,,0,8
Total,24,23,8
,Representative In The General Assembly 181st District - Democrat,President Of The United States - Democrat,9
,W Curtis Thomas,Barack Obama,9
W Curtis Thomas,9,61,9
Barack Obama,,8,9
Total,70,69,9
,President Of The United States - Democrat,Representative In The General Assembly 181st District - Democrat,10
,Barack Obama,W Curtis Thomas,10
Barack Obama,14,79,10
W Curtis Thomas,,3,10
Total,93,82,10
,President Of The United States - Democrat,Representative In The General Assembly 181st District - Democrat,11
,Barack Obama,W Curtis Thomas,11
Barack Obama,23,92,11
W Curtis Thomas,,4,11
Total,115,96,11
