col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,Delegate To The Democratic National Convention 13th District,,,,,,,,,Representative In Congress 2nd District - Democrat,All
,Catherine G Scott,D Gregory Holt,Kelly Lynn Devine,Leslie S Richards,Louis J Farinella,Olivia E Brady,Patrick J Eiding,Vince Gillen,Caren Gansman Moskowitz,Chaka Fattah,All
Catherine G Scott,196,"1,021","1,035",635,634,624,615,612,604,0,All
D Gregory Holt,,74,"1,003",604,599,588,582,591,577,0,All
Kelly Lynn Devine,,,56,620,615,602,588,597,591,0,All
Leslie S Richards,,,,9,601,606,579,589,589,0,All
Louis J Farinella,,,,,4,596,594,589,589,0,All
Olivia E Brady,,,,,,5,580,586,590,0,All
Patrick J Eiding,,,,,,,5,577,579,0,All
Vince Gillen,,,,,,,,1,576,0,All
Caren Gansman Moskowitz,,,,,,,,,3,0,All
Chaka Fattah,,,,,,,,,,"1,034",All
Total,"1,320","1,120","1,120",667,655,655,635,633,626,"1,034",All
