col_1,col_2,col_3,col_4,col_5,col_6,division
,Attorney General - Democrat,,Representative In The General Assembly 198th District - Democrat,,,All
,Patrick Murphy,Kathleen G Kane,Rosita C Youngblood,Charisma D Presley,Malik L Boyd,All
Patrick Murphy,11,0,344,117,168,All
Kathleen G Kane,,8,101,190,101,All
Rosita C Youngblood,,,49,0,0,All
Charisma D Presley,,,,52,0,All
Malik L Boyd,,,,,48,All
Total,640,400,494,359,317,All
,Attorney General - Democrat,,Representative In The General Assembly 198th District - Democrat,,,4
,Patrick Murphy,Kathleen G Kane,Rosita C Youngblood,Charisma D Presley,Malik L Boyd,4
Patrick Murphy,1,0,47,6,10,4
Kathleen G Kane,,2,8,19,15,4
Rosita C Youngblood,,,4,0,0,4
Charisma D Presley,,,,4,0,4
Malik L Boyd,,,,,3,4
Total,64,44,59,29,28,4
,Attorney General - Democrat,,Representative In The General Assembly 198th District - Democrat,,,9
,Patrick Murphy,Kathleen G Kane,Rosita C Youngblood,Charisma D Presley,Malik L Boyd,9
Patrick Murphy,1,0,67,33,7,9
Kathleen G Kane,,0,14,42,5,9
Rosita C Youngblood,,,8,0,0,9
Charisma D Presley,,,,13,0,9
Malik L Boyd,,,,,2,9
Total,108,61,89,88,14,9
,Attorney General - Democrat,,Representative In The General Assembly 198th District - Democrat,,,10
,Patrick Murphy,Kathleen G Kane,Malik L Boyd,Rosita C Youngblood,Charisma D Presley,10
Patrick Murphy,2,0,30,25,13,10
Kathleen G Kane,,0,15,13,16,10
Malik L Boyd,,,7,0,0,10
Rosita C Youngblood,,,,4,0,10
Charisma D Presley,,,,,3,10
Total,70,44,52,42,32,10
,Attorney General - Democrat,,Representative In The General Assembly 198th District - Democrat,,,11
,Patrick Murphy,Kathleen G Kane,Rosita C Youngblood,Charisma D Presley,Malik L Boyd,11
Patrick Murphy,0,0,65,4,11,11
Kathleen G Kane,,1,6,11,5,11
Rosita C Youngblood,,,6,0,0,11
Charisma D Presley,,,,2,0,11
Malik L Boyd,,,,,0,11
Total,80,23,77,17,16,11
,Attorney General - Democrat,,Representative In The General Assembly 198th District - Democrat,,,12
,Patrick Murphy,Kathleen G Kane,Rosita C Youngblood,Malik L Boyd,Charisma D Presley,12
Patrick Murphy,0,0,52,30,15,12
Kathleen G Kane,,1,10,16,17,12
Rosita C Youngblood,,,4,0,0,12
Malik L Boyd,,,,7,0,12
Charisma D Presley,,,,,1,12
Total,97,44,66,53,33,12
,Attorney General - Democrat,,Representative In The General Assembly 198th District - Democrat,,,14
,Kathleen G Kane,Patrick Murphy,Rosita C Youngblood,Malik L Boyd,Charisma D Presley,14
Kathleen G Kane,0,0,16,15,16,14
Patrick Murphy,,2,18,12,7,14
Rosita C Youngblood,,,5,0,0,14
Malik L Boyd,,,,6,0,14
Charisma D Presley,,,,,3,14
Total,47,39,39,33,26,14
,Attorney General - Democrat,,Representative In The General Assembly 198th District - Democrat,,,15
,Kathleen G Kane,Patrick Murphy,Malik L Boyd,Charisma D Presley,Rosita C Youngblood,15
Kathleen G Kane,3,0,14,22,14,15
Patrick Murphy,,2,27,7,17,15
Malik L Boyd,,,12,0,0,15
Charisma D Presley,,,,11,0,15
Rosita C Youngblood,,,,,8,15
Total,53,53,53,40,39,15
,Attorney General - Democrat,,Representative In The General Assembly 198th District - Democrat,,,17
,Patrick Murphy,Kathleen G Kane,Rosita C Youngblood,Malik L Boyd,Charisma D Presley,17
Patrick Murphy,2,0,39,27,7,17
Kathleen G Kane,,1,15,8,9,17
Rosita C Youngblood,,,4,0,0,17
Malik L Boyd,,,,5,0,17
Charisma D Presley,,,,,2,17
Total,75,33,58,40,18,17
,Representative In The General Assembly 198th District - Democrat,,,Attorney General - Democrat,,19
,Charisma D Presley,Malik L Boyd,Rosita C Youngblood,Patrick Murphy,Kathleen G Kane,19
Charisma D Presley,13,0,0,25,38,19
Malik L Boyd,,6,0,14,8,19
Rosita C Youngblood,,,6,14,5,19
Patrick Murphy,,,,1,0,19
Kathleen G Kane,,,,,0,19
Total,76,28,25,54,51,19
