col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,division
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Representative In The General Assembly 201st District - Democrat,,,All
,Kenyatta J Johnson,Cindy Bass,Blondell Reynolds Brown,Jacquelyn Manns Smalley,Mark Alan Aronchick,Vincent J Hughes,Jerome W Mondesire,Stephen A Cozen,Andrew P Toy,Michelle W Singer,Jerry T Jordan,Raye E Johnson,Heather Steinmiller,Nancy Astor Fox,Eleanor M Dezzi,Joseph C Meade,William S Leopold,Stephen Kinsey,Michael K Ellis,Karl K Gamble,All
Kenyatta J Johnson,6,"1,559","1,531","1,380","1,344","1,085","1,010","1,003",992,980,981,988,963,953,965,964,940,890,839,164,All
Cindy Bass,,3,"1,518","1,356","1,308","1,074",979,977,966,963,965,955,945,936,950,940,914,816,811,147,All
Blondell Reynolds Brown,,,2,"1,330","1,318","1,068",985,963,963,943,952,940,926,916,940,934,913,771,767,138,All
Jacquelyn Manns Smalley,,,,1,"1,261",948,921,930,924,907,906,918,912,898,914,917,893,677,625,122,All
Mark Alan Aronchick,,,,,2,903,890,912,900,859,884,879,875,853,879,882,869,671,606,120,All
Vincent J Hughes,,,,,,0,980,971,981,946,972,962,944,927,947,952,930,512,553,91,All
Jerome W Mondesire,,,,,,,0,948,944,918,930,927,914,895,924,928,907,468,504,74,All
Stephen A Cozen,,,,,,,,1,957,920,946,942,941,919,935,949,925,470,492,83,All
Andrew P Toy,,,,,,,,,2,916,936,935,929,905,943,934,924,461,493,77,All
Michelle W Singer,,,,,,,,,,1,923,927,926,936,920,902,897,454,494,79,All
Jerry T Jordan,,,,,,,,,,,0,936,930,909,929,932,925,457,483,75,All
Raye E Johnson,,,,,,,,,,,,0,933,915,936,921,924,450,482,80,All
Heather Steinmiller,,,,,,,,,,,,,0,914,937,918,922,442,469,81,All
Nancy Astor Fox,,,,,,,,,,,,,,1,903,886,889,445,472,74,All
Eleanor M Dezzi,,,,,,,,,,,,,,,0,919,920,439,476,74,All
Joseph C Meade,,,,,,,,,,,,,,,,0,913,446,460,74,All
William S Leopold,,,,,,,,,,,,,,,,,0,433,451,73,All
Stephen Kinsey,,,,,,,,,,,,,,,,,,324,0,0,All
Michael K Ellis,,,,,,,,,,,,,,,,,,,257,0,All
Karl K Gamble,,,,,,,,,,,,,,,,,,,,60,All
Total,"1,929","1,807","1,707","1,448","1,423","1,177","1,065","1,059","1,050","1,044","1,033","1,025","1,007","1,006","1,003",995,970,"1,413","1,311",261,All
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Representative In The General Assembly 201st District - Democrat,,,1
,Kenyatta J Johnson,Cindy Bass,Blondell Reynolds Brown,Jacquelyn Manns Smalley,Mark Alan Aronchick,Vincent J Hughes,Jerome W Mondesire,Michelle W Singer,Raye E Johnson,Stephen A Cozen,Andrew P Toy,Heather Steinmiller,Jerry T Jordan,Nancy Astor Fox,Eleanor M Dezzi,Joseph C Meade,William S Leopold,Michael K Ellis,Stephen Kinsey,Karl K Gamble,1
Kenyatta J Johnson,0,55,54,50,47,43,37,38,38,37,36,36,34,34,34,34,33,31,20,18,1
Cindy Bass,,0,51,47,45,39,36,37,34,35,32,36,32,32,31,30,32,24,17,16,1
Blondell Reynolds Brown,,,0,49,46,39,36,34,33,36,33,35,32,32,32,31,32,24,17,13,1
Jacquelyn Manns Smalley,,,,0,44,36,32,33,34,32,34,34,31,31,31,32,31,23,15,12,1
Mark Alan Aronchick,,,,,0,34,33,32,32,33,33,32,31,30,32,31,33,24,13,12,1
Vincent J Hughes,,,,,,0,37,36,37,36,37,37,34,34,33,33,33,22,13,10,1
Jerome W Mondesire,,,,,,,0,34,34,33,32,34,32,31,32,31,33,17,10,9,1
Michelle W Singer,,,,,,,,0,36,34,32,36,31,33,33,32,33,17,10,10,1
Raye E Johnson,,,,,,,,,0,34,33,34,32,33,32,33,33,18,8,11,1
Stephen A Cozen,,,,,,,,,,0,35,35,33,33,33,32,33,18,11,8,1
Andrew P Toy,,,,,,,,,,,0,33,32,31,32,33,32,19,11,6,1
Heather Steinmiller,,,,,,,,,,,,0,33,33,33,32,33,18,10,7,1
Jerry T Jordan,,,,,,,,,,,,,0,30,32,32,32,17,9,6,1
Nancy Astor Fox,,,,,,,,,,,,,,0,31,30,31,16,10,6,1
Eleanor M Dezzi,,,,,,,,,,,,,,,0,33,33,17,9,6,1
Joseph C Meade,,,,,,,,,,,,,,,,0,32,18,8,6,1
William S Leopold,,,,,,,,,,,,,,,,,0,16,9,7,1
Michael K Ellis,,,,,,,,,,,,,,,,,,5,0,0,1
Stephen Kinsey,,,,,,,,,,,,,,,,,,,6,0,1
Karl K Gamble,,,,,,,,,,,,,,,,,,,,4,1
Total,73,62,58,54,52,48,40,40,40,39,38,38,35,35,34,34,34,42,31,24,1
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Representative In The General Assembly 201st District - Democrat,,,2
,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Jacquelyn Manns Smalley,Mark Alan Aronchick,Vincent J Hughes,Jerome W Mondesire,Andrew P Toy,Stephen A Cozen,Jerry T Jordan,Raye E Johnson,William S Leopold,Heather Steinmiller,Joseph C Meade,Eleanor M Dezzi,Michelle W Singer,Nancy Astor Fox,Stephen Kinsey,Michael K Ellis,Karl K Gamble,2
Kenyatta J Johnson,0,100,95,91,82,62,54,48,49,48,50,48,47,46,46,46,44,78,36,3,2
Blondell Reynolds Brown,,0,95,89,82,60,53,47,47,47,48,47,44,46,44,43,44,74,32,3,2
Cindy Bass,,,0,89,76,58,49,46,45,45,45,46,45,44,44,43,41,75,31,1,2
Jacquelyn Manns Smalley,,,,0,78,51,47,46,45,46,44,45,46,45,45,44,43,67,25,2,2
Mark Alan Aronchick,,,,,0,42,42,41,41,40,39,40,39,40,39,38,37,61,24,2,2
Vincent J Hughes,,,,,,0,54,49,49,48,50,48,46,47,45,45,44,42,23,1,2
Jerome W Mondesire,,,,,,,0,46,46,45,46,45,44,45,43,42,41,38,18,1,2
Andrew P Toy,,,,,,,,0,46,48,47,48,45,46,45,43,45,30,21,1,2
