col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,division
,Representative In The General Assembly 188th District - Democrat,,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,All
,Fatimah Loren Muhammad,James R Roebuck,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Mark Alan Aronchick,Jacquelyn Manns Smalley,Vincent J Hughes,Stephen A Cozen,Jerome W Mondesire,Jerry T Jordan,Andrew P Toy,Eleanor M Dezzi,Joseph C Meade,Nancy Astor Fox,Michelle W Singer,Heather Steinmiller,Raye E Johnson,William S Leopold,All
Joseph C Meade,,,,,,,,,,,,,,,,0,54,58,52,2
Nancy Astor Fox,,,,,,,,,,,,,,,,,0,58,59,2
William S Leopold,,,,,,,,,,,,,,,,,,0,56,2
Michelle W Singer,,,,,,,,,,,,,,,,,,,0,2
Total,141,58,124,106,103,97,96,86,71,71,70,67,66,63,63,63,63,63,61,2
,Representative In The General Assembly 188th District - Democrat,,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,3
,Fatimah Loren Muhammad,James R Roebuck,Kenyatta J Johnson,Blondell Reynolds Brown,Mark Alan Aronchick,Cindy Bass,Jacquelyn Manns Smalley,Nancy Astor Fox,Vincent J Hughes,Andrew P Toy,Joseph C Meade,Raye E Johnson,Stephen A Cozen,Eleanor M Dezzi,Jerome W Mondesire,Jerry T Jordan,Heather Steinmiller,Michelle W Singer,William S Leopold,3
Fatimah Loren Muhammad,22,0,28,23,22,19,18,11,10,9,10,10,10,11,10,10,10,10,8,3
James R Roebuck,,27,19,20,16,14,13,11,12,12,11,11,11,9,10,10,9,7,7,3
Kenyatta J Johnson,,,0,36,35,32,31,20,18,20,20,20,20,19,19,20,18,17,15,3
Blondell Reynolds Brown,,,,0,34,33,31,18,18,20,19,20,19,18,19,18,18,16,15,3
Mark Alan Aronchick,,,,,0,32,31,20,18,19,20,19,19,18,18,19,18,15,15,3
Cindy Bass,,,,,,0,31,17,18,19,19,18,19,17,18,18,17,15,15,3
Jacquelyn Manns Smalley,,,,,,,0,16,17,18,18,17,18,16,17,17,16,14,14,3
Nancy Astor Fox,,,,,,,,0,15,16,17,18,17,18,15,18,17,15,14,3
Vincent J Hughes,,,,,,,,,0,19,19,16,19,16,18,16,16,13,14,3
Andrew P Toy,,,,,,,,,,0,20,17,20,17,19,17,17,14,15,3
Joseph C Meade,,,,,,,,,,,0,17,20,17,19,18,17,14,15,3
Raye E Johnson,,,,,,,,,,,,0,17,17,17,19,17,16,15,3
Stephen A Cozen,,,,,,,,,,,,,0,18,19,17,17,14,15,3
Eleanor M Dezzi,,,,,,,,,,,,,,0,17,16,19,15,15,3
Jerome W Mondesire,,,,,,,,,,,,,,,0,16,17,14,15,3
Jerry T Jordan,,,,,,,,,,,,,,,,0,16,15,15,3
Heather Steinmiller,,,,,,,,,,,,,,,,,0,15,15,3
Michelle W Singer,,,,,,,,,,,,,,,,,,0,12,3
William S Leopold,,,,,,,,,,,,,,,,,,,0,3
Total,56,53,47,43,38,33,31,22,22,21,21,21,21,20,20,20,19,17,15,3
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Representative In The General Assembly 188th District - Democrat,,8
,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Jacquelyn Manns Smalley,Mark Alan Aronchick,Vincent J Hughes,Jerome W Mondesire,Eleanor M Dezzi,Heather Steinmiller,Jerry T Jordan,Raye E Johnson,Andrew P Toy,Joseph C Meade,Michelle W Singer,Nancy Astor Fox,Stephen A Cozen,William S Leopold,James R Roebuck,Fatimah Loren Muhammad,8
Kenyatta J Johnson,0,44,40,35,34,27,21,20,19,19,19,17,18,18,17,17,13,28,23,8
Blondell Reynolds Brown,,0,38,33,34,27,21,19,19,20,19,18,17,18,17,18,14,29,21,8
Cindy Bass,,,0,35,32,22,17,20,18,17,17,17,18,18,18,17,14,25,17,8
Jacquelyn Manns Smalley,,,,0,31,21,17,19,17,17,17,16,18,17,17,17,14,22,14,8
Mark Alan Aronchick,,,,,0,19,18,17,17,17,17,17,16,16,16,18,14,20,15,8
Vincent J Hughes,,,,,,0,20,20,19,20,20,18,18,18,17,18,14,19,13,8
Jerome W Mondesire,,,,,,,0,15,15,18,16,16,17,14,14,17,12,13,9,8
Eleanor M Dezzi,,,,,,,,0,18,17,17,15,16,17,17,15,13,13,8,8
Heather Steinmiller,,,,,,,,,0,16,17,16,15,19,18,16,13,12,8,8
Jerry T Jordan,,,,,,,,,,0,18,15,16,15,15,16,14,13,7,8
Raye E Johnson,,,,,,,,,,,0,15,16,16,15,16,14,12,8,8
Andrew P Toy,,,,,,,,,,,,0,15,15,15,17,13,14,5,8
Joseph C Meade,,,,,,,,,,,,,0,15,15,16,13,12,7,8
Michelle W Singer,,,,,,,,,,,,,,0,18,15,13,12,7,8
Nancy Astor Fox,,,,,,,,,,,,,,,0,15,13,12,6,8
Stephen A Cozen,,,,,,,,,,,,,,,,0,13,12,6,8
William S Leopold,,,,,,,,,,,,,,,,,0,10,4,8
James R Roebuck,,,,,,,,,,,,,,,,,,13,0,8
Fatimah Loren Muhammad,,,,,,,,,,,,,,,,,,,14,8
Total,51,50,42,36,35,32,22,21,20,20,20,19,19,19,18,18,14,46,43,8
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Representative In The General Assembly 188th District - Democrat,,10
,Kenyatta J Johnson,Blondell Reynolds Brown,Mark Alan Aronchick,Cindy Bass,Jacquelyn Manns Smalley,Vincent J Hughes,Jerome W Mondesire,Stephen A Cozen,Joseph C Meade,Jerry T Jordan,Eleanor M Dezzi,Nancy Astor Fox,Andrew P Toy,Michelle W Singer,William S Leopold,Heather Steinmiller,Raye E Johnson,Fatimah Loren Muhammad,James R Roebuck,10
Kenyatta J Johnson,1,76,66,62,60,42,38,37,36,34,34,33,33,31,33,29,20,56,28,10
