col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,Attorney General - Republican,Delegate To The Republican National Convention 2nd District,,,,,All
,David J Freed,Calvin R Tucker,Lewis Harris Jr,Walter F Vogler Jr,Adam A Lang,Vahan H Gureghian,All
David J Freed,1,14,14,13,2,1,All
Calvin R Tucker,,1,12,10,2,1,All
Lewis Harris Jr,,,0,11,2,1,All
Walter F Vogler Jr,,,,0,1,0,All
Adam A Lang,,,,,0,2,All
Vahan H Gureghian,,,,,,0,All
Total,21,18,17,13,4,2,All
,Attorney General - Republican,Delegate To The Republican National Convention 2nd District,,,,,1
,David J Freed,Lewis Harris Jr,Calvin R Tucker,Walter F Vogler Jr,Adam A Lang,Vahan H Gureghian,1
David J Freed,0,4,2,2,0,0,1
Lewis Harris Jr,,0,2,2,0,0,1
Calvin R Tucker,,,0,2,0,0,1
Walter F Vogler Jr,,,,0,0,0,1
Adam A Lang,,,,,0,0,1
Vahan H Gureghian,,,,,,0,1
Total,4,4,2,2,0,0,1
,Delegate To The Republican National Convention 2nd District,,,,,Attorney General - Republican,3
,Calvin R Tucker,Lewis Harris Jr,Walter F Vogler Jr,Adam A Lang,Vahan H Gureghian,David J Freed,3
Calvin R Tucker,0,2,1,0,0,1,3
Lewis Harris Jr,,0,1,0,0,1,3
Walter F Vogler Jr,,,0,0,0,1,3
Adam A Lang,,,,0,0,0,3
Vahan H Gureghian,,,,,0,0,3
David J Freed,,,,,,0,3
Total,2,2,1,0,0,1,3
,Delegate To The Republican National Convention 2nd District,,,,,Attorney General - Republican,5
,Calvin R Tucker,Lewis Harris Jr,Walter F Vogler Jr,Adam A Lang,Vahan H Gureghian,David J Freed,5
Calvin R Tucker,0,1,1,0,0,1,5
Lewis Harris Jr,,0,1,0,0,1,5
Walter F Vogler Jr,,,0,0,0,1,5
Adam A Lang,,,,0,0,0,5
Vahan H Gureghian,,,,,0,0,5
David J Freed,,,,,,0,5
Total,1,1,1,0,0,1,5
,Attorney General - Republican,Delegate To The Republican National Convention 2nd District,,,,,6
,David J Freed,Calvin R Tucker,Walter F Vogler Jr,Adam A Lang,Lewis Harris Jr,Vahan H Gureghian,6
David J Freed,0,1,1,0,0,0,6
Calvin R Tucker,,0,0,0,0,0,6
Walter F Vogler Jr,,,0,0,0,0,6
Adam A Lang,,,,0,0,0,6
Lewis Harris Jr,,,,,0,0,6
Vahan H Gureghian,,,,,,0,6
Total,2,1,1,0,0,0,6
,Delegate To The Republican National Convention 2nd District,,,,,Attorney General - Republican,7
,Adam A Lang,Calvin R Tucker,Vahan H Gureghian,Lewis Harris Jr,Walter F Vogler Jr,David J Freed,7
Adam A Lang,0,1,1,0,0,1,7
Calvin R Tucker,,0,1,0,0,1,7
Vahan H Gureghian,,,0,0,0,1,7
Lewis Harris Jr,,,,0,0,0,7
Walter F Vogler Jr,,,,,0,0,7
David J Freed,,,,,,0,7
Total,1,1,1,0,0,1,7
,Delegate To The Republican National Convention 2nd District,,,,,Attorney General - Republican,8
,Lewis Harris Jr,Adam A Lang,Calvin R Tucker,Vahan H Gureghian,Walter F Vogler Jr,David J Freed,8
Lewis Harris Jr,0,1,1,1,0,0,8
Adam A Lang,,0,0,1,0,0,8
Calvin R Tucker,,,0,0,0,0,8
Vahan H Gureghian,,,,0,0,0,8
Walter F Vogler Jr,,,,,0,0,8
David J Freed,,,,,,0,8
Total,2,1,1,1,0,0,8
,Attorney General - Republican,Delegate To The Republican National Convention 2nd District,,,,,10
