col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,division
,United States Senator - Democrat,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,All
,Bob Casey Jr,Joseph John Vodvarka,Anthony Hardy Williams,Ted Kirsch,Ryan N Boyer,Mindy M Posoff,Elizabeth A Washo,Christine M Tartaglione,Kathryn Sylvia Huggins,Deborah E Landau,Thaddeus Kirkland,Sekela Coles,All
Bob Casey Jr,"11,683",0,"15,947","15,693","14,646","14,553","14,410","12,678","12,229","11,866","11,692","11,578",All
Joseph John Vodvarka,,"2,721","4,241","4,451","4,139","4,187","4,094","2,473","2,432","2,379","2,270","2,321",All
Anthony Hardy Williams,,,155,"18,469","18,161","17,818","17,663","13,788","13,705","13,402","13,354","13,328",All
Ted Kirsch,,,,115,"18,414","18,356","17,998","13,762","13,668","13,578","13,521","13,426",All
Ryan N Boyer,,,,,40,"17,953","17,711","13,309","13,561","13,390","13,287","13,262",All
Mindy M Posoff,,,,,,38,"17,977","13,441","13,628","13,459","13,194","13,249",All
Elizabeth A Washo,,,,,,,25,"13,376","13,569","13,466","13,109","13,117",All
Christine M Tartaglione,,,,,,,,128,"13,899","13,707","13,529","13,491",All
Kathryn Sylvia Huggins,,,,,,,,,25,"14,048","13,604","13,785",All
Deborah E Landau,,,,,,,,,,10,"13,438","13,657",All
Thaddeus Kirkland,,,,,,,,,,,12,"13,486",All
Sekela Coles,,,,,,,,,,,,3,All
Total,"31,645","8,047","21,137","21,062","19,575","19,517","19,235","15,847","15,265","14,789","14,504","14,415",All
