col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,Auditor General - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,All
,Eugene A Depasquale,Catherine G Scott,Kelly Lynn Devine,D Gregory Holt,Louis J Farinella,Olivia E Brady,Leslie S Richards,Caren Gansman Moskowitz,Vince Gillen,Patrick J Eiding,All
Eugene A Depasquale,78,301,267,257,166,166,165,161,165,160,All
Catherine G Scott,,4,290,279,174,178,178,174,173,175,All
Kelly Lynn Devine,,,5,275,172,178,173,168,169,167,All
D Gregory Holt,,,,3,163,163,166,158,162,163,All
Louis J Farinella,,,,,1,171,169,167,173,168,All
Olivia E Brady,,,,,,0,173,168,168,166,All
Leslie S Richards,,,,,,,0,164,170,167,All
Caren Gansman Moskowitz,,,,,,,,3,162,160,All
Vince Gillen,,,,,,,,,0,170,All
Patrick J Eiding,,,,,,,,,,1,All
Total,425,353,314,303,188,188,187,185,185,181,All
,Auditor General - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,1
,Eugene A Depasquale,D Gregory Holt,Kelly Lynn Devine,Catherine G Scott,Caren Gansman Moskowitz,Louis J Farinella,Olivia E Brady,Patrick J Eiding,Leslie S Richards,Vince Gillen,1
Eugene A Depasquale,6,15,14,14,11,10,11,10,9,9,1
D Gregory Holt,,0,14,14,9,9,9,9,8,9,1
Kelly Lynn Devine,,,1,14,10,10,10,9,9,9,1
Catherine G Scott,,,,0,9,9,9,9,8,9,1
Caren Gansman Moskowitz,,,,,0,11,11,11,9,9,1
Louis J Farinella,,,,,,0,10,10,9,9,1
Olivia E Brady,,,,,,,0,10,9,9,1
Patrick J Eiding,,,,,,,,0,8,9,1
Leslie S Richards,,,,,,,,,0,8,1
Vince Gillen,,,,,,,,,,0,1
Total,24,16,16,15,12,11,11,11,9,9,1
,Auditor General - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,2
,Eugene A Depasquale,Catherine G Scott,Kelly Lynn Devine,D Gregory Holt,Caren Gansman Moskowitz,Olivia E Brady,Leslie S Richards,Louis J Farinella,Patrick J Eiding,Vince Gillen,2
Eugene A Depasquale,4,28,26,26,16,15,15,15,16,16,2
Catherine G Scott,,1,28,27,18,18,17,17,17,17,2
Kelly Lynn Devine,,,0,26,17,17,15,16,16,15,2
D Gregory Holt,,,,0,16,16,16,16,17,16,2
Caren Gansman Moskowitz,,,,,0,17,15,16,16,16,2
Olivia E Brady,,,,,,0,16,16,16,15,2
Leslie S Richards,,,,,,,0,16,16,16,2
Louis J Farinella,,,,,,,,0,16,16,2
Patrick J Eiding,,,,,,,,,0,16,2
Vince Gillen,,,,,,,,,,0,2
Total,36,34,30,29,18,18,17,17,17,17,2
,Delegate To The Democratic National Convention 13th District,,,,,,,,,Auditor General - Democrat,4
,Catherine G Scott,Kelly Lynn Devine,D Gregory Holt,Patrick J Eiding,Leslie S Richards,Caren Gansman Moskowitz,Louis J Farinella,Olivia E Brady,Vince Gillen,Eugene A Depasquale,4
Catherine G Scott,0,30,30,17,16,15,15,15,14,29,4
Kelly Lynn Devine,,0,29,14,15,15,14,14,14,25,4
D Gregory Holt,,,0,14,15,14,13,13,14,22,4
Patrick J Eiding,,,,0,14,13,14,14,14,14,4
Leslie S Richards,,,,,0,15,13,13,13,13,4
Caren Gansman Moskowitz,,,,,,0,13,13,13,13,4
Louis J Farinella,,,,,,,0,15,14,13,4
Olivia E Brady,,,,,,,,0,14,13,4
Vince Gillen,,,,,,,,,0,12,4
Eugene A Depasquale,,,,,,,,,,4,4
Total,37,32,31,17,16,15,15,15,15,35,4
,Auditor General - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,5
,Eugene A Depasquale,Catherine G Scott,D Gregory Holt,Kelly Lynn Devine,Caren Gansman Moskowitz,Louis J Farinella,Leslie S Richards,Olivia E Brady,Patrick J Eiding,Vince Gillen,5
Eugene A Depasquale,5,20,18,18,8,9,8,8,7,7,5
Catherine G Scott,,0,21,21,9,8,8,8,7,7,5
D Gregory Holt,,,0,20,8,7,7,7,7,7,5
Kelly Lynn Devine,,,,0,8,8,8,8,7,7,5
Caren Gansman Moskowitz,,,,,0,8,8,8,7,7,5
Louis J Farinella,,,,,,0,8,8,7,7,5
Leslie S Richards,,,,,,,0,8,7,7,5
Olivia E Brady,,,,,,,,0,7,7,5
Patrick J Eiding,,,,,,,,,0,7,5
Vince Gillen,,,,,,,,,,0,5
Total,27,24,22,21,9,9,8,8,7,7,5
,Auditor General - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,6
,Eugene A Depasquale,Catherine G Scott,Kelly Lynn Devine,D Gregory Holt,Louis J Farinella,Leslie S Richards,Olivia E Brady,Vince Gillen,Patrick J Eiding,Caren Gansman Moskowitz,6
Eugene A Depasquale,7,17,18,16,14,13,13,13,12,10,6
