col_1,col_2,col_3,col_4,division
,Representative In The General Assembly 181st District - Democrat,United States Senator - Democrat,,All
,W Curtis Thomas,Bob Casey Jr,Joseph John Vodvarka,All
W Curtis Thomas,17,116,55,All
Bob Casey Jr,,13,0,All
Joseph John Vodvarka,,,1,All
Total,188,129,56,All
,Representative In The General Assembly 181st District - Democrat,United States Senator - Democrat,,5
,W Curtis Thomas,Bob Casey Jr,Joseph John Vodvarka,5
W Curtis Thomas,13,96,42,5
Bob Casey Jr,,7,0,5
Joseph John Vodvarka,,,0,5
Total,151,103,42,5
,Representative In The General Assembly 181st District - Democrat,United States Senator - Democrat,,13
,W Curtis Thomas,Bob Casey Jr,Joseph John Vodvarka,13
W Curtis Thomas,4,20,13,13
Bob Casey Jr,,6,0,13
Joseph John Vodvarka,,,1,13
Total,37,26,14,13
