col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,division
,President Of The United States - Republican,,,,Delegate To The Republican National Convention 13th District,,,,,,,,All
,Mitt Romney,Rick Santorum,Ron Paul,Newt Gingrich,William E Donnelly,Michael J Mcmonagle,Thomas Jay Ellis,Robert C Barrilli,Michael Anthony Salvi,Edward T Boyd,Brandon Yates,Steven J Gilber,All
Mitt Romney,"1,809",0,0,0,"3,151","2,273","1,969","1,365","1,168",516,307,301,All
Rick Santorum,,391,0,0,449,422,263,261,195,199,143,107,All
Ron Paul,,,378,0,334,325,188,223,230,177,197,201,All
Newt Gingrich,,,,279,439,344,260,126,163,75,58,56,All
William E Donnelly,,,,,32,"2,108","2,099","1,074",858,450,209,165,All
Michael J Mcmonagle,,,,,,28,"1,195",430,907,389,220,192,All
Thomas Jay Ellis,,,,,,,8,831,378,181,120,141,All
Robert C Barrilli,,,,,,,,30,328,228,193,159,All
Michael Anthony Salvi,,,,,,,,,11,126,194,173,All
Edward T Boyd,,,,,,,,,,10,178,203,All
Brandon Yates,,,,,,,,,,,5,208,All
Steven J Gilber,,,,,,,,,,,,2,All
Total,"6,660","1,253","1,170",965,"4,483","3,457","2,750","2,051","1,805",994,728,687,All
