col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,division
,President Of The United States - Republican,,,,United States Senator - Republican,,,,,All
,Mitt Romney,Rick Santorum,Ron Paul,Newt Gingrich,Tom Smith,David Alan Christian,Sam Rohrer,Steven D Welch,Marc A Scaringi,All
,United States Senator - Republican,,,,,President Of The United States - Republican,,,,12
,David Alan Christian,Steven D Welch,Marc A Scaringi,Sam Rohrer,Tom Smith,Newt Gingrich,Ron Paul,Mitt Romney,Rick Santorum,12
David Alan Christian,0,0,0,0,0,0,1,0,0,12
Steven D Welch,,0,0,0,0,1,0,0,0,12
Marc A Scaringi,,,0,0,0,0,0,0,0,12
Sam Rohrer,,,,0,0,0,0,0,0,12
Tom Smith,,,,,0,0,0,0,0,12
Newt Gingrich,,,,,,0,0,0,0,12
Ron Paul,,,,,,,0,0,0,12
Mitt Romney,,,,,,,,0,0,12
Rick Santorum,,,,,,,,,0,12
Total,1,1,0,0,0,1,1,0,0,12
,President Of The United States - Republican,,,,United States Senator - Republican,,,,,13
,Ron Paul,Mitt Romney,Newt Gingrich,Rick Santorum,Tom Smith,David Alan Christian,Marc A Scaringi,Sam Rohrer,Steven D Welch,13
Ron Paul,0,0,0,0,1,0,0,0,0,13
Mitt Romney,,0,0,0,0,0,0,0,0,13
Newt Gingrich,,,0,0,0,0,0,0,0,13
Rick Santorum,,,,0,0,0,0,0,0,13
Tom Smith,,,,,0,0,0,0,0,13
David Alan Christian,,,,,,0,0,0,0,13
Marc A Scaringi,,,,,,,0,0,0,13
Sam Rohrer,,,,,,,,0,0,13
Steven D Welch,,,,,,,,,0,13
Total,1,0,0,0,1,0,0,0,0,13
,United States Senator - Republican,,,,,President Of The United States - Republican,,,,14
,David Alan Christian,Marc A Scaringi,Sam Rohrer,Steven D Welch,Tom Smith,Newt Gingrich,Mitt Romney,Rick Santorum,Ron Paul,14
David Alan Christian,0,0,0,0,0,1,0,0,0,14
Marc A Scaringi,,0,0,0,0,0,0,0,0,14
Sam Rohrer,,,0,0,0,0,0,0,0,14
Steven D Welch,,,,0,0,0,0,0,0,14
Tom Smith,,,,,0,0,0,0,0,14
Newt Gingrich,,,,,,0,0,0,0,14
Mitt Romney,,,,,,,0,0,0,14
Rick Santorum,,,,,,,,0,0,14
Ron Paul,,,,,,,,,0,14
Total,1,0,0,0,0,1,0,0,0,14
,United States Senator - Republican,,,,,President Of The United States - Republican,,,,15
,Tom Smith,Steven D Welch,David Alan Christian,Marc A Scaringi,Sam Rohrer,Rick Santorum,Ron Paul,Mitt Romney,Newt Gingrich,15
Tom Smith,1,0,0,0,0,4,0,0,0,15
Steven D Welch,,0,0,0,0,0,1,0,0,15
David Alan Christian,,,0,0,0,0,0,0,0,15
Marc A Scaringi,,,,0,0,0,0,0,0,15
Sam Rohrer,,,,,0,0,0,0,0,15
Rick Santorum,,,,,,0,0,0,0,15
Ron Paul,,,,,,,0,0,0,15
Mitt Romney,,,,,,,,0,0,15
Newt Gingrich,,,,,,,,,0,15
Total,5,1,0,0,0,4,1,0,0,15
,President Of The United States - Republican,,,,United States Senator - Republican,,,,,17
,Mitt Romney,Rick Santorum,Ron Paul,Newt Gingrich,David Alan Christian,Tom Smith,Marc A Scaringi,Sam Rohrer,Steven D Welch,17
Mitt Romney,1,0,0,0,1,1,0,0,0,17
Rick Santorum,,0,0,0,0,1,0,0,0,17
Ron Paul,,,0,0,1,0,0,0,0,17
Newt Gingrich,,,,0,0,0,0,0,0,17
David Alan Christian,,,,,0,0,0,0,0,17
Tom Smith,,,,,,0,0,0,0,17
Marc A Scaringi,,,,,,,0,0,0,17
Sam Rohrer,,,,,,,,0,0,17
Steven D Welch,,,,,,,,,0,17
Total,3,1,1,0,2,2,0,0,0,17
,President Of The United States - Republican,,,,United States Senator - Republican,,,,,18
,Newt Gingrich,Mitt Romney,Ron Paul,Rick Santorum,Tom Smith,David Alan Christian,Marc A Scaringi,Sam Rohrer,Steven D Welch,18
Newt Gingrich,1,0,0,0,0,1,0,0,0,18
Mitt Romney,,0,0,0,1,0,0,0,0,18
Ron Paul,,,0,0,1,0,0,0,0,18
Rick Santorum,,,,0,0,0,0,0,0,18
Tom Smith,,,,,0,0,0,0,0,18
David Alan Christian,,,,,,0,0,0,0,18
Marc A Scaringi,,,,,,,0,0,0,18
Sam Rohrer,,,,,,,,0,0,18
Steven D Welch,,,,,,,,,0,18
Total,2,1,1,0,2,1,0,0,0,18
,President Of The United States - Republican,,,,United States Senator - Republican,,,,,20
,Mitt Romney,Ron Paul,Newt Gingrich,Rick Santorum,Steven D Welch,David Alan Christian,Sam Rohrer,Marc A Scaringi,Tom Smith,20
Mitt Romney,0,0,0,0,1,1,0,0,0,20
Ron Paul,,0,0,0,1,0,1,0,0,20
Newt Gingrich,,,0,0,0,0,0,0,0,20
Rick Santorum,,,,0,0,0,0,0,0,20
