col_1,col_2,col_3,col_4,division
,Representative In The General Assembly 170th District - Democrat,United States Senator - Democrat,,All
,Brendan F Boyle,Bob Casey Jr,Joseph John Vodvarka,All
Brendan F Boyle,9,63,8,All
Bob Casey Jr,,4,0,All
Joseph John Vodvarka,,,2,All
Total,80,67,10,All
,Representative In The General Assembly 170th District - Democrat,United States Senator - Democrat,,20
,Brendan F Boyle,Bob Casey Jr,Joseph John Vodvarka,20
Brendan F Boyle,4,37,2,20
Bob Casey Jr,,2,0,20
Joseph John Vodvarka,,,1,20
Total,43,39,3,20
,Representative In The General Assembly 170th District - Democrat,United States Senator - Democrat,,21
,Brendan F Boyle,Bob Casey Jr,Joseph John Vodvarka,21
Brendan F Boyle,5,26,6,21
Bob Casey Jr,,2,0,21
Joseph John Vodvarka,,,1,21
Total,37,28,7,21
