col_1,col_2,col_3,col_4,col_5,division
,Representative In The General Assembly 190th District - Democrat,,,,All
,Wanda Logan,Vanessa L Brown,Audrey Blackwell Watson,Lemuel L Thornton,All
Wanda Logan,138,0,0,0,All
Vanessa L Brown,,52,0,0,All
Audrey Blackwell Watson,,,51,0,All
Lemuel L Thornton,,,,6,All
Total,138,52,51,6,All
,Representative In The General Assembly 190th District - Democrat,,,,9
,Wanda Logan,Vanessa L Brown,Audrey Blackwell Watson,Lemuel L Thornton,9
Wanda Logan,65,0,0,0,9
Vanessa L Brown,,28,0,0,9
Audrey Blackwell Watson,,,23,0,9
Lemuel L Thornton,,,,4,9
Total,65,28,23,4,9
,Representative In The General Assembly 190th District - Democrat,,,,10
,Wanda Logan,Audrey Blackwell Watson,Vanessa L Brown,Lemuel L Thornton,10
Wanda Logan,73,0,0,0,10
Audrey Blackwell Watson,,28,0,0,10
Vanessa L Brown,,,24,0,10
Lemuel L Thornton,,,,2,10
Total,73,28,24,2,10
