col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,division
,Representative In The General Assembly 192nd District - Democrat,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,All
,Louise Bishop,Will Mega,Anthony Hardy Williams,Ted Kirsch,Ryan N Boyer,Mindy M Posoff,Elizabeth A Washo,Kathryn Sylvia Huggins,Christine M Tartaglione,Thaddeus Kirkland,Sekela Coles,Deborah E Landau,All
Louise Bishop,"1,205",0,"2,562","2,384","2,218","2,162","2,134","1,696","1,670","1,616","1,575","1,576",All
Will Mega,,269,810,678,667,633,628,531,514,506,502,493,All
Anthony Hardy Williams,,,4,"2,798","2,754","2,643","2,627","2,035","2,040","1,989","1,955","1,944",All
Ted Kirsch,,,,5,"2,742","2,697","2,639","1,971","1,978","1,963","1,932","1,932",All
Ryan N Boyer,,,,,1,"2,645","2,616","1,958","1,922","1,940","1,921","1,911",All
Mindy M Posoff,,,,,,0,"2,605","1,912","1,909","1,884","1,867","1,873",All
Elizabeth A Washo,,,,,,,1,"1,906","1,904","1,879","1,855","1,872",All
Kathryn Sylvia Huggins,,,,,,,,0,"2,018","2,001","2,004","1,999",All
Christine M Tartaglione,,,,,,,,,0,"1,993","1,964","1,970",All
Thaddeus Kirkland,,,,,,,,,,1,"1,962","1,938",All
Sekela Coles,,,,,,,,,,,0,"1,955",All
Deborah E Landau,,,,,,,,,,,,0,All
Total,"4,247","1,212","3,400","3,092","2,909","2,816","2,784","2,245","2,205","2,142","2,096","2,089",All
,Representative In The General Assembly 192nd District - Democrat,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,1
,Louise Bishop,Will Mega,Ted Kirsch,Anthony Hardy Williams,Elizabeth A Washo,Mindy M Posoff,Ryan N Boyer,Kathryn Sylvia Huggins,Christine M Tartaglione,Sekela Coles,Thaddeus Kirkland,Deborah E Landau,1
Louise Bishop,17,0,11,11,9,9,9,7,7,6,6,6,1
Will Mega,,2,3,2,4,3,2,2,0,1,1,0,1
Ted Kirsch,,,0,11,11,12,10,7,6,7,7,6,1
Anthony Hardy Williams,,,,0,10,10,11,7,6,7,7,6,1
Elizabeth A Washo,,,,,0,11,10,7,7,7,7,6,1
Mindy M Posoff,,,,,,0,10,7,6,7,7,6,1
Ryan N Boyer,,,,,,,0,7,6,7,7,6,1
Kathryn Sylvia Huggins,,,,,,,,0,6,7,7,6,1
Christine M Tartaglione,,,,,,,,,0,6,6,6,1
Sekela Coles,,,,,,,,,,0,7,6,1
Thaddeus Kirkland,,,,,,,,,,,0,6,1
Deborah E Landau,,,,,,,,,,,,0,1
Total,32,7,14,13,13,12,11,9,7,7,7,6,1
,Representative In The General Assembly 192nd District - Democrat,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,2
,Louise Bishop,Will Mega,Anthony Hardy Williams,Ted Kirsch,Ryan N Boyer,Elizabeth A Washo,Mindy M Posoff,Kathryn Sylvia Huggins,Christine M Tartaglione,Thaddeus Kirkland,Deborah E Landau,Sekela Coles,2
Louise Bishop,29,0,82,63,58,56,54,53,49,46,42,42,2
Will Mega,,8,25,20,20,18,18,14,13,14,14,14,2
Anthony Hardy Williams,,,0,80,77,72,71,63,61,59,54,54,2
Ted Kirsch,,,,0,74,70,71,52,55,54,50,49,2
Ryan N Boyer,,,,,0,68,70,51,51,51,49,50,2
Elizabeth A Washo,,,,,,0,69,48,50,46,49,47,2
Mindy M Posoff,,,,,,,0,48,49,48,48,49,2
Kathryn Sylvia Huggins,,,,,,,,0,56,53,52,52,2
Christine M Tartaglione,,,,,,,,,0,53,53,52,2
Thaddeus Kirkland,,,,,,,,,,0,48,50,2
Deborah E Landau,,,,,,,,,,,0,51,2
Sekela Coles,,,,,,,,,,,,0,2
Total,118,34,107,83,78,74,72,67,62,60,56,56,2
,Representative In The General Assembly 192nd District - Democrat,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,3
,Louise Bishop,Will Mega,Anthony Hardy Williams,Ted Kirsch,Kathryn Sylvia Huggins,Ryan N Boyer,Mindy M Posoff,Elizabeth A Washo,Thaddeus Kirkland,Christine M Tartaglione,Deborah E Landau,Sekela Coles,3
Louise Bishop,10,0,71,67,73,66,66,64,62,62,59,57,3
Will Mega,,2,15,16,11,16,16,16,11,11,11,11,3
Anthony Hardy Williams,,,0,80,69,80,79,78,67,67,65,62,3
Ted Kirsch,,,,0,66,83,80,80,69,65,65,63,3
Kathryn Sylvia Huggins,,,,,0,67,67,66,72,74,70,69,3
Ryan N Boyer,,,,,,0,81,82,69,66,65,64,3
Mindy M Posoff,,,,,,,0,82,67,67,64,64,3
Elizabeth A Washo,,,,,,,,0,67,66,64,64,3
Thaddeus Kirkland,,,,,,,,,0,71,70,67,3
Christine M Tartaglione,,,,,,,,,,0,69,68,3
Deborah E Landau,,,,,,,,,,,0,67,3
Sekela Coles,,,,,,,,,,,,0,3
Total,98,19,88,86,85,85,84,83,75,74,72,69,3
,Representative In The General Assembly 192nd District - Democrat,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,4
,Louise Bishop,Will Mega,Ted Kirsch,Anthony Hardy Williams,Ryan N Boyer,Mindy M Posoff,Elizabeth A Washo,Deborah E Landau,Kathryn Sylvia Huggins,Sekela Coles,Thaddeus Kirkland,Christine M Tartaglione,4
Louise Bishop,30,0,26,25,21,22,19,13,12,11,12,11,4
Will Mega,,11,11,10,11,8,7,7,6,7,6,6,4
Ted Kirsch,,,0,28,30,29,26,16,14,15,15,14,4
Anthony Hardy Williams,,,,1,28,27,26,15,14,14,14,13,4
Ryan N Boyer,,,,,0,28,26,16,14,15,15,14,4
Mindy M Posoff,,,,,,0,26,15,14,14,15,14,4
Elizabeth A Washo,,,,,,,0,13,12,12,13,12,4
Deborah E Landau,,,,,,,,0,17,18,18,17,4
Kathryn Sylvia Huggins,,,,,,,,,0,17,17,17,4
Sekela Coles,,,,,,,,,,0,17,17,4
Thaddeus Kirkland,,,,,,,,,,,0,17,4
Christine M Tartaglione,,,,,,,,,,,,0,4
Total,67,25,37,36,32,30,26,20,18,18,18,17,4
,Representative In The General Assembly 192nd District - Democrat,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,5
,Louise Bishop,Will Mega,Anthony Hardy Williams,Ted Kirsch,Elizabeth A Washo,Mindy M Posoff,Ryan N Boyer,Christine M Tartaglione,Kathryn Sylvia Huggins,Thaddeus Kirkland,Deborah E Landau,Sekela Coles,5
Louise Bishop,35,0,43,42,39,38,37,25,23,21,21,21,5
Will Mega,,7,8,8,6,7,7,3,4,5,4,3,5
Anthony Hardy Williams,,,0,45,40,39,42,25,24,24,23,21,5
Ted Kirsch,,,,0,44,43,44,25,24,23,24,22,5
Elizabeth A Washo,,,,,0,42,41,23,22,22,21,20,5
Mindy M Posoff,,,,,,0,41,22,22,22,21,21,5
Ryan N Boyer,,,,,,,0,22,22,22,21,20,5
Christine M Tartaglione,,,,,,,,0,25,23,23,22,5
Kathryn Sylvia Huggins,,,,,,,,,0,24,24,22,5
Thaddeus Kirkland,,,,,,,,,,0,22,21,5
Deborah E Landau,,,,,,,,,,,0,22,5
Sekela Coles,,,,,,,,,,,,0,5
Total,87,15,51,50,45,45,44,28,27,26,25,24,5
,Representative In The General Assembly 192nd District - Democrat,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,6
,Louise Bishop,Will Mega,Anthony Hardy Williams,Ted Kirsch,Ryan N Boyer,Elizabeth A Washo,Mindy M Posoff,Thaddeus Kirkland,Christine M Tartaglione,Kathryn Sylvia Huggins,Sekela Coles,Deborah E Landau,6
Louise Bishop,35,0,81,73,70,67,64,56,53,55,53,52,6
Will Mega,,7,18,15,14,14,15,14,14,12,13,13,6
Anthony Hardy Williams,,,0,79,83,79,77,64,61,61,61,61,6
Ted Kirsch,,,,0,78,78,77,61,60,60,61,61,6
Ryan N Boyer,,,,,0,78,78,60,58,59,59,59,6
Elizabeth A Washo,,,,,,0,77,58,57,56,57,58,6
Mindy M Posoff,,,,,,,0,58,58,57,58,58,6
Thaddeus Kirkland,,,,,,,,0,64,62,62,63,6
Christine M Tartaglione,,,,,,,,,0,60,62,62,6
Kathryn Sylvia Huggins,,,,,,,,,,0,63,62,6
Sekela Coles,,,,,,,,,,,0,64,6
Deborah E Landau,,,,,,,,,,,,0,6
Total,132,26,99,88,84,81,79,70,67,67,66,65,6
,Representative In The General Assembly 192nd District - Democrat,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,7
,Louise Bishop,Will Mega,Anthony Hardy Williams,Ted Kirsch,Ryan N Boyer,Elizabeth A Washo,Mindy M Posoff,Christine M Tartaglione,Kathryn Sylvia Huggins,Thaddeus Kirkland,Sekela Coles,Deborah E Landau,7
Louise Bishop,45,0,58,49,48,47,47,35,34,32,31,30,7
Will Mega,,12,15,15,13,13,13,9,10,9,8,8,7
Anthony Hardy Williams,,,0,57,58,57,57,42,41,38,38,38,7
Ted Kirsch,,,,0,57,57,58,39,38,39,36,37,7
Ryan N Boyer,,,,,0,56,56,39,39,38,37,37,7
Elizabeth A Washo,,,,,,0,57,41,38,38,36,38,7
Mindy M Posoff,,,,,,,0,40,39,38,37,37,7
Christine M Tartaglione,,,,,,,,0,39,38,37,37,7
Kathryn Sylvia Huggins,,,,,,,,,0,39,38,37,7
Thaddeus Kirkland,,,,,,,,,,0,38,36,7
Sekela Coles,,,,,,,,,,,0,35,7
Deborah E Landau,,,,,,,,,,,,0,7
Total,111,29,73,64,61,60,60,44,44,41,39,38,7
,Representative In The General Assembly 192nd District - Democrat,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,8
,Louise Bishop,Will Mega,Anthony Hardy Williams,Ted Kirsch,Ryan N Boyer,Elizabeth A Washo,Mindy M Posoff,Kathryn Sylvia Huggins,Christine M Tartaglione,Deborah E Landau,Sekela Coles,Thaddeus Kirkland,8
Louise Bishop,21,0,97,83,80,80,76,58,56,55,52,52,8
Will Mega,,8,20,14,16,15,15,11,11,10,9,9,8
Anthony Hardy Williams,,,0,94,92,92,87,66,65,62,60,59,8
Ted Kirsch,,,,0,90,89,86,63,62,61,59,59,8
Ryan N Boyer,,,,,0,90,87,62,63,60,60,57,8
Elizabeth A Washo,,,,,,0,86,61,62,60,59,57,8
Mindy M Posoff,,,,,,,0,62,61,59,57,55,8
Kathryn Sylvia Huggins,,,,,,,,0,63,62,59,60,8
Christine M Tartaglione,,,,,,,,,0,61,60,57,8
Deborah E Landau,,,,,,,,,,0,59,58,8
Sekela Coles,,,,,,,,,,,0,57,8
Thaddeus Kirkland,,,,,,,,,,,,0,8
Total,128,30,117,97,96,95,91,69,67,65,61,61,8
