col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,division
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Representative In The General Assembly 190th District - Democrat,,,,All
,Kenyatta J Johnson,Blondell Reynolds Brown,Vincent J Hughes,Cindy Bass,Mark Alan Aronchick,Jacquelyn Manns Smalley,Jerome W Mondesire,Joseph C Meade,Jerry T Jordan,Stephen A Cozen,Andrew P Toy,Raye E Johnson,Michelle W Singer,Nancy Astor Fox,Heather Steinmiller,Eleanor M Dezzi,William S Leopold,Vanessa L Brown,Audrey Blackwell Watson,Wanda Logan,Lemuel L Thornton,All
Kenyatta J Johnson,2,125,108,115,107,106,91,90,88,84,84,86,83,80,79,78,75,77,32,23,1,All
Blondell Reynolds Brown,,0,112,114,106,106,97,94,92,89,87,87,85,84,83,80,77,80,31,20,0,All
Vincent J Hughes,,,0,100,92,89,99,96,91,88,87,88,82,83,83,82,78,80,20,20,0,All
Cindy Bass,,,,1,108,102,90,88,83,85,81,82,82,80,77,79,73,67,28,22,0,All
Mark Alan Aronchick,,,,,0,103,83,83,76,81,78,78,75,78,74,76,73,60,32,18,0,All
Jacquelyn Manns Smalley,,,,,,0,80,82,74,78,76,79,74,75,73,74,72,62,28,15,0,All
Jerome W Mondesire,,,,,,,0,88,83,84,82,81,78,80,78,77,76,69,17,14,1,All
Joseph C Meade,,,,,,,,0,85,83,84,81,78,79,79,80,76,63,19,13,0,All
Jerry T Jordan,,,,,,,,,0,78,82,82,79,76,79,78,75,63,14,14,0,All
Stephen A Cozen,,,,,,,,,,0,82,80,78,80,80,78,77,64,15,10,0,All
Andrew P Toy,,,,,,,,,,,0,81,76,78,77,77,75,62,15,11,0,All
Raye E Johnson,,,,,,,,,,,,0,77,80,82,79,78,60,13,12,0,All
Michelle W Singer,,,,,,,,,,,,,0,79,75,74,72,57,16,11,0,All
Nancy Astor Fox,,,,,,,,,,,,,,0,79,76,77,58,14,10,0,All
Heather Steinmiller,,,,,,,,,,,,,,,0,79,77,58,12,11,0,All
Eleanor M Dezzi,,,,,,,,,,,,,,,,1,74,57,13,9,0,All
William S Leopold,,,,,,,,,,,,,,,,,0,54,12,10,1,All
Vanessa L Brown,,,,,,,,,,,,,,,,,,16,0,0,0,All
Audrey Blackwell Watson,,,,,,,,,,,,,,,,,,,7,0,0,All
Wanda Logan,,,,,,,,,,,,,,,,,,,,4,0,All
Lemuel L Thornton,,,,,,,,,,,,,,,,,,,,,0,All
Total,142,139,126,125,117,111,107,100,96,93,92,91,88,87,86,84,81,106,46,33,1,All
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Representative In The General Assembly 190th District - Democrat,,,,10
,Kenyatta J Johnson,Blondell Reynolds Brown,Vincent J Hughes,Cindy Bass,Mark Alan Aronchick,Jacquelyn Manns Smalley,Jerome W Mondesire,Joseph C Meade,Jerry T Jordan,Stephen A Cozen,Andrew P Toy,Raye E Johnson,Michelle W Singer,Nancy Astor Fox,Heather Steinmiller,Eleanor M Dezzi,William S Leopold,Vanessa L Brown,Audrey Blackwell Watson,Wanda Logan,Lemuel L Thornton,10
Kenyatta J Johnson,2,125,108,115,107,106,91,90,88,84,84,86,83,80,79,78,75,77,32,23,1,10
Blondell Reynolds Brown,,0,112,114,106,106,97,94,92,89,87,87,85,84,83,80,77,80,31,20,0,10
Vincent J Hughes,,,0,100,92,89,99,96,91,88,87,88,82,83,83,82,78,80,20,20,0,10
Cindy Bass,,,,1,108,102,90,88,83,85,81,82,82,80,77,79,73,67,28,22,0,10
Mark Alan Aronchick,,,,,0,103,83,83,76,81,78,78,75,78,74,76,73,60,32,18,0,10
Jacquelyn Manns Smalley,,,,,,0,80,82,74,78,76,79,74,75,73,74,72,62,28,15,0,10
Jerome W Mondesire,,,,,,,0,88,83,84,82,81,78,80,78,77,76,69,17,14,1,10
Joseph C Meade,,,,,,,,0,85,83,84,81,78,79,79,80,76,63,19,13,0,10
Jerry T Jordan,,,,,,,,,0,78,82,82,79,76,79,78,75,63,14,14,0,10
Stephen A Cozen,,,,,,,,,,0,82,80,78,80,80,78,77,64,15,10,0,10
Andrew P Toy,,,,,,,,,,,0,81,76,78,77,77,75,62,15,11,0,10
Raye E Johnson,,,,,,,,,,,,0,77,80,82,79,78,60,13,12,0,10
Michelle W Singer,,,,,,,,,,,,,0,79,75,74,72,57,16,11,0,10
Nancy Astor Fox,,,,,,,,,,,,,,0,79,76,77,58,14,10,0,10
Heather Steinmiller,,,,,,,,,,,,,,,0,79,77,58,12,11,0,10
Eleanor M Dezzi,,,,,,,,,,,,,,,,1,74,57,13,9,0,10
William S Leopold,,,,,,,,,,,,,,,,,0,54,12,10,1,10
Vanessa L Brown,,,,,,,,,,,,,,,,,,16,0,0,0,10
Audrey Blackwell Watson,,,,,,,,,,,,,,,,,,,7,0,0,10
Wanda Logan,,,,,,,,,,,,,,,,,,,,4,0,10
Lemuel L Thornton,,,,,,,,,,,,,,,,,,,,,0,10
Total,142,139,126,125,117,111,107,100,96,93,92,91,88,87,86,84,81,106,46,33,1,10
