col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,division
,Delegate To The Republican National Convention 13th District,,,,,,,,Representative In The General Assembly 169th District - Republican,All
,William E Donnelly,Michael J Mcmonagle,Thomas Jay Ellis,Robert C Barrilli,Michael Anthony Salvi,Edward T Boyd,Brandon Yates,Steven J Gilber,John Mccann,All
William E Donnelly,173,504,484,226,195,96,55,36,264,All
Michael J Mcmonagle,,137,271,90,210,100,51,43,282,All
Thomas Jay Ellis,,,16,181,73,27,14,22,123,All
Robert C Barrilli,,,,59,53,47,36,32,69,All
Michael Anthony Salvi,,,,,37,26,35,24,126,All
Edward T Boyd,,,,,,6,38,48,63,All
Brandon Yates,,,,,,,10,24,49,All
Steven J Gilber,,,,,,,,1,43,All
John Mccann,,,,,,,,,85,All
Total,"1,074",862,593,411,378,212,144,121,540,All
,Delegate To The Republican National Convention 13th District,,,,,,,,Representative In The General Assembly 169th District - Republican,1
,Michael J Mcmonagle,William E Donnelly,Edward T Boyd,Brandon Yates,Robert C Barrilli,Thomas Jay Ellis,Michael Anthony Salvi,Steven J Gilber,John Mccann,1
Michael J Mcmonagle,2,6,4,3,3,5,3,0,8,1
William E Donnelly,,5,1,4,0,2,1,0,4,1
Edward T Boyd,,,1,2,3,2,0,0,2,1
Brandon Yates,,,,0,1,0,0,0,3,1
Robert C Barrilli,,,,,0,0,1,0,3,1
Thomas Jay Ellis,,,,,,0,1,0,2,1
Michael Anthony Salvi,,,,,,,1,0,1,1
Steven J Gilber,,,,,,,,0,0,1
John Mccann,,,,,,,,,0,1
Total,15,12,7,5,5,5,4,0,9,1
,Delegate To The Republican National Convention 13th District,,,,,,,,Representative In The General Assembly 169th District - Republican,3
,William E Donnelly,Michael J Mcmonagle,Michael Anthony Salvi,Thomas Jay Ellis,Brandon Yates,Edward T Boyd,Robert C Barrilli,Steven J Gilber,John Mccann,3
William E Donnelly,4,8,7,6,1,1,0,0,4,3
Michael J Mcmonagle,,0,7,3,1,1,2,0,3,3
Michael Anthony Salvi,,,2,1,1,0,2,0,2,3
Thomas Jay Ellis,,,,0,0,0,0,0,0,3
Brandon Yates,,,,,0,2,1,0,1,3
Edward T Boyd,,,,,,0,1,0,1,3
Robert C Barrilli,,,,,,,0,0,0,3
Steven J Gilber,,,,,,,,1,0,3
John Mccann,,,,,,,,,1,3
Total,20,13,12,6,3,3,3,1,7,3
,Delegate To The Republican National Convention 13th District,,,,,,,,Representative In The General Assembly 169th District - Republican,7
,William E Donnelly,Michael J Mcmonagle,Thomas Jay Ellis,Robert C Barrilli,Edward T Boyd,Michael Anthony Salvi,Brandon Yates,Steven J Gilber,John Mccann,7
William E Donnelly,6,11,22,11,2,2,3,0,5,7
Michael J Mcmonagle,,11,8,2,4,6,3,1,6,7
Thomas Jay Ellis,,,0,14,2,2,2,1,4,7
Robert C Barrilli,,,,0,0,1,1,0,3,7
Edward T Boyd,,,,,1,2,1,3,2,7
Michael Anthony Salvi,,,,,,1,0,1,3,7
Brandon Yates,,,,,,,0,0,2,7
Steven J Gilber,,,,,,,,0,0,7
John Mccann,,,,,,,,,0,7
Total,33,29,28,16,8,8,5,3,9,7
,Delegate To The Republican National Convention 13th District,,,,,,,,Representative In The General Assembly 169th District - Republican,8
,William E Donnelly,Michael J Mcmonagle,Thomas Jay Ellis,Michael Anthony Salvi,Robert C Barrilli,Edward T Boyd,Brandon Yates,Steven J Gilber,John Mccann,8
William E Donnelly,6,12,11,6,4,3,1,0,11,8
Michael J Mcmonagle,,0,6,4,5,5,3,1,13,8
Thomas Jay Ellis,,,1,3,4,2,0,1,6,8
Michael Anthony Salvi,,,,1,3,0,3,2,8,8
Robert C Barrilli,,,,,1,3,1,2,7,8
Edward T Boyd,,,,,,0,1,3,2,8
Brandon Yates,,,,,,,2,1,4,8
Steven J Gilber,,,,,,,,0,2,8
John Mccann,,,,,,,,,3,8
Total,27,20,16,13,12,9,8,5,25,8
,Delegate To The Republican National Convention 13th District,,,,,,,,Representative In The General Assembly 169th District - Republican,10
,William E Donnelly,Michael J Mcmonagle,Thomas Jay Ellis,Michael Anthony Salvi,Edward T Boyd,Steven J Gilber,Brandon Yates,Robert C Barrilli,John Mccann,10
William E Donnelly,5,17,12,10,3,1,0,0,8,10
Michael J Mcmonagle,,4,9,10,2,2,1,1,8,10
Thomas Jay Ellis,,,0,5,1,2,1,0,1,10
Michael Anthony Salvi,,,,0,0,1,0,1,3,10
Edward T Boyd,,,,,0,0,0,0,2,10
Steven J Gilber,,,,,,0,2,0,1,10
Brandon Yates,,,,,,,0,0,1,10
Robert C Barrilli,,,,,,,,0,0,10
John Mccann,,,,,,,,,4,10
Total,31,30,15,14,4,4,2,1,18,10
,Delegate To The Republican National Convention 13th District,,,,,,,,Representative In The General Assembly 169th District - Republican,11
,William E Donnelly,Michael J Mcmonagle,Thomas Jay Ellis,Michael Anthony Salvi,Edward T Boyd,Robert C Barrilli,Brandon Yates,Steven J Gilber,John Mccann,11
William E Donnelly,4,16,11,7,5,1,1,1,7,11
Michael J Mcmonagle,,2,9,6,3,3,1,2,5,11
Thomas Jay Ellis,,,1,1,0,1,0,0,2,11
Michael Anthony Salvi,,,,1,1,2,1,0,4,11
Edward T Boyd,,,,,0,1,2,1,3,11
Robert C Barrilli,,,,,,1,1,2,2,11
Brandon Yates,,,,,,,0,0,2,11
Steven J Gilber,,,,,,,,0,1,11
John Mccann,,,,,,,,,1,11
Total,27,25,13,10,8,7,3,3,11,11
,Delegate To The Republican National Convention 13th District,,,,,,,,Representative In The General Assembly 169th District - Republican,12
,William E Donnelly,Michael J Mcmonagle,Thomas Jay Ellis,Brandon Yates,Robert C Barrilli,Edward T Boyd,Michael Anthony Salvi,Steven J Gilber,John Mccann,12
William E Donnelly,2,11,7,5,4,3,3,2,8,12
Michael J Mcmonagle,,3,5,3,1,0,1,1,9,12
Thomas Jay Ellis,,,0,0,1,0,1,0,3,12
Brandon Yates,,,,0,1,1,0,0,4,12
Robert C Barrilli,,,,,0,1,1,0,2,12
Edward T Boyd,,,,,,1,0,1,0,12
Michael Anthony Salvi,,,,,,,0,0,1,12
Steven J Gilber,,,,,,,,0,0,12
John Mccann,,,,,,,,,0,12
Total,20,18,7,5,5,4,3,2,11,12
,Delegate To The Republican National Convention 13th District,,,,,,,,Representative In The General Assembly 169th District - Republican,13
,William E Donnelly,Michael J Mcmonagle,Robert C Barrilli,Thomas Jay Ellis,Edward T Boyd,Brandon Yates,Michael Anthony Salvi,Steven J Gilber,John Mccann,13
William E Donnelly,3,7,6,7,2,2,0,2,2,13
Michael J Mcmonagle,,1,1,2,2,1,1,2,3,13
Robert C Barrilli,,,0,8,0,0,1,0,0,13
Thomas Jay Ellis,,,,0,0,0,0,0,0,13
Edward T Boyd,,,,,1,1,1,0,0,13
Brandon Yates,,,,,,0,0,0,1,13
Michael Anthony Salvi,,,,,,,0,0,0,13
Steven J Gilber,,,,,,,,0,1,13
John Mccann,,,,,,,,,2,13
Total,16,10,10,10,4,2,2,2,5,13
,Delegate To The Republican National Convention 13th District,,,,,,,,Representative In The General Assembly 169th District - Republican,14
,William E Donnelly,Michael J Mcmonagle,Michael Anthony Salvi,Thomas Jay Ellis,Edward T Boyd,Robert C Barrilli,Brandon Yates,Steven J Gilber,John Mccann,14
William E Donnelly,6,12,5,6,4,3,2,0,5,14
Michael J Mcmonagle,,2,9,4,2,3,1,0,7,14
Michael Anthony Salvi,,,0,2,3,3,2,1,6,14
Thomas Jay Ellis,,,,2,1,1,2,0,1,14
Edward T Boyd,,,,,0,2,1,3,2,14
Robert C Barrilli,,,,,,1,1,1,1,14
Brandon Yates,,,,,,,0,1,1,14
Steven J Gilber,,,,,,,,0,1,14
John Mccann,,,,,,,,,2,14
Total,23,20,15,10,9,8,5,3,13,14
,Delegate To The Republican National Convention 13th District,,,,,,,,Representative In The General Assembly 169th District - Republican,15
,William E Donnelly,Michael J Mcmonagle,Thomas Jay Ellis,Michael Anthony Salvi,Brandon Yates,Edward T Boyd,Steven J Gilber,Robert C Barrilli,John Mccann,15
William E Donnelly,3,12,8,4,3,2,2,3,9,15
Michael J Mcmonagle,,3,8,4,2,1,1,1,6,15
Thomas Jay Ellis,,,0,3,1,1,2,1,4,15
Michael Anthony Salvi,,,,1,3,1,0,0,0,15
Brandon Yates,,,,,0,0,0,1,2,15
Edward T Boyd,,,,,,0,2,0,1,15
Steven J Gilber,,,,,,,0,0,1,15
Robert C Barrilli,,,,,,,,0,2,15
John Mccann,,,,,,,,,2,15
Total,24,19,14,9,5,4,4,3,15,15
,Delegate To The Republican National Convention 13th District,,,,,,,,Representative In The General Assembly 169th District - Republican,18
,William E Donnelly,Michael J Mcmonagle,Thomas Jay Ellis,Robert C Barrilli,Michael Anthony Salvi,Brandon Yates,Edward T Boyd,Steven J Gilber,John Mccann,18
William E Donnelly,3,18,16,5,7,3,4,0,14,18
Michael J Mcmonagle,,3,11,3,4,1,2,1,10,18
Thomas Jay Ellis,,,0,3,1,2,0,1,9,18
Robert C Barrilli,,,,1,0,1,3,2,3,18
Michael Anthony Salvi,,,,,0,1,1,1,3,18
Brandon Yates,,,,,,0,1,3,1,18
Edward T Boyd,,,,,,,0,0,2,18
Steven J Gilber,,,,,,,,0,2,18
John Mccann,,,,,,,,,1,18
Total,33,24,17,10,8,6,6,5,19,18
,Delegate To The Republican National Convention 13th District,,,,,,,,Representative In The General Assembly 169th District - Republican,19
,William E Donnelly,Michael J Mcmonagle,Thomas Jay Ellis,Michael Anthony Salvi,Edward T Boyd,Brandon Yates,Robert C Barrilli,Steven J Gilber,John Mccann,19
William E Donnelly,6,18,14,5,3,0,2,1,12,19
Michael J Mcmonagle,,2,9,6,3,0,0,1,12,19
Thomas Jay Ellis,,,0,0,0,0,2,0,4,19
Michael Anthony Salvi,,,,1,0,1,0,1,5,19
Edward T Boyd,,,,,0,0,0,0,2,19
Brandon Yates,,,,,,1,0,1,0,19
Robert C Barrilli,,,,,,,0,0,0,19
Steven J Gilber,,,,,,,,0,1,19
John Mccann,,,,,,,,,3,19
Total,30,22,14,8,3,2,2,2,17,19
,Representative In The General Assembly 169th District - Republican,Delegate To The Republican National Convention 13th District,,,,,,,,20
