col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,Representative In The General Assembly 177th District - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,All
,William F Dunbar,Catherine G Scott,D Gregory Holt,Kelly Lynn Devine,Vince Gillen,Leslie S Richards,Olivia E Brady,Louis J Farinella,Patrick J Eiding,Caren Gansman Moskowitz,All
William F Dunbar,62,239,207,203,135,134,134,131,126,126,All
Catherine G Scott,,1,204,209,143,142,142,138,136,135,All
D Gregory Holt,,,1,199,135,134,126,132,127,128,All
Kelly Lynn Devine,,,,2,138,140,136,134,129,132,All
Vince Gillen,,,,,0,136,134,136,133,131,All
Leslie S Richards,,,,,,0,134,132,130,130,All
Olivia E Brady,,,,,,,0,130,127,129,All
Louis J Farinella,,,,,,,,0,132,128,All
Patrick J Eiding,,,,,,,,,2,126,All
Caren Gansman Moskowitz,,,,,,,,,,0,All
Total,328,256,221,218,147,146,145,143,140,137,All
