col_1,col_2,col_3,col_4,division
,Representative In The General Assembly 181st District - Democrat,Attorney General - Democrat,,All
,W Curtis Thomas,Patrick Murphy,Kathleen G Kane,All
W Curtis Thomas,18,97,73,All
Patrick Murphy,,12,0,All
Kathleen G Kane,,,3,All
Total,188,109,76,All
,Representative In The General Assembly 181st District - Democrat,Attorney General - Democrat,,5
,W Curtis Thomas,Patrick Murphy,Kathleen G Kane,5
W Curtis Thomas,12,83,56,5
Patrick Murphy,,3,0,5
Kathleen G Kane,,,3,5
Total,151,86,59,5
,Representative In The General Assembly 181st District - Democrat,Attorney General - Democrat,,13
,W Curtis Thomas,Patrick Murphy,Kathleen G Kane,13
W Curtis Thomas,6,14,17,13
Patrick Murphy,,9,0,13
Kathleen G Kane,,,0,13
Total,37,23,17,13
