col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,Delegate To The Democratic National Convention 13th District,,,,,,,,,Attorney General - Democrat,,All
,Catherine G Scott,D Gregory Holt,Kelly Lynn Devine,Leslie S Richards,Louis J Farinella,Olivia E Brady,Patrick J Eiding,Vince Gillen,Caren Gansman Moskowitz,Patrick Murphy,Kathleen G Kane,All
Catherine G Scott,13,"1,021","1,035",635,634,624,615,612,604,756,485,All
D Gregory Holt,,11,"1,003",604,599,588,582,591,577,662,384,All
Kelly Lynn Devine,,,3,620,615,602,588,597,591,651,403,All
Leslie S Richards,,,,0,601,606,579,589,589,437,201,All
Louis J Farinella,,,,,1,596,594,589,589,420,207,All
Olivia E Brady,,,,,,0,580,586,590,431,200,All
Patrick J Eiding,,,,,,,1,577,579,410,198,All
Vince Gillen,,,,,,,,0,576,414,193,All
Caren Gansman Moskowitz,,,,,,,,,0,405,195,All
Patrick Murphy,,,,,,,,,,229,0,All
Kathleen G Kane,,,,,,,,,,,83,All
Total,"1,320","1,120","1,120",667,655,655,635,633,626,"1,122",619,All
,Attorney General - Democrat,,Delegate To The Democratic National Convention 13th District,,,,,,,,,3
,Patrick Murphy,Kathleen G Kane,Catherine G Scott,D Gregory Holt,Kelly Lynn Devine,Louis J Farinella,Olivia E Brady,Leslie S Richards,Patrick J Eiding,Vince Gillen,Caren Gansman Moskowitz,3
Patrick Murphy,26,0,34,28,29,22,24,23,20,21,21,3
Kathleen G Kane,,2,18,12,11,10,9,7,10,8,7,3
Catherine G Scott,,,2,41,42,35,32,31,32,30,30,3
D Gregory Holt,,,,1,41,28,29,27,27,29,28,3
Kelly Lynn Devine,,,,,0,28,30,30,27,28,29,3
Louis J Farinella,,,,,,0,30,29,31,29,29,3
Olivia E Brady,,,,,,,0,30,28,31,30,3
Leslie S Richards,,,,,,,,0,28,28,29,3
Patrick J Eiding,,,,,,,,,0,28,28,3
Vince Gillen,,,,,,,,,,0,29,3
Caren Gansman Moskowitz,,,,,,,,,,,0,3
Total,65,21,60,45,45,35,35,32,32,31,30,3
,Delegate To The Democratic National Convention 13th District,,,,,,,,,Attorney General - Democrat,,4
,Kelly Lynn Devine,Catherine G Scott,D Gregory Holt,Vince Gillen,Olivia E Brady,Louis J Farinella,Patrick J Eiding,Caren Gansman Moskowitz,Leslie S Richards,Patrick Murphy,Kathleen G Kane,4
Kelly Lynn Devine,0,24,26,14,14,14,13,13,12,17,11,4
Catherine G Scott,,0,24,14,14,13,12,12,11,16,11,4
D Gregory Holt,,,0,15,14,14,13,13,13,15,12,4
Vince Gillen,,,,0,15,14,13,13,13,9,6,4
Olivia E Brady,,,,,0,14,13,13,12,8,6,4
Louis J Farinella,,,,,,0,13,13,12,8,5,4
Patrick J Eiding,,,,,,,0,13,12,8,5,4
Caren Gansman Moskowitz,,,,,,,,0,12,7,5,4
Leslie S Richards,,,,,,,,,0,7,5,4
Patrick Murphy,,,,,,,,,,6,0,4
Kathleen G Kane,,,,,,,,,,,5,4
Total,29,28,28,16,15,14,14,13,13,27,19,4
,Delegate To The Democratic National Convention 13th District,,,,,,,,,Attorney General - Democrat,,5
,Catherine G Scott,D Gregory Holt,Kelly Lynn Devine,Leslie S Richards,Olivia E Brady,Vince Gillen,Caren Gansman Moskowitz,Louis J Farinella,Patrick J Eiding,Patrick Murphy,Kathleen G Kane,5
Catherine G Scott,2,24,25,16,17,17,16,15,15,20,11,5
D Gregory Holt,,0,21,13,14,14,14,13,13,21,5,5
Kelly Lynn Devine,,,0,16,16,15,15,15,15,16,7,5
Leslie S Richards,,,,0,16,14,14,15,14,10,7,5
Olivia E Brady,,,,,0,15,15,15,14,10,6,5
Vince Gillen,,,,,,0,16,14,15,12,4,5
Caren Gansman Moskowitz,,,,,,,0,14,15,11,4,5
Louis J Farinella,,,,,,,,0,14,9,6,5
Patrick J Eiding,,,,,,,,,0,10,4,5
Patrick Murphy,,,,,,,,,,9,0,5
Kathleen G Kane,,,,,,,,,,,2,5
Total,36,29,26,18,17,17,16,16,15,36,15,5
,Attorney General - Democrat,,Delegate To The Democratic National Convention 13th District,,,,,,,,,8
,Patrick Murphy,Kathleen G Kane,Catherine G Scott,Kelly Lynn Devine,D Gregory Holt,Louis J Farinella,Leslie S Richards,Caren Gansman Moskowitz,Olivia E Brady,Patrick J Eiding,Vince Gillen,8
Patrick Murphy,20,0,28,30,25,15,15,14,14,12,13,8
Kathleen G Kane,,2,9,8,9,3,2,2,2,3,2,8
Catherine G Scott,,,1,35,33,18,17,16,17,16,16,8
Kelly Lynn Devine,,,,0,32,18,17,17,17,15,16,8
D Gregory Holt,,,,,0,15,15,15,15,15,15,8
Louis J Farinella,,,,,,0,17,17,17,16,16,8
Leslie S Richards,,,,,,,0,16,17,15,16,8
Caren Gansman Moskowitz,,,,,,,,0,16,15,15,8
Olivia E Brady,,,,,,,,,0,15,16,8
Patrick J Eiding,,,,,,,,,,0,15,8
Vince Gillen,,,,,,,,,,,0,8
Total,57,13,41,41,37,19,18,17,17,16,16,8
,Delegate To The Democratic National Convention 13th District,,,,,,,,,Attorney General - Democrat,,9
,Catherine G Scott,Kelly Lynn Devine,D Gregory Holt,Louis J Farinella,Leslie S Richards,Olivia E Brady,Patrick J Eiding,Caren Gansman Moskowitz,Vince Gillen,Patrick Murphy,Kathleen G Kane,9
Catherine G Scott,0,58,57,33,29,29,31,28,28,39,35,9
Kelly Lynn Devine,,0,56,29,29,27,26,28,27,35,29,9
D Gregory Holt,,,1,28,27,27,28,27,26,37,24,9
Louis J Farinella,,,,0,28,27,29,30,27,15,17,9
Leslie S Richards,,,,,0,28,26,27,26,16,15,9
Olivia E Brady,,,,,,0,25,27,27,18,12,9
Patrick J Eiding,,,,,,,0,26,25,16,14,9
Caren Gansman Moskowitz,,,,,,,,0,26,16,13,9
Vince Gillen,,,,,,,,,0,14,12,9
Patrick Murphy,,,,,,,,,,17,0,9
Kathleen G Kane,,,,,,,,,,,4,9
Total,78,68,66,35,34,33,33,32,29,67,49,9
,Delegate To The Democratic National Convention 13th District,,,,,,,,,Attorney General - Democrat,,10
,Catherine G Scott,Kelly Lynn Devine,D Gregory Holt,Olivia E Brady,Caren Gansman Moskowitz,Patrick J Eiding,Leslie S Richards,Louis J Farinella,Vince Gillen,Patrick Murphy,Kathleen G Kane,10
Catherine G Scott,0,50,48,28,27,26,26,26,25,42,19,10
Kelly Lynn Devine,,0,48,29,27,26,26,26,26,33,17,10
D Gregory Holt,,,0,27,26,26,25,25,24,32,16,10
Olivia E Brady,,,,0,27,26,26,26,26,20,8,10
Caren Gansman Moskowitz,,,,,0,26,25,25,25,18,8,10
Patrick J Eiding,,,,,,0,24,24,24,18,8,10
Leslie S Richards,,,,,,,0,26,25,18,7,10
Louis J Farinella,,,,,,,,0,25,18,7,10
Vince Gillen,,,,,,,,,0,18,7,10
Patrick Murphy,,,,,,,,,,8,0,10
Kathleen G Kane,,,,,,,,,,,2,10
Total,63,52,49,29,27,27,26,26,26,53,22,10
,Delegate To The Democratic National Convention 13th District,,,,,,,,,Attorney General - Democrat,,11
,Catherine G Scott,D Gregory Holt,Kelly Lynn Devine,Leslie S Richards,Vince Gillen,Olivia E Brady,Caren Gansman Moskowitz,Louis J Farinella,Patrick J Eiding,Patrick Murphy,Kathleen G Kane,11
Catherine G Scott,1,73,72,51,49,48,47,47,46,51,26,11
D Gregory Holt,,1,72,50,49,48,45,47,46,52,25,11
Kelly Lynn Devine,,,0,48,47,46,45,46,45,46,24,11
Leslie S Richards,,,,0,48,49,45,46,45,36,16,11
Vince Gillen,,,,,0,48,47,46,45,35,16,11
Olivia E Brady,,,,,,0,45,45,45,34,16,11
Caren Gansman Moskowitz,,,,,,,0,45,45,32,16,11
Louis J Farinella,,,,,,,,0,47,31,17,11
Patrick J Eiding,,,,,,,,,0,30,17,11
Patrick Murphy,,,,,,,,,,4,0,11
Kathleen G Kane,,,,,,,,,,,3,11
Total,81,81,73,52,51,50,48,48,47,63,30,11
,Delegate To The Democratic National Convention 13th District,,,,,,,,,Attorney General - Democrat,,12
,Catherine G Scott,D Gregory Holt,Kelly Lynn Devine,Olivia E Brady,Patrick J Eiding,Vince Gillen,Leslie S Richards,Louis J Farinella,Caren Gansman Moskowitz,Patrick Murphy,Kathleen G Kane,12
Catherine G Scott,2,40,38,21,22,21,21,21,20,29,21,12
D Gregory Holt,,0,37,20,20,21,19,19,19,26,16,12
Kelly Lynn Devine,,,0,19,19,19,19,19,19,24,16,12
Olivia E Brady,,,,0,20,21,21,19,20,15,8,12
Patrick J Eiding,,,,,0,21,20,21,20,15,7,12
Vince Gillen,,,,,,0,20,20,20,15,7,12
Leslie S Richards,,,,,,,0,19,20,13,8,12
Louis J Farinella,,,,,,,,0,19,14,7,12
Caren Gansman Moskowitz,,,,,,,,,0,13,7,12
Patrick Murphy,,,,,,,,,,6,0,12
Kathleen G Kane,,,,,,,,,,,3,12
Total,53,43,41,23,22,22,21,21,20,42,24,12
,Delegate To The Democratic National Convention 13th District,,,,,,,,,Attorney General - Democrat,,13
,Catherine G Scott,Kelly Lynn Devine,D Gregory Holt,Leslie S Richards,Olivia E Brady,Louis J Farinella,Vince Gillen,Patrick J Eiding,Caren Gansman Moskowitz,Patrick Murphy,Kathleen G Kane,13
Catherine G Scott,1,49,47,23,21,22,22,20,19,32,19,13
Kelly Lynn Devine,,1,47,24,22,22,21,19,19,31,19,13
D Gregory Holt,,,1,21,18,21,20,18,18,29,16,13
Leslie S Richards,,,,0,21,21,20,18,18,17,8,13
Olivia E Brady,,,,,0,19,19,19,19,16,8,13
Louis J Farinella,,,,,,0,20,18,19,15,7,13
Vince Gillen,,,,,,,0,20,18,15,7,13
Patrick J Eiding,,,,,,,,1,18,14,6,13
Caren Gansman Moskowitz,,,,,,,,,0,13,6,13
Patrick Murphy,,,,,,,,,,12,0,13
Kathleen G Kane,,,,,,,,,,,6,13
Total,57,56,51,25,24,22,22,21,19,51,27,13
,Delegate To The Democratic National Convention 13th District,,,,,,,,,Attorney General - Democrat,,14
,Catherine G Scott,D Gregory Holt,Kelly Lynn Devine,Leslie S Richards,Louis J Farinella,Patrick J Eiding,Caren Gansman Moskowitz,Olivia E Brady,Vince Gillen,Kathleen G Kane,Patrick Murphy,14
