col_1,col_2,col_3,col_4,division
,President Of The United States - Democrat,Attorney General - Democrat,,All
,Barack Obama,Patrick Murphy,Kathleen G Kane,All
Barack Obama,103,459,217,All
Patrick Murphy,,3,0,All
Kathleen G Kane,,,4,All
Total,779,462,221,All
,President Of The United States - Democrat,Attorney General - Democrat,,1
,Barack Obama,Patrick Murphy,Kathleen G Kane,1
Barack Obama,5,22,11,1
Patrick Murphy,,0,0,1
Kathleen G Kane,,,0,1
Total,38,22,11,1
,President Of The United States - Democrat,Attorney General - Democrat,,2
,Barack Obama,Patrick Murphy,Kathleen G Kane,2
Barack Obama,6,46,18,2
Patrick Murphy,,0,0,2
Kathleen G Kane,,,2,2
Total,70,46,20,2
,President Of The United States - Democrat,Attorney General - Democrat,,3
,Barack Obama,Patrick Murphy,Kathleen G Kane,3
Barack Obama,7,22,15,3
Patrick Murphy,,1,0,3
Kathleen G Kane,,,0,3
Total,44,23,15,3
,President Of The United States - Democrat,Attorney General - Democrat,,4
,Barack Obama,Patrick Murphy,Kathleen G Kane,4
Barack Obama,3,27,11,4
Patrick Murphy,,0,0,4
Kathleen G Kane,,,0,4
Total,41,27,11,4
,President Of The United States - Democrat,Attorney General - Democrat,,5
,Barack Obama,Patrick Murphy,Kathleen G Kane,5
Barack Obama,15,43,23,5
Patrick Murphy,,1,0,5
Kathleen G Kane,,,0,5
Total,81,44,23,5
,President Of The United States - Democrat,Attorney General - Democrat,,6
,Barack Obama,Patrick Murphy,Kathleen G Kane,6
Barack Obama,6,27,7,6
Patrick Murphy,,0,0,6
Kathleen G Kane,,,0,6
Total,40,27,7,6
,President Of The United States - Democrat,Attorney General - Democrat,,7
,Barack Obama,Patrick Murphy,Kathleen G Kane,7
Barack Obama,6,59,20,7
Patrick Murphy,,0,0,7
Kathleen G Kane,,,0,7
Total,85,59,20,7
,President Of The United States - Democrat,Attorney General - Democrat,,8
,Barack Obama,Patrick Murphy,Kathleen G Kane,8
Barack Obama,10,42,22,8
Patrick Murphy,,0,0,8
Kathleen G Kane,,,0,8
Total,74,42,22,8
,President Of The United States - Democrat,Attorney General - Democrat,,9
,Barack Obama,Kathleen G Kane,Patrick Murphy,9
Barack Obama,4,21,17,9
Kathleen G Kane,,0,0,9
Patrick Murphy,,,0,9
Total,42,21,17,9
,President Of The United States - Democrat,Attorney General - Democrat,,10
,Barack Obama,Patrick Murphy,Kathleen G Kane,10
Barack Obama,9,26,21,10
Patrick Murphy,,0,0,10
Kathleen G Kane,,,0,10
Total,56,26,21,10
,President Of The United States - Democrat,Attorney General - Democrat,,11
,Barack Obama,Patrick Murphy,Kathleen G Kane,11
Barack Obama,9,50,19,11
Patrick Murphy,,0,0,11
Kathleen G Kane,,,1,11
Total,78,50,20,11
,President Of The United States - Democrat,Attorney General - Democrat,,12
,Barack Obama,Patrick Murphy,Kathleen G Kane,12
Barack Obama,2,17,4,12
Patrick Murphy,,0,0,12
Kathleen G Kane,,,0,12
Total,23,17,4,12
,President Of The United States - Democrat,Attorney General - Democrat,,13
,Barack Obama,Patrick Murphy,Kathleen G Kane,13
Barack Obama,18,34,16,13
Patrick Murphy,,1,0,13
Kathleen G Kane,,,1,13
Total,68,35,17,13
,President Of The United States - Democrat,Attorney General - Democrat,,14
,Barack Obama,Patrick Murphy,Kathleen G Kane,14
Barack Obama,3,27,9,14
Patrick Murphy,,0,0,14
Kathleen G Kane,,,0,14
Total,39,27,9,14
