col_1,col_2,col_3,division
,State Treasurer - Democrat,Auditor General - Democrat,All
,Robert M Mccord,Eugene A Depasquale,All
Robert M Mccord,136,"1,333",All
Eugene A Depasquale,,43,All
Total,"1,469","1,376",All
,State Treasurer - Democrat,Auditor General - Democrat,1
,Robert M Mccord,Eugene A Depasquale,1
Robert M Mccord,13,91,1
Eugene A Depasquale,,3,1
Total,104,94,1
,State Treasurer - Democrat,Auditor General - Democrat,2
,Robert M Mccord,Eugene A Depasquale,2
Robert M Mccord,10,64,2
Eugene A Depasquale,,5,2
Total,74,69,2
,State Treasurer - Democrat,Auditor General - Democrat,3
,Robert M Mccord,Eugene A Depasquale,3
Robert M Mccord,3,78,3
Eugene A Depasquale,,1,3
Total,81,79,3
,State Treasurer - Democrat,Auditor General - Democrat,4
,Robert M Mccord,Eugene A Depasquale,4
Robert M Mccord,4,52,4
Eugene A Depasquale,,0,4
Total,56,52,4
,State Treasurer - Democrat,Auditor General - Democrat,5
,Robert M Mccord,Eugene A Depasquale,5
Robert M Mccord,5,49,5
Eugene A Depasquale,,2,5
Total,54,51,5
,State Treasurer - Democrat,Auditor General - Democrat,6
,Robert M Mccord,Eugene A Depasquale,6
Robert M Mccord,7,95,6
Eugene A Depasquale,,1,6
Total,102,96,6
,State Treasurer - Democrat,Auditor General - Democrat,7
,Robert M Mccord,Eugene A Depasquale,7
Robert M Mccord,12,132,7
Eugene A Depasquale,,6,7
Total,144,138,7
,State Treasurer - Democrat,Auditor General - Democrat,8
,Robert M Mccord,Eugene A Depasquale,8
Robert M Mccord,11,142,8
Eugene A Depasquale,,3,8
Total,153,145,8
,State Treasurer - Democrat,Auditor General - Democrat,9
,Robert M Mccord,Eugene A Depasquale,9
Robert M Mccord,8,90,9
Eugene A Depasquale,,3,9
Total,98,93,9
,State Treasurer - Democrat,Auditor General - Democrat,10
,Robert M Mccord,Eugene A Depasquale,10
Robert M Mccord,5,38,10
Eugene A Depasquale,,0,10
Total,43,38,10
,State Treasurer - Democrat,Auditor General - Democrat,11
,Robert M Mccord,Eugene A Depasquale,11
Robert M Mccord,6,32,11
Eugene A Depasquale,,0,11
Total,38,32,11
,State Treasurer - Democrat,Auditor General - Democrat,12
,Robert M Mccord,Eugene A Depasquale,12
Robert M Mccord,6,69,12
Eugene A Depasquale,,2,12
Total,75,71,12
,State Treasurer - Democrat,Auditor General - Democrat,13
,Robert M Mccord,Eugene A Depasquale,13
Robert M Mccord,11,59,13
Eugene A Depasquale,,4,13
Total,70,63,13
,State Treasurer - Democrat,Auditor General - Democrat,14
,Robert M Mccord,Eugene A Depasquale,14
Robert M Mccord,11,60,14
Eugene A Depasquale,,3,14
Total,71,63,14
,State Treasurer - Democrat,Auditor General - Democrat,15
,Robert M Mccord,Eugene A Depasquale,15
Robert M Mccord,10,92,15
Eugene A Depasquale,,5,15
Total,102,97,15
,State Treasurer - Democrat,Auditor General - Democrat,16
,Robert M Mccord,Eugene A Depasquale,16
Robert M Mccord,6,98,16
Eugene A Depasquale,,3,16
Total,104,101,16
,State Treasurer - Democrat,Auditor General - Democrat,17
,Robert M Mccord,Eugene A Depasquale,17
Robert M Mccord,8,92,17
Eugene A Depasquale,,2,17
Total,100,94,17
