col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,division
,Senator In The General Assembly 1st District - Republican,Delegate To The Republican National Convention 1st District,,,,,,All
,Alfonso Gambone Jr,Christopher M Vogler,Tom Boggia,Marion S Taxin,Michael W Untermeyer,Frederick W Anton,Dale Kerns,All
Alfonso Gambone Jr,216,"1,071","1,024","1,022",494,503,343,All
Christopher M Vogler,,86,463,693,205,332,118,All
Tom Boggia,,,33,455,215,116,192,All
Marion S Taxin,,,,22,143,347,87,All
Michael W Untermeyer,,,,,29,129,174,All
Frederick W Anton,,,,,,8,100,All
Dale Kerns,,,,,,,12,All
Total,"2,258","1,201","1,117","1,091",562,551,412,All
