col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,division
,Delegate To The Democratic National Convention 13th District,,,,,,,,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,All
,Catherine G Scott,Kelly Lynn Devine,D Gregory Holt,Vince Gillen,Olivia E Brady,Louis J Farinella,Patrick J Eiding,Leslie S Richards,Caren Gansman Moskowitz,Ted Kirsch,Ryan N Boyer,Anthony Hardy Williams,Mindy M Posoff,Elizabeth A Washo,Christine M Tartaglione,Kathryn Sylvia Huggins,Deborah E Landau,Thaddeus Kirkland,Sekela Coles,All
Catherine G Scott,201,"1,494","1,432","1,026","1,023","1,012","1,020","1,031",997,0,0,0,0,0,0,0,0,0,0,All
Kelly Lynn Devine,,102,"1,403",997,"1,008",993,988,"1,003",973,0,0,0,0,0,0,0,0,0,0,All
D Gregory Holt,,,77,976,959,967,964,967,936,0,0,0,0,0,0,0,0,0,0,All
Vince Gillen,,,,10,965,973,984,971,952,0,0,0,0,0,0,0,0,0,0,All
Olivia E Brady,,,,,14,963,956,988,970,0,0,0,0,0,0,0,0,0,0,All
Louis J Farinella,,,,,,15,973,968,945,0,0,0,0,0,0,0,0,0,0,All
Patrick J Eiding,,,,,,,11,962,949,0,0,0,0,0,0,0,0,0,0,All
Leslie S Richards,,,,,,,,6,959,0,0,0,0,0,0,0,0,0,0,All
Caren Gansman Moskowitz,,,,,,,,,7,0,0,0,0,0,0,0,0,0,0,All
Ted Kirsch,,,,,,,,,,88,"1,305","1,265","1,285","1,261","1,015",973,969,956,948,All
Ryan N Boyer,,,,,,,,,,,44,"1,258","1,274","1,254",995,979,970,946,935,All
Anthony Hardy Williams,,,,,,,,,,,,54,"1,242","1,219",995,958,950,923,927,All
Mindy M Posoff,,,,,,,,,,,,,31,"1,261",996,973,959,947,936,All
Elizabeth A Washo,,,,,,,,,,,,,,20,995,986,977,941,921,All
Christine M Tartaglione,,,,,,,,,,,,,,,176,"1,034","1,016",982,979,All
Kathryn Sylvia Huggins,,,,,,,,,,,,,,,,7,"1,020",974,978,All
Deborah E Landau,,,,,,,,,,,,,,,,,6,974,972,All
Thaddeus Kirkland,,,,,,,,,,,,,,,,,,2,957,All
Sekela Coles,,,,,,,,,,,,,,,,,,,4,All
Total,"1,836","1,658","1,554","1,091","1,084","1,082","1,082","1,078","1,038","1,506","1,439","1,419","1,392","1,374","1,364","1,102","1,079","1,032","1,030",All
