col_1,col_2,col_3,division
,President Of The United States - Democrat,Representative In The General Assembly 177th District - Democrat,All
,Barack Obama,William F Dunbar,All
Barack Obama,110,316,All
William F Dunbar,,17,All
Total,426,333,All
,President Of The United States - Democrat,Representative In The General Assembly 177th District - Democrat,1
,Barack Obama,William F Dunbar,1
Barack Obama,11,25,1
William F Dunbar,,1,1
Total,36,26,1
,President Of The United States - Democrat,Representative In The General Assembly 177th District - Democrat,2
,Barack Obama,William F Dunbar,2
Barack Obama,9,23,2
William F Dunbar,,2,2
Total,32,25,2
,President Of The United States - Democrat,Representative In The General Assembly 177th District - Democrat,3
,Barack Obama,William F Dunbar,3
Barack Obama,9,16,3
William F Dunbar,,2,3
Total,25,18,3
,President Of The United States - Democrat,Representative In The General Assembly 177th District - Democrat,4
,Barack Obama,William F Dunbar,4
Barack Obama,10,27,4
William F Dunbar,,1,4
Total,37,28,4
,President Of The United States - Democrat,Representative In The General Assembly 177th District - Democrat,5
,Barack Obama,William F Dunbar,5
Barack Obama,9,26,5
William F Dunbar,,4,5
Total,35,30,5
,President Of The United States - Democrat,Representative In The General Assembly 177th District - Democrat,6
,Barack Obama,William F Dunbar,6
Barack Obama,4,22,6
William F Dunbar,,0,6
Total,26,22,6
,President Of The United States - Democrat,Representative In The General Assembly 177th District - Democrat,7
,Barack Obama,William F Dunbar,7
Barack Obama,7,32,7
William F Dunbar,,2,7
Total,39,34,7
,President Of The United States - Democrat,Representative In The General Assembly 177th District - Democrat,8
,Barack Obama,William F Dunbar,8
Barack Obama,12,24,8
William F Dunbar,,0,8
Total,36,24,8
,President Of The United States - Democrat,Representative In The General Assembly 177th District - Democrat,9
,Barack Obama,William F Dunbar,9
Barack Obama,9,25,9
William F Dunbar,,1,9
Total,34,26,9
,President Of The United States - Democrat,Representative In The General Assembly 177th District - Democrat,10
,Barack Obama,William F Dunbar,10
Barack Obama,9,25,10
William F Dunbar,,1,10
Total,34,26,10
,President Of The United States - Democrat,Representative In The General Assembly 177th District - Democrat,11
,Barack Obama,William F Dunbar,11
Barack Obama,0,26,11
William F Dunbar,,0,11
Total,26,26,11
,President Of The United States - Democrat,Representative In The General Assembly 177th District - Democrat,12
,Barack Obama,William F Dunbar,12
Barack Obama,10,25,12
William F Dunbar,,3,12
Total,35,28,12
,President Of The United States - Democrat,Representative In The General Assembly 177th District - Democrat,13
,Barack Obama,William F Dunbar,13
Barack Obama,11,20,13
William F Dunbar,,0,13
Total,31,20,13
