col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,division
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Representative In The General Assembly 198th District - Democrat,,,All
,Kenyatta J Johnson,Cindy Bass,Blondell Reynolds Brown,Mark Alan Aronchick,Jacquelyn Manns Smalley,Vincent J Hughes,Andrew P Toy,Jerome W Mondesire,Stephen A Cozen,Michelle W Singer,Joseph C Meade,Raye E Johnson,Jerry T Jordan,Eleanor M Dezzi,Heather Steinmiller,Nancy Astor Fox,William S Leopold,Rosita C Youngblood,Charisma D Presley,Malik L Boyd,All
Kenyatta J Johnson,15,"4,499","4,478","4,054","4,123","3,326","3,130","3,158","3,122","3,044","3,071","3,072","3,043","3,020","3,002","2,974","2,909","2,352","1,575","1,291",All
Cindy Bass,,3,"4,398","4,000","4,068","3,282","3,131","3,115","3,085","3,025","3,022","2,987","3,005","2,999","2,967","2,930","2,864","2,247","1,525","1,170",All
Blondell Reynolds Brown,,,5,"3,966","4,006","3,269","3,097","3,118","3,047","2,984","3,014","2,975","2,991","2,961","2,940","2,892","2,861","2,216","1,443","1,118",All
Mark Alan Aronchick,,,,4,"3,859","2,937","2,936","2,911","2,949","2,808","2,865","2,844","2,833","2,847","2,825","2,781","2,766","1,896","1,349",968,All
Jacquelyn Manns Smalley,,,,,1,"2,997","2,936","2,918","2,931","2,856","2,910","2,886","2,849","2,883","2,887","2,815","2,783","1,899","1,327",979,All
Vincent J Hughes,,,,,,1,"3,087","3,106","3,040","2,955","3,027","2,983","2,989","2,953","2,939","2,870","2,872","1,621","1,001",851,All
Andrew P Toy,,,,,,,8,"2,985","2,999","2,887","2,967","2,907","2,912","2,932","2,914","2,836","2,831","1,512",995,750,All
Jerome W Mondesire,,,,,,,,1,"2,985","2,850","2,973","2,899","2,919","2,883","2,858","2,818","2,817","1,543",948,758,All
Stephen A Cozen,,,,,,,,,2,"2,880","2,962","2,947","2,903","2,907","2,898","2,850","2,842","1,493",988,736,All
Michelle W Singer,,,,,,,,,,0,"2,853","2,890","2,858","2,896","2,895","2,892","2,784","1,475",946,735,All
Joseph C Meade,,,,,,,,,,,0,"2,926","2,912","2,900","2,895","2,824","2,856","1,453",930,725,All
Raye E Johnson,,,,,,,,,,,,0,"2,912","2,926","2,921","2,861","2,865","1,445",931,726,All
Jerry T Jordan,,,,,,,,,,,,,0,"2,865","2,863","2,804","2,844","1,464",926,706,All
Eleanor M Dezzi,,,,,,,,,,,,,,0,"2,956","2,857","2,833","1,437",941,703,All
Heather Steinmiller,,,,,,,,,,,,,,,0,"2,869","2,844","1,430",935,692,All
Nancy Astor Fox,,,,,,,,,,,,,,,,2,"2,767","1,420",936,682,All
William S Leopold,,,,,,,,,,,,,,,,,0,"1,363",893,661,All
Rosita C Youngblood,,,,,,,,,,,,,,,,,,980,0,0,All
Charisma D Presley,,,,,,,,,,,,,,,,,,,487,0,All
Malik L Boyd,,,,,,,,,,,,,,,,,,,,439,All
Total,"5,325","5,037","4,877","4,297","4,280","3,546","3,327","3,315","3,281","3,220","3,165","3,157","3,149","3,142","3,117","3,099","2,970","3,808","2,346","2,014",All
