col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,division
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Representative In The General Assembly 190th District - Democrat,,,,All
,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Mark Alan Aronchick,Jacquelyn Manns Smalley,Vincent J Hughes,Andrew P Toy,Stephen A Cozen,Joseph C Meade,Raye E Johnson,Jerome W Mondesire,Jerry T Jordan,Heather Steinmiller,Michelle W Singer,Eleanor M Dezzi,Nancy Astor Fox,William S Leopold,Wanda Logan,Audrey Blackwell Watson,Vanessa L Brown,Lemuel L Thornton,All
Kenyatta J Johnson,4,453,443,420,410,261,230,224,223,225,221,217,207,205,208,201,201,218,183,127,9,All
Blondell Reynolds Brown,,5,423,410,397,256,227,223,222,223,216,217,209,204,209,198,206,190,162,115,10,All
Cindy Bass,,,1,410,405,244,226,223,219,220,217,216,204,199,207,197,201,183,156,105,7,All
Mark Alan Aronchick,,,,0,398,227,218,218,213,212,208,209,202,192,199,190,203,186,145,90,8,All
Jacquelyn Manns Smalley,,,,,1,224,215,213,209,209,204,205,198,188,198,187,195,174,137,95,9,All
Vincent J Hughes,,,,,,0,235,231,227,226,221,220,209,207,209,202,209,82,92,115,8,All
Andrew P Toy,,,,,,,0,224,222,215,205,214,207,195,206,194,204,75,71,87,9,All
Stephen A Cozen,,,,,,,,0,221,215,208,210,208,193,206,194,203,71,70,89,9,All
Joseph C Meade,,,,,,,,,0,215,211,213,208,191,207,194,204,73,66,88,7,All
Raye E Johnson,,,,,,,,,,0,202,214,208,202,208,201,207,71,69,87,7,All
Jerome W Mondesire,,,,,,,,,,,0,203,196,182,193,182,192,72,68,82,6,All
Jerry T Jordan,,,,,,,,,,,,0,210,201,206,195,205,76,64,81,8,All
Heather Steinmiller,,,,,,,,,,,,,0,191,202,190,200,69,62,76,8,All
Michelle W Singer,,,,,,,,,,,,,,0,188,188,187,71,60,78,7,All
Eleanor M Dezzi,,,,,,,,,,,,,,,0,190,200,69,61,77,6,All
Nancy Astor Fox,,,,,,,,,,,,,,,,0,188,64,62,77,8,All
