col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,division
,Delegate To The Democratic National Convention 1st District,,,,,,,,,,Attorney General - Democrat,,All
,Anthony Hardy Williams,Ted Kirsch,Ryan N Boyer,Mindy M Posoff,Elizabeth A Washo,Christine M Tartaglione,Kathryn Sylvia Huggins,Thaddeus Kirkland,Sekela Coles,Deborah E Landau,Patrick Murphy,Kathleen G Kane,All
Anthony Hardy Williams,22,"2,219","2,181","2,122","2,107","1,487","1,444","1,403","1,401","1,392","1,546",991,All
Ted Kirsch,,8,"2,182","2,163","2,123","1,419","1,380","1,375","1,367","1,360","1,392",949,All
Ryan N Boyer,,,1,"2,129","2,094","1,380","1,392","1,358","1,360","1,357","1,317",893,All
Mindy M Posoff,,,,2,"2,101","1,366","1,355","1,332","1,338","1,321","1,265",893,All
Elizabeth A Washo,,,,,2,"1,376","1,370","1,331","1,339","1,348","1,250",890,All
Christine M Tartaglione,,,,,,2,"1,443","1,412","1,424","1,414","1,000",537,All
Kathryn Sylvia Huggins,,,,,,,0,"1,391","1,410","1,420",961,549,All
Thaddeus Kirkland,,,,,,,,1,"1,385","1,367",939,501,All
Sekela Coles,,,,,,,,,0,"1,393",923,506,All
Deborah E Landau,,,,,,,,,,0,917,506,All
Patrick Murphy,,,,,,,,,,,652,0,All
Kathleen G Kane,,,,,,,,,,,,174,All
Total,"2,678","2,457","2,312","2,257","2,240","1,607","1,576","1,507","1,491","1,486","2,442","1,337",All
,Delegate To The Democratic National Convention 1st District,,,,,,,,,,Attorney General - Democrat,,1
,Anthony Hardy Williams,Ted Kirsch,Christine M Tartaglione,Ryan N Boyer,Kathryn Sylvia Huggins,Sekela Coles,Deborah E Landau,Mindy M Posoff,Elizabeth A Washo,Thaddeus Kirkland,Patrick Murphy,Kathleen G Kane,1
Anthony Hardy Williams,0,17,17,18,16,16,14,15,14,13,15,8,1
Ted Kirsch,,0,14,15,12,13,12,14,14,12,13,7,1
Christine M Tartaglione,,,0,13,16,16,15,11,11,13,10,8,1
Ryan N Boyer,,,,0,13,13,12,15,14,13,11,6,1
Kathryn Sylvia Huggins,,,,,0,15,15,11,11,13,10,7,1
Sekela Coles,,,,,,0,14,11,11,13,10,6,1
Deborah E Landau,,,,,,,0,11,11,12,9,6,1
Mindy M Posoff,,,,,,,,0,14,11,11,4,1
Elizabeth A Washo,,,,,,,,,0,11,10,4,1
Thaddeus Kirkland,,,,,,,,,,0,8,5,1
Patrick Murphy,,,,,,,,,,,4,0,1
Kathleen G Kane,,,,,,,,,,,,0,1
Total,24,20,18,18,17,16,15,15,14,13,21,10,1
,Delegate To The Democratic National Convention 1st District,,,,,,,,,,Attorney General - Democrat,,2
,Anthony Hardy Williams,Elizabeth A Washo,Ryan N Boyer,Ted Kirsch,Mindy M Posoff,Christine M Tartaglione,Sekela Coles,Kathryn Sylvia Huggins,Thaddeus Kirkland,Deborah E Landau,Kathleen G Kane,Patrick Murphy,2
Anthony Hardy Williams,0,46,45,45,44,26,25,26,23,25,26,22,2
Elizabeth A Washo,,0,47,46,46,28,27,26,25,25,27,21,2
Ryan N Boyer,,,0,46,45,27,27,25,25,25,25,21,2
Ted Kirsch,,,,0,44,26,26,25,24,25,26,19,2
Mindy M Posoff,,,,,0,27,26,25,25,24,25,19,2
Christine M Tartaglione,,,,,,0,29,28,27,27,13,17,2
Sekela Coles,,,,,,,0,27,27,27,13,16,2
Kathryn Sylvia Huggins,,,,,,,,0,25,27,13,15,2
Thaddeus Kirkland,,,,,,,,,0,25,13,15,2
Deborah E Landau,,,,,,,,,,0,13,14,2
Kathleen G Kane,,,,,,,,,,,7,0,2
Patrick Murphy,,,,,,,,,,,,11,2
Total,50,50,48,47,46,30,29,28,28,27,38,37,2
,Attorney General - Democrat,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,3
,Patrick Murphy,Kathleen G Kane,Anthony Hardy Williams,Ted Kirsch,Mindy M Posoff,Elizabeth A Washo,Ryan N Boyer,Christine M Tartaglione,Kathryn Sylvia Huggins,Sekela Coles,Deborah E Landau,Thaddeus Kirkland,3
Patrick Murphy,45,0,70,64,59,59,59,48,48,47,48,46,3
Kathleen G Kane,,9,38,37,39,36,35,25,22,24,22,21,3
Anthony Hardy Williams,,,1,95,94,93,92,73,68,70,68,68,3
Ted Kirsch,,,,0,93,91,90,66,65,67,65,64,3
Mindy M Posoff,,,,,0,94,92,66,67,68,68,64,3
Elizabeth A Washo,,,,,,0,92,65,66,67,66,64,3
Ryan N Boyer,,,,,,,0,64,64,65,65,64,3
Christine M Tartaglione,,,,,,,,0,68,71,68,67,3
Kathryn Sylvia Huggins,,,,,,,,,0,70,70,69,3
Sekela Coles,,,,,,,,,,0,70,68,3
Deborah E Landau,,,,,,,,,,,0,68,3
Thaddeus Kirkland,,,,,,,,,,,,0,3
Total,126,53,112,103,99,96,95,75,73,73,72,70,3
,Attorney General - Democrat,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,4
,Patrick Murphy,Kathleen G Kane,Anthony Hardy Williams,Ted Kirsch,Mindy M Posoff,Ryan N Boyer,Elizabeth A Washo,Christine M Tartaglione,Deborah E Landau,Thaddeus Kirkland,Sekela Coles,Kathryn Sylvia Huggins,4
Patrick Murphy,33,0,45,23,23,24,21,15,14,15,14,14,4
Kathleen G Kane,,3,27,25,24,24,22,7,8,7,7,7,4
Anthony Hardy Williams,,,1,51,50,49,48,25,25,25,24,23,4
Ted Kirsch,,,,1,50,49,48,24,24,24,24,23,4
Mindy M Posoff,,,,,0,47,48,24,24,24,24,23,4
Ryan N Boyer,,,,,,0,46,23,24,23,23,23,4
Elizabeth A Washo,,,,,,,0,24,24,24,24,23,4
Christine M Tartaglione,,,,,,,,0,26,27,26,25,4
Deborah E Landau,,,,,,,,,0,26,26,25,4
Thaddeus Kirkland,,,,,,,,,,0,26,25,4
Sekela Coles,,,,,,,,,,,0,25,4
Kathryn Sylvia Huggins,,,,,,,,,,,,0,4
Total,83,33,78,54,52,52,48,27,27,27,26,25,4
,Delegate To The Democratic National Convention 1st District,,,,,,,,,,Attorney General - Democrat,,5
,Anthony Hardy Williams,Ted Kirsch,Ryan N Boyer,Mindy M Posoff,Elizabeth A Washo,Christine M Tartaglione,Thaddeus Kirkland,Kathryn Sylvia Huggins,Sekela Coles,Deborah E Landau,Patrick Murphy,Kathleen G Kane,5
Anthony Hardy Williams,0,81,79,77,74,32,30,30,30,28,49,40,5
Ted Kirsch,,1,80,77,71,32,29,29,29,27,46,35,5
Ryan N Boyer,,,0,78,72,30,28,29,29,27,44,33,5
Mindy M Posoff,,,,0,72,30,28,30,29,27,42,33,5
Elizabeth A Washo,,,,,0,29,27,29,28,26,38,32,5
Christine M Tartaglione,,,,,,0,31,29,30,28,25,6,5
Thaddeus Kirkland,,,,,,,0,28,29,28,23,6,5
Kathryn Sylvia Huggins,,,,,,,,0,29,26,21,7,5
Sekela Coles,,,,,,,,,0,28,22,6,5
Deborah E Landau,,,,,,,,,,0,20,6,5
Patrick Murphy,,,,,,,,,,,37,0,5
Kathleen G Kane,,,,,,,,,,,,16,5
