col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,Representative In The General Assembly 177th District - Democrat,Delegate To The Democratic National Convention 1st District,,,,,,,,,,All
,William F Dunbar,Ted Kirsch,Anthony Hardy Williams,Mindy M Posoff,Elizabeth A Washo,Ryan N Boyer,Christine M Tartaglione,Kathryn Sylvia Huggins,Deborah E Landau,Thaddeus Kirkland,Sekela Coles,All
William F Dunbar,398,902,859,837,824,810,713,643,625,605,601,All
Ted Kirsch,,15,867,866,848,858,659,637,631,630,620,All
Anthony Hardy Williams,,,5,849,826,840,663,635,622,609,618,All
Mindy M Posoff,,,,3,850,836,652,649,632,618,624,All
Elizabeth A Washo,,,,,6,817,634,639,635,610,606,All
Ryan N Boyer,,,,,,6,629,619,614,609,605,All
Christine M Tartaglione,,,,,,,26,680,667,644,641,All
Kathryn Sylvia Huggins,,,,,,,,2,668,634,649,All
Deborah E Landau,,,,,,,,,1,635,644,All
Thaddeus Kirkland,,,,,,,,,,2,628,All
Sekela Coles,,,,,,,,,,,1,All
Total,"1,568","1,032",973,938,928,922,841,739,714,687,679,All
