col_1,col_2,col_3,col_4,division
,Senator In The General Assembly 5th District - Democrat,Attorney General - Democrat,,All
,Mike Stack,Patrick Murphy,Kathleen G Kane,All
Mike Stack,51,"1,047",439,All
Patrick Murphy,,150,0,All
Kathleen G Kane,,,106,All
Total,"1,537","1,197",545,All
,Senator In The General Assembly 5th District - Democrat,Attorney General - Democrat,,1
,Mike Stack,Patrick Murphy,Kathleen G Kane,1
Mike Stack,2,37,12,1
Patrick Murphy,,9,0,1
Kathleen G Kane,,,6,1
Total,51,46,18,1
,Senator In The General Assembly 5th District - Democrat,Attorney General - Democrat,,2
,Mike Stack,Patrick Murphy,Kathleen G Kane,2
Mike Stack,4,57,19,2
Patrick Murphy,,6,0,2
Kathleen G Kane,,,6,2
Total,80,63,25,2
,Senator In The General Assembly 5th District - Democrat,Attorney General - Democrat,,3
,Mike Stack,Patrick Murphy,Kathleen G Kane,3
Mike Stack,1,28,14,3
Patrick Murphy,,4,0,3
Kathleen G Kane,,,2,3
Total,43,32,16,3
,Senator In The General Assembly 5th District - Democrat,Attorney General - Democrat,,4
,Mike Stack,Patrick Murphy,Kathleen G Kane,4
Mike Stack,0,20,14,4
Patrick Murphy,,4,0,4
Kathleen G Kane,,,3,4
Total,34,24,17,4
,Senator In The General Assembly 5th District - Democrat,Attorney General - Democrat,,5
,Mike Stack,Patrick Murphy,Kathleen G Kane,5
Mike Stack,0,20,16,5
Patrick Murphy,,1,0,5
Kathleen G Kane,,,1,5
Total,36,21,17,5
,Senator In The General Assembly 5th District - Democrat,Attorney General - Democrat,,6
,Mike Stack,Patrick Murphy,Kathleen G Kane,6
Mike Stack,4,59,31,6
Patrick Murphy,,4,0,6
Kathleen G Kane,,,1,6
Total,94,63,32,6
,Senator In The General Assembly 5th District - Democrat,Attorney General - Democrat,,7
,Mike Stack,Patrick Murphy,Kathleen G Kane,7
Mike Stack,1,41,21,7
Patrick Murphy,,8,0,7
Kathleen G Kane,,,3,7
Total,63,49,24,7
,Senator In The General Assembly 5th District - Democrat,Attorney General - Democrat,,8
,Mike Stack,Patrick Murphy,Kathleen G Kane,8
Mike Stack,1,46,18,8
Patrick Murphy,,4,0,8
Kathleen G Kane,,,1,8
Total,65,50,19,8
,Senator In The General Assembly 5th District - Democrat,Attorney General - Democrat,,9
,Mike Stack,Patrick Murphy,Kathleen G Kane,9
Mike Stack,1,31,11,9
Patrick Murphy,,0,0,9
Kathleen G Kane,,,0,9
Total,43,31,11,9
,Senator In The General Assembly 5th District - Democrat,Attorney General - Democrat,,10
,Mike Stack,Patrick Murphy,Kathleen G Kane,10
Mike Stack,1,25,12,10
Patrick Murphy,,1,0,10
Kathleen G Kane,,,2,10
Total,38,26,14,10
,Senator In The General Assembly 5th District - Democrat,Attorney General - Democrat,,11
,Mike Stack,Patrick Murphy,Kathleen G Kane,11
Mike Stack,1,42,11,11
Patrick Murphy,,4,0,11
Kathleen G Kane,,,2,11
Total,54,46,13,11
,Attorney General - Democrat,,Senator In The General Assembly 5th District - Democrat,12
,Patrick Murphy,Kathleen G Kane,Mike Stack,12
Patrick Murphy,18,0,37,12
Kathleen G Kane,,6,9,12
Mike Stack,,,6,12
Total,55,15,52,12
,Senator In The General Assembly 5th District - Democrat,Attorney General - Democrat,,13
,Mike Stack,Patrick Murphy,Kathleen G Kane,13
Mike Stack,1,44,8,13
Patrick Murphy,,7,0,13
Kathleen G Kane,,,9,13
Total,53,51,17,13
,Senator In The General Assembly 5th District - Democrat,Attorney General - Democrat,,14
,Mike Stack,Patrick Murphy,Kathleen G Kane,14
Mike Stack,2,38,15,14
Patrick Murphy,,7,0,14
Kathleen G Kane,,,4,14
Total,55,45,19,14
,Attorney General - Democrat,,Senator In The General Assembly 5th District - Democrat,15
,Patrick Murphy,Kathleen G Kane,Mike Stack,15
Patrick Murphy,8,0,35,15
Kathleen G Kane,,1,4,15
Mike Stack,,,0,15
Total,43,5,39,15
,Senator In The General Assembly 5th District - Democrat,Attorney General - Democrat,,16
,Mike Stack,Patrick Murphy,Kathleen G Kane,16
Mike Stack,0,33,16,16
Patrick Murphy,,5,0,16
Kathleen G Kane,,,1,16
Total,49,38,17,16
,Senator In The General Assembly 5th District - Democrat,Attorney General - Democrat,,17
,Mike Stack,Patrick Murphy,Kathleen G Kane,17
Mike Stack,2,54,22,17
Patrick Murphy,,11,0,17
Kathleen G Kane,,,8,17
Total,78,65,30,17
,Senator In The General Assembly 5th District - Democrat,Attorney General - Democrat,,18
,Mike Stack,Patrick Murphy,Kathleen G Kane,18
Mike Stack,0,42,21,18
Patrick Murphy,,7,0,18
Kathleen G Kane,,,15,18
Total,63,49,36,18
,Senator In The General Assembly 5th District - Democrat,Attorney General - Democrat,,19
,Mike Stack,Patrick Murphy,Kathleen G Kane,19
Mike Stack,3,54,21,19
Patrick Murphy,,12,0,19
Kathleen G Kane,,,3,19
Total,78,66,24,19
,Senator In The General Assembly 5th District - Democrat,Attorney General - Democrat,,20
,Mike Stack,Patrick Murphy,Kathleen G Kane,20
Mike Stack,0,20,14,20
Patrick Murphy,,2,0,20
Kathleen G Kane,,,0,20
Total,34,22,14,20
,Senator In The General Assembly 5th District - Democrat,Attorney General - Democrat,,21
,Mike Stack,Patrick Murphy,Kathleen G Kane,21
Mike Stack,3,33,20,21
Patrick Murphy,,4,0,21
Kathleen G Kane,,,5,21
Total,56,37,25,21
,Senator In The General Assembly 5th District - Democrat,Attorney General - Democrat,,22
,Mike Stack,Patrick Murphy,Kathleen G Kane,22
Mike Stack,5,31,10,22
Patrick Murphy,,6,0,22
Kathleen G Kane,,,6,22
Total,46,37,16,22
,Senator In The General Assembly 5th District - Democrat,Attorney General - Democrat,,23
,Mike Stack,Patrick Murphy,Kathleen G Kane,23
Mike Stack,0,36,18,23
Patrick Murphy,,3,0,23
Kathleen G Kane,,,2,23
Total,54,39,20,23
,Senator In The General Assembly 5th District - Democrat,Attorney General - Democrat,,24
,Mike Stack,Patrick Murphy,Kathleen G Kane,24
Mike Stack,2,28,14,24
Patrick Murphy,,0,0,24
Kathleen G Kane,,,4,24
Total,44,28,18,24
,Senator In The General Assembly 5th District - Democrat,Attorney General - Democrat,,25
