col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,division
,State Treasurer - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,All
,Robert M Mccord,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Mark Alan Aronchick,Jacquelyn Manns Smalley,Vincent J Hughes,Andrew P Toy,Michelle W Singer,Stephen A Cozen,Jerome W Mondesire,Jerry T Jordan,Raye E Johnson,Joseph C Meade,Eleanor M Dezzi,Heather Steinmiller,Nancy Astor Fox,William S Leopold,All
Robert M Mccord,209,765,661,662,619,608,484,424,414,408,394,399,397,391,391,389,387,380,All
Kenyatta J Johnson,,14,758,758,706,708,529,474,456,459,447,449,453,445,443,437,430,435,All
Blondell Reynolds Brown,,,8,700,671,664,496,464,439,442,437,442,436,434,430,425,419,425,All
Cindy Bass,,,,2,692,694,485,451,434,440,428,429,432,432,428,423,417,418,All
Mark Alan Aronchick,,,,,3,667,456,434,406,425,419,416,418,423,415,410,399,413,All
Jacquelyn Manns Smalley,,,,,,3,461,426,416,422,406,413,418,418,414,415,405,405,All
Vincent J Hughes,,,,,,,3,459,438,442,429,439,436,436,429,426,412,419,All
Andrew P Toy,,,,,,,,2,426,439,429,431,429,434,429,424,411,425,All
Michelle W Singer,,,,,,,,,3,410,399,424,426,410,419,419,422,409,All
Stephen A Cozen,,,,,,,,,,1,421,422,429,429,416,416,407,417,All
Jerome W Mondesire,,,,,,,,,,,0,414,415,427,409,408,398,412,All
Jerry T Jordan,,,,,,,,,,,,0,432,420,421,423,412,425,All
Raye E Johnson,,,,,,,,,,,,,0,426,430,430,420,429,All
Joseph C Meade,,,,,,,,,,,,,,0,419,416,405,416,All
Eleanor M Dezzi,,,,,,,,,,,,,,,0,428,415,421,All
Heather Steinmiller,,,,,,,,,,,,,,,,0,414,421,All
Nancy Astor Fox,,,,,,,,,,,,,,,,,1,406,All
William S Leopold,,,,,,,,,,,,,,,,,,0,All
Total,"1,074",937,821,790,741,731,583,507,485,484,467,467,465,462,455,452,451,443,All
,State Treasurer - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,1
