col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,division
,Delegate To The Democratic National Convention 13th District,,,,,,,,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,All
,Catherine G Scott,Kelly Lynn Devine,D Gregory Holt,Patrick J Eiding,Louis J Farinella,Olivia E Brady,Vince Gillen,Leslie S Richards,Caren Gansman Moskowitz,Elizabeth A Washo,Mindy M Posoff,Christine M Tartaglione,Ryan N Boyer,Ted Kirsch,Anthony Hardy Williams,Deborah E Landau,Kathryn Sylvia Huggins,Sekela Coles,Thaddeus Kirkland,All
Catherine G Scott,60,396,379,287,284,280,280,281,274,0,0,0,0,0,0,0,0,0,0,All
Kelly Lynn Devine,,40,373,280,278,279,274,274,268,0,0,0,0,0,0,0,0,0,0,All
D Gregory Holt,,,25,274,271,263,273,267,262,0,0,0,0,0,0,0,0,0,0,All
Patrick J Eiding,,,,5,275,266,274,267,266,0,0,0,0,0,0,0,0,0,0,All
Louis J Farinella,,,,,5,262,265,265,260,0,0,0,0,0,0,0,0,0,0,All
Olivia E Brady,,,,,,5,264,267,266,0,0,0,0,0,0,0,0,0,0,All
Vince Gillen,,,,,,,1,263,261,0,0,0,0,0,0,0,0,0,0,All
Leslie S Richards,,,,,,,,1,263,0,0,0,0,0,0,0,0,0,0,All
Caren Gansman Moskowitz,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,All
Elizabeth A Washo,,,,,,,,,,0,11,9,10,9,9,9,9,9,9,All
Mindy M Posoff,,,,,,,,,,,0,9,10,9,9,9,9,9,9,All
Christine M Tartaglione,,,,,,,,,,,,1,8,8,8,9,9,9,9,All
Ryan N Boyer,,,,,,,,,,,,,0,9,9,8,8,8,8,All
Ted Kirsch,,,,,,,,,,,,,,1,9,8,8,8,8,All
Anthony Hardy Williams,,,,,,,,,,,,,,,0,8,8,8,8,All
Deborah E Landau,,,,,,,,,,,,,,,,0,9,9,9,All
Kathryn Sylvia Huggins,,,,,,,,,,,,,,,,,0,9,9,All
Sekela Coles,,,,,,,,,,,,,,,,,,0,9,All
Thaddeus Kirkland,,,,,,,,,,,,,,,,,,,0,All
Total,492,457,420,310,305,298,295,290,284,11,11,10,10,10,9,9,9,9,9,All
,Delegate To The Democratic National Convention 13th District,,,,,,,,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,1
,Kelly Lynn Devine,Catherine G Scott,D Gregory Holt,Olivia E Brady,Vince Gillen,Leslie S Richards,Louis J Farinella,Patrick J Eiding,Caren Gansman Moskowitz,Anthony Hardy Williams,Christine M Tartaglione,Deborah E Landau,Elizabeth A Washo,Kathryn Sylvia Huggins,Mindy M Posoff,Ryan N Boyer,Sekela Coles,Ted Kirsch,Thaddeus Kirkland,1
Kelly Lynn Devine,4,28,28,24,25,24,23,23,23,0,0,0,0,0,0,0,0,0,0,1
Catherine G Scott,,1,28,23,23,24,23,23,23,0,0,0,0,0,0,0,0,0,0,1
D Gregory Holt,,,1,23,23,24,23,23,23,0,0,0,0,0,0,0,0,0,0,1
Olivia E Brady,,,,0,23,23,23,22,23,0,0,0,0,0,0,0,0,0,0,1
Vince Gillen,,,,,0,23,23,23,22,0,0,0,0,0,0,0,0,0,0,1
Leslie S Richards,,,,,,0,23,23,23,0,0,0,0,0,0,0,0,0,0,1
Louis J Farinella,,,,,,,0,23,22,0,0,0,0,0,0,0,0,0,0,1
Patrick J Eiding,,,,,,,,1,22,0,0,0,0,0,0,0,0,0,0,1
Caren Gansman Moskowitz,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1
Anthony Hardy Williams,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1
Christine M Tartaglione,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1
Deborah E Landau,,,,,,,,,,,,0,0,0,0,0,0,0,0,1
Elizabeth A Washo,,,,,,,,,,,,,0,0,0,0,0,0,0,1
Kathryn Sylvia Huggins,,,,,,,,,,,,,,0,0,0,0,0,0,1
Mindy M Posoff,,,,,,,,,,,,,,,0,0,0,0,0,1
Ryan N Boyer,,,,,,,,,,,,,,,,0,0,0,0,1
Sekela Coles,,,,,,,,,,,,,,,,,0,0,0,1
Ted Kirsch,,,,,,,,,,,,,,,,,,0,0,1
