col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,division
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Representative In The General Assembly 186th District - Democrat,,,All
,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Mark Alan Aronchick,Jacquelyn Manns Smalley,Vincent J Hughes,Raye E Johnson,Stephen A Cozen,Michelle W Singer,Andrew P Toy,Jerome W Mondesire,Jerry T Jordan,Joseph C Meade,Eleanor M Dezzi,Nancy Astor Fox,Heather Steinmiller,William S Leopold,Jordan A Harris,Damon K Roberts,Timothy Hannah,All
Kenyatta J Johnson,13,597,527,514,511,343,308,303,301,298,293,296,291,280,278,277,272,906,177,42,All
Blondell Reynolds Brown,,0,503,500,495,318,282,283,278,282,284,278,278,271,259,265,263,447,117,35,All
Cindy Bass,,,0,484,486,290,268,274,268,277,269,267,267,261,254,254,254,398,106,30,All
Mark Alan Aronchick,,,,1,488,280,268,272,258,271,267,267,265,263,252,252,259,381,105,30,All
Jacquelyn Manns Smalley,,,,,0,280,262,268,261,273,263,262,265,259,253,251,251,385,96,31,All
Vincent J Hughes,,,,,,0,283,281,280,288,286,280,289,269,262,267,262,248,75,21,All
Raye E Johnson,,,,,,,0,279,273,272,267,275,273,270,266,269,263,216,73,18,All
Stephen A Cozen,,,,,,,,0,269,283,271,269,276,267,266,260,260,213,73,20,All
Michelle W Singer,,,,,,,,,0,268,261,265,265,264,264,262,256,208,75,20,All
Andrew P Toy,,,,,,,,,,0,273,270,276,265,259,260,260,212,69,19,All
Jerome W Mondesire,,,,,,,,,,,1,267,272,256,252,257,255,201,75,18,All
Jerry T Jordan,,,,,,,,,,,,0,270,264,254,260,262,207,71,17,All
Joseph C Meade,,,,,,,,,,,,,1,264,255,261,262,202,71,18,All
Eleanor M Dezzi,,,,,,,,,,,,,,1,255,266,262,195,68,20,All
Nancy Astor Fox,,,,,,,,,,,,,,,0,250,247,194,71,17,All
Heather Steinmiller,,,,,,,,,,,,,,,,0,259,193,67,18,All
William S Leopold,,,,,,,,,,,,,,,,,0,187,68,16,All
Jordan A Harris,,,,,,,,,,,,,,,,,,189,0,0,All
Damon K Roberts,,,,,,,,,,,,,,,,,,,44,0,All
Timothy Hannah,,,,,,,,,,,,,,,,,,,,9,All
Total,"1,158",618,548,532,525,356,314,314,311,307,304,302,301,291,289,285,277,"1,125",240,59,All
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Representative In The General Assembly 186th District - Democrat,,,2
,Kenyatta J Johnson,Cindy Bass,Blondell Reynolds Brown,Jacquelyn Manns Smalley,Mark Alan Aronchick,Vincent J Hughes,Jerome W Mondesire,Joseph C Meade,Stephen A Cozen,Andrew P Toy,Jerry T Jordan,Michelle W Singer,Nancy Astor Fox,Raye E Johnson,Eleanor M Dezzi,Heather Steinmiller,William S Leopold,Jordan A Harris,Damon K Roberts,Timothy Hannah,2
Kenyatta J Johnson,3,46,45,44,43,24,21,21,21,20,21,21,20,19,18,18,17,70,17,1,2
Cindy Bass,,0,42,43,42,20,20,20,21,20,21,21,20,18,18,18,17,33,11,1,2
Blondell Reynolds Brown,,,0,41,40,20,19,20,19,19,19,18,19,17,17,17,16,34,10,1,2
Jacquelyn Manns Smalley,,,,0,41,20,20,19,19,19,19,19,19,17,17,17,16,32,10,1,2
Mark Alan Aronchick,,,,,0,19,19,18,18,18,18,17,18,17,16,16,15,32,10,1,2
Vincent J Hughes,,,,,,0,22,22,20,21,19,19,19,18,18,18,17,17,8,0,2
Jerome W Mondesire,,,,,,,0,21,20,21,19,19,19,17,18,18,17,14,8,0,2
Joseph C Meade,,,,,,,,0,20,21,19,19,19,17,18,18,17,14,8,0,2
Stephen A Cozen,,,,,,,,,0,20,20,19,19,17,17,17,16,14,8,0,2
Andrew P Toy,,,,,,,,,,0,19,19,19,17,18,18,17,13,8,0,2
Jerry T Jordan,,,,,,,,,,,0,20,20,18,18,18,17,13,8,0,2
Michelle W Singer,,,,,,,,,,,,0,19,17,18,18,17,12,8,0,2
Nancy Astor Fox,,,,,,,,,,,,,0,18,18,18,17,12,8,0,2
Raye E Johnson,,,,,,,,,,,,,,0,17,17,16,12,7,0,2
Eleanor M Dezzi,,,,,,,,,,,,,,,0,18,17,10,8,0,2
Heather Steinmiller,,,,,,,,,,,,,,,,0,17,10,8,0,2
William S Leopold,,,,,,,,,,,,,,,,,0,10,7,0,2
Jordan A Harris,,,,,,,,,,,,,,,,,,17,0,0,2
Damon K Roberts,,,,,,,,,,,,,,,,,,,6,0,2
Timothy Hannah,,,,,,,,,,,,,,,,,,,,0,2
Total,92,46,45,44,43,25,22,22,22,21,21,21,20,19,18,18,17,88,23,1,2
,Representative In The General Assembly 186th District - Democrat,,,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,3
,Jordan A Harris,Damon K Roberts,Timothy Hannah,Kenyatta J Johnson,Blondell Reynolds Brown,Mark Alan Aronchick,Cindy Bass,Jacquelyn Manns Smalley,Vincent J Hughes,Jerry T Jordan,Joseph C Meade,Stephen A Cozen,Andrew P Toy,Jerome W Mondesire,Nancy Astor Fox,Raye E Johnson,Michelle W Singer,Eleanor M Dezzi,William S Leopold,Heather Steinmiller,3
Jordan A Harris,22,0,0,112,44,31,34,31,26,21,21,18,17,18,17,19,17,16,16,12,3
Damon K Roberts,,6,0,17,10,9,8,9,4,4,4,5,5,5,6,4,4,3,3,3,3
Timothy Hannah,,,0,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3
Kenyatta J Johnson,,,,0,56,44,44,44,31,26,25,24,24,23,21,24,21,20,20,16,3
Blondell Reynolds Brown,,,,,0,42,41,39,27,23,23,20,21,23,16,21,18,19,20,16,3
Mark Alan Aronchick,,,,,,0,40,42,22,21,20,21,22,22,17,19,18,18,20,16,3
Cindy Bass,,,,,,,0,40,25,24,24,21,22,23,19,22,21,20,19,16,3
Jacquelyn Manns Smalley,,,,,,,,0,21,21,20,21,22,20,19,20,19,18,17,16,3
Vincent J Hughes,,,,,,,,,0,23,24,21,21,21,17,21,19,19,19,15,3
Jerry T Jordan,,,,,,,,,,0,21,19,20,20,18,21,19,19,19,16,3
Joseph C Meade,,,,,,,,,,,0,20,20,22,17,21,18,18,18,15,3
Stephen A Cozen,,,,,,,,,,,,0,22,20,17,19,17,18,17,15,3
Andrew P Toy,,,,,,,,,,,,,0,21,17,18,18,18,17,15,3
Jerome W Mondesire,,,,,,,,,,,,,,0,16,18,16,17,18,15,3
Nancy Astor Fox,,,,,,,,,,,,,,,0,18,20,16,15,14,3
Raye E Johnson,,,,,,,,,,,,,,,,0,19,19,19,16,3
Michelle W Singer,,,,,,,,,,,,,,,,,0,18,16,14,3
Eleanor M Dezzi,,,,,,,,,,,,,,,,,,0,17,16,3
William S Leopold,,,,,,,,,,,,,,,,,,,0,16,3
Heather Steinmiller,,,,,,,,,,,,,,,,,,,,0,3
