col_1,col_2,col_3,col_4,division
,Attorney General - Republican,Auditor General - Republican,,All
,David J Freed,John Maher,Frank A Pinto,All
David J Freed,5,17,15,All
John Maher,,5,0,All
Frank A Pinto,,,5,All
Total,37,22,20,All
,Attorney General - Republican,Auditor General - Republican,,4
,David J Freed,Frank A Pinto,John Maher,4
David J Freed,0,1,0,4
Frank A Pinto,,0,0,4
John Maher,,,1,4
Total,1,1,1,4
,Attorney General - Republican,Auditor General - Republican,,5
,David J Freed,Frank A Pinto,John Maher,5
David J Freed,0,1,1,5
Frank A Pinto,,1,0,5
John Maher,,,1,5
Total,2,2,2,5
,Attorney General - Republican,Auditor General - Republican,,8
,David J Freed,Frank A Pinto,John Maher,8
David J Freed,0,1,0,8
Frank A Pinto,,0,0,8
John Maher,,,1,8
Total,1,1,1,8
,Attorney General - Republican,Auditor General - Republican,,9
,David J Freed,Frank A Pinto,John Maher,9
David J Freed,0,1,0,9
Frank A Pinto,,0,0,9
John Maher,,,1,9
Total,1,1,1,9
,Attorney General - Republican,Auditor General - Republican,,10
,David J Freed,Frank A Pinto,John Maher,10
David J Freed,0,3,1,10
Frank A Pinto,,0,0,10
John Maher,,,0,10
Total,4,3,1,10
,Attorney General - Republican,Auditor General - Republican,,11
,David J Freed,John Maher,Frank A Pinto,11
David J Freed,0,1,0,11
John Maher,,0,0,11
Frank A Pinto,,,0,11
Total,1,1,0,11
,Attorney General - Republican,Auditor General - Republican,,12
,David J Freed,Frank A Pinto,John Maher,12
David J Freed,0,1,1,12
Frank A Pinto,,0,0,12
John Maher,,,0,12
Total,2,1,1,12
,Attorney General - Republican,Auditor General - Republican,,14
,David J Freed,Frank A Pinto,John Maher,14
David J Freed,0,1,0,14
Frank A Pinto,,0,0,14
John Maher,,,0,14
Total,1,1,0,14
,Attorney General - Republican,Auditor General - Republican,,15
,David J Freed,Frank A Pinto,John Maher,15
David J Freed,2,0,1,15
Frank A Pinto,,2,0,15
John Maher,,,1,15
Total,3,2,2,15
,Attorney General - Republican,Auditor General - Republican,,17
,David J Freed,Frank A Pinto,John Maher,17
David J Freed,0,1,0,17
Frank A Pinto,,0,0,17
John Maher,,,0,17
Total,1,1,0,17
,Attorney General - Republican,Auditor General - Republican,,18
,David J Freed,John Maher,Frank A Pinto,18
David J Freed,1,2,0,18
John Maher,,0,0,18
Frank A Pinto,,,0,18
Total,3,2,0,18
,Attorney General - Republican,Auditor General - Republican,,20
,David J Freed,John Maher,Frank A Pinto,20
David J Freed,0,3,0,20
John Maher,,0,0,20
Frank A Pinto,,,0,20
Total,3,3,0,20
,Attorney General - Republican,Auditor General - Republican,,21
,David J Freed,John Maher,Frank A Pinto,21
David J Freed,0,2,1,21
John Maher,,0,0,21
Frank A Pinto,,,0,21
Total,3,2,1,21
,Attorney General - Republican,Auditor General - Republican,,22
,David J Freed,Frank A Pinto,John Maher,22
David J Freed,0,1,0,22
Frank A Pinto,,0,0,22
John Maher,,,0,22
Total,1,1,0,22
,Attorney General - Republican,Auditor General - Republican,,23
,David J Freed,Frank A Pinto,John Maher,23
David J Freed,2,0,1,23
Frank A Pinto,,2,0,23
John Maher,,,0,23
Total,3,2,1,23
,Attorney General - Republican,Auditor General - Republican,,25
,David J Freed,John Maher,Frank A Pinto,25
David J Freed,0,4,3,25
John Maher,,0,0,25
Frank A Pinto,,,0,25
Total,7,4,3,25
