col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,Representative In The General Assembly 203rd District - Democrat,,Delegate To The Democratic National Convention 13th District,,,,,,,,,All
,Dwight Evans,Lamont W Thomas,Catherine G Scott,Kelly Lynn Devine,D Gregory Holt,Leslie S Richards,Olivia E Brady,Louis J Farinella,Patrick J Eiding,Vince Gillen,Caren Gansman Moskowitz,All
Dwight Evans,473,0,"1,275","1,076","1,065",673,671,653,635,632,625,All
Lamont W Thomas,,103,456,399,401,190,180,187,189,189,181,All
Catherine G Scott,,,0,"1,382","1,349",834,817,823,808,803,790,All
Kelly Lynn Devine,,,,2,"1,324",809,785,799,777,784,770,All
D Gregory Holt,,,,,0,789,772,783,763,774,754,All
Leslie S Richards,,,,,,0,795,784,767,769,764,All
Olivia E Brady,,,,,,,0,775,760,761,764,All
Louis J Farinella,,,,,,,,1,780,770,765,All
Patrick J Eiding,,,,,,,,,0,764,757,All
Vince Gillen,,,,,,,,,,0,753,All
Caren Gansman Moskowitz,,,,,,,,,,,0,All
Total,"1,947",628,"1,746","1,489","1,480",871,858,849,834,828,814,All
