col_1,col_2,col_3,col_4,col_5,col_6,division
,Delegate To The Republican National Convention 2nd District,,,,,19
,Calvin R Tucker,Adam A Lang,Lewis Harris Jr,Vahan H Gureghian,Walter F Vogler Jr,19
Calvin R Tucker,1,0,0,0,0,19
Adam A Lang,,0,0,0,0,19
Lewis Harris Jr,,,0,0,0,19
Vahan H Gureghian,,,,0,0,19
Walter F Vogler Jr,,,,,0,19
Total,1,0,0,0,0,19
,Delegate To The Republican National Convention 2nd District,,,,,20
,Calvin R Tucker,Adam A Lang,Lewis Harris Jr,Vahan H Gureghian,Walter F Vogler Jr,20
Calvin R Tucker,1,0,0,0,0,20
Adam A Lang,,0,0,0,0,20
Lewis Harris Jr,,,0,0,0,20
Vahan H Gureghian,,,,0,0,20
Walter F Vogler Jr,,,,,0,20
Total,1,0,0,0,0,20
,Delegate To The Republican National Convention 2nd District,,,,,23
,Calvin R Tucker,Adam A Lang,Lewis Harris Jr,Vahan H Gureghian,Walter F Vogler Jr,23
Calvin R Tucker,2,0,0,0,0,23
Adam A Lang,,0,0,0,0,23
Lewis Harris Jr,,,0,0,0,23
Vahan H Gureghian,,,,0,0,23
Walter F Vogler Jr,,,,,0,23
Total,2,0,0,0,0,23
,Delegate To The Republican National Convention 2nd District,,,,,25
,Calvin R Tucker,Walter F Vogler Jr,Lewis Harris Jr,Vahan H Gureghian,Adam A Lang,25
Calvin R Tucker,2,4,2,1,0,25
Walter F Vogler Jr,,0,2,1,0,25
Lewis Harris Jr,,,0,0,0,25
Vahan H Gureghian,,,,0,0,25
Adam A Lang,,,,,0,25
Total,6,4,2,1,0,25
,Delegate To The Republican National Convention 2nd District,,,,,26
,Calvin R Tucker,Lewis Harris Jr,Adam A Lang,Vahan H Gureghian,Walter F Vogler Jr,26
Calvin R Tucker,2,0,0,0,0,26
Lewis Harris Jr,,1,0,0,0,26
Adam A Lang,,,0,0,0,26
Vahan H Gureghian,,,,0,0,26
Walter F Vogler Jr,,,,,0,26
Total,2,1,0,0,0,26
,Delegate To The Republican National Convention 2nd District,,,,,27
,Calvin R Tucker,Lewis Harris Jr,Vahan H Gureghian,Adam A Lang,Walter F Vogler Jr,27
Calvin R Tucker,1,1,1,0,0,27
Lewis Harris Jr,,1,1,0,0,27
Vahan H Gureghian,,,1,0,0,27
Adam A Lang,,,,1,0,27
Walter F Vogler Jr,,,,,0,27
Total,2,2,2,1,0,27
,Delegate To The Republican National Convention 2nd District,,,,,28
,Vahan H Gureghian,Adam A Lang,Calvin R Tucker,Lewis Harris Jr,Walter F Vogler Jr,28
Vahan H Gureghian,1,0,0,0,0,28
Adam A Lang,,0,0,0,0,28
Calvin R Tucker,,,0,0,0,28
Lewis Harris Jr,,,,0,0,28
Walter F Vogler Jr,,,,,0,28
Total,1,0,0,0,0,28
,Delegate To The Republican National Convention 2nd District,,,,,29
,Walter F Vogler Jr,Adam A Lang,Calvin R Tucker,Lewis Harris Jr,Vahan H Gureghian,29
Walter F Vogler Jr,2,0,0,0,0,29
Adam A Lang,,0,1,1,0,29
Calvin R Tucker,,,0,1,0,29
Lewis Harris Jr,,,,0,0,29
Vahan H Gureghian,,,,,0,29
Total,2,1,1,1,0,29
,Delegate To The Republican National Convention 2nd District,,,,,30
,Walter F Vogler Jr,Adam A Lang,Vahan H Gureghian,Calvin R Tucker,Lewis Harris Jr,30
Walter F Vogler Jr,1,1,1,0,0,30
Adam A Lang,,0,1,0,0,30
Vahan H Gureghian,,,0,0,0,30
Calvin R Tucker,,,,0,0,30
Lewis Harris Jr,,,,,0,30
Total,2,1,1,0,0,30
,Delegate To The Republican National Convention 2nd District,,,,,33
,Walter F Vogler Jr,Calvin R Tucker,Adam A Lang,Lewis Harris Jr,Vahan H Gureghian,33
Walter F Vogler Jr,2,2,1,1,0,33
Calvin R Tucker,,0,1,1,0,33
Adam A Lang,,,0,0,0,33
Lewis Harris Jr,,,,0,0,33
Vahan H Gureghian,,,,,1,33
Total,4,2,1,1,1,33
,Delegate To The Republican National Convention 2nd District,,,,,34
,Lewis Harris Jr,Adam A Lang,Calvin R Tucker,Vahan H Gureghian,Walter F Vogler Jr,34
Lewis Harris Jr,1,0,0,0,0,34
Adam A Lang,,0,0,0,0,34
Calvin R Tucker,,,0,0,0,34
Vahan H Gureghian,,,,0,0,34
Walter F Vogler Jr,,,,,0,34
Total,1,0,0,0,0,34
,Delegate To The Republican National Convention 2nd District,,,,,35
,Calvin R Tucker,Lewis Harris Jr,Walter F Vogler Jr,Adam A Lang,Vahan H Gureghian,35
Calvin R Tucker,1,2,2,0,0,35
Lewis Harris Jr,,0,3,1,0,35
Walter F Vogler Jr,,,0,1,0,35
Adam A Lang,,,,0,0,35
Vahan H Gureghian,,,,,0,35
Total,3,3,3,1,0,35
,Delegate To The Republican National Convention 2nd District,,,,,36
,Calvin R Tucker,Adam A Lang,Lewis Harris Jr,Vahan H Gureghian,Walter F Vogler Jr,36
Calvin R Tucker,2,0,0,0,0,36
Adam A Lang,,0,0,0,0,36
Lewis Harris Jr,,,0,0,0,36
Vahan H Gureghian,,,,0,0,36
Walter F Vogler Jr,,,,,0,36
Total,2,0,0,0,0,36
,Delegate To The Republican National Convention 2nd District,,,,,37
,Adam A Lang,Calvin R Tucker,Walter F Vogler Jr,Lewis Harris Jr,Vahan H Gureghian,37
Adam A Lang,0,2,2,1,1,37
Calvin R Tucker,,1,1,1,0,37
Walter F Vogler Jr,,,0,0,1,37
Lewis Harris Jr,,,,0,0,37
Vahan H Gureghian,,,,,0,37
Total,3,3,2,1,1,37
,Delegate To The Republican National Convention 2nd District,,,,,38
,Lewis Harris Jr,Adam A Lang,Calvin R Tucker,Vahan H Gureghian,Walter F Vogler Jr,38
Lewis Harris Jr,1,0,0,0,0,38
Adam A Lang,,0,0,0,0,38
