col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,division
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Representative In The General Assembly 195th District - Democrat,,,,All
,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Jacquelyn Manns Smalley,Mark Alan Aronchick,Vincent J Hughes,Stephen A Cozen,Andrew P Toy,Michelle W Singer,Jerome W Mondesire,Jerry T Jordan,Raye E Johnson,Joseph C Meade,Heather Steinmiller,Eleanor M Dezzi,William S Leopold,Nancy Astor Fox,Michelle F Brownlee,Andrew J Kleeman,Mike Jones,Takkeem L Morgan,All
Kenyatta J Johnson,2,249,231,228,223,168,133,132,128,130,129,127,126,123,122,120,114,173,83,37,3,All
Blondell Reynolds Brown,,1,222,218,216,158,126,128,119,127,124,120,120,120,116,117,112,162,75,32,5,All
Cindy Bass,,,0,213,214,142,126,127,121,121,124,119,121,120,119,117,112,138,69,24,4,All
Jacquelyn Manns Smalley,,,,0,212,135,122,120,113,121,117,115,118,114,113,111,108,135,70,28,1,All
Mark Alan Aronchick,,,,,0,136,120,123,115,119,121,120,118,115,113,115,107,129,72,26,1,All
Vincent J Hughes,,,,,,0,136,135,134,135,132,129,129,127,125,124,118,121,33,31,2,All
Stephen A Cozen,,,,,,,0,126,116,124,121,121,125,118,116,118,110,89,26,22,1,All
Andrew P Toy,,,,,,,,0,116,127,122,122,124,117,118,119,110,87,28,20,2,All
Michelle W Singer,,,,,,,,,1,114,118,119,111,118,117,115,113,86,25,21,2,All
Jerome W Mondesire,,,,,,,,,,1,118,117,121,117,116,113,106,87,26,19,2,All
Jerry T Jordan,,,,,,,,,,,0,123,122,121,120,120,113,87,24,19,1,All
Raye E Johnson,,,,,,,,,,,,0,119,120,120,119,111,84,23,20,1,All
Joseph C Meade,,,,,,,,,,,,,0,117,116,118,109,84,24,18,1,All
Heather Steinmiller,,,,,,,,,,,,,,0,121,118,112,81,22,21,1,All
Eleanor M Dezzi,,,,,,,,,,,,,,,0,116,109,78,23,20,1,All
William S Leopold,,,,,,,,,,,,,,,,0,111,80,23,18,1,All
Nancy Astor Fox,,,,,,,,,,,,,,,,,1,74,22,19,1,All
Michelle F Brownlee,,,,,,,,,,,,,,,,,,63,0,0,0,All
Andrew J Kleeman,,,,,,,,,,,,,,,,,,,29,0,0,All
Mike Jones,,,,,,,,,,,,,,,,,,,,16,0,All
Takkeem L Morgan,,,,,,,,,,,,,,,,,,,,,6,All
Total,304,280,242,238,234,191,142,141,140,139,134,132,130,128,126,126,121,269,121,64,12,All
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Representative In The General Assembly 195th District - Democrat,,,,5
,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Mark Alan Aronchick,Jacquelyn Manns Smalley,Vincent J Hughes,Raye E Johnson,Andrew P Toy,Jerry T Jordan,Michelle W Singer,Jerome W Mondesire,Joseph C Meade,Eleanor M Dezzi,Stephen A Cozen,Heather Steinmiller,William S Leopold,Nancy Astor Fox,Michelle F Brownlee,Andrew J Kleeman,Mike Jones,Takkeem L Morgan,5
Kenyatta J Johnson,1,51,51,50,49,35,32,32,32,31,31,31,30,29,29,28,25,36,14,10,1,5
Blondell Reynolds Brown,,0,49,48,49,31,28,30,29,27,29,29,28,27,27,27,25,31,12,8,1,5
Cindy Bass,,,0,48,46,33,30,31,31,29,30,30,30,28,29,28,25,30,12,7,1,5
Mark Alan Aronchick,,,,0,47,33,31,31,31,28,30,31,30,27,28,28,25,30,13,6,1,5
Jacquelyn Manns Smalley,,,,,0,29,27,29,28,25,29,29,27,26,27,27,25,30,11,7,1,5
Vincent J Hughes,,,,,,0,31,31,33,31,30,31,30,28,29,28,25,20,8,7,1,5
Raye E Johnson,,,,,,,0,30,30,29,29,29,30,28,28,28,25,19,7,5,1,5
Andrew P Toy,,,,,,,,0,30,27,31,30,30,27,28,28,26,17,8,6,1,5
Jerry T Jordan,,,,,,,,,0,28,29,30,30,26,29,28,25,18,7,6,1,5
Michelle W Singer,,,,,,,,,,0,26,26,27,25,26,25,24,19,7,5,1,5
Jerome W Mondesire,,,,,,,,,,,0,30,29,27,28,28,25,17,7,5,1,5
Joseph C Meade,,,,,,,,,,,,0,29,27,28,28,25,17,7,5,1,5
Eleanor M Dezzi,,,,,,,,,,,,,0,26,28,28,25,17,7,4,1,5
Stephen A Cozen,,,,,,,,,,,,,,0,26,26,23,16,6,5,1,5
Heather Steinmiller,,,,,,,,,,,,,,,0,28,25,17,5,5,1,5
William S Leopold,,,,,,,,,,,,,,,,0,25,17,5,4,1,5
Nancy Astor Fox,,,,,,,,,,,,,,,,,0,15,5,5,1,5
Michelle F Brownlee,,,,,,,,,,,,,,,,,,10,0,0,0,5
Andrew J Kleeman,,,,,,,,,,,,,,,,,,,2,0,0,5
Mike Jones,,,,,,,,,,,,,,,,,,,,3,0,5
Takkeem L Morgan,,,,,,,,,,,,,,,,,,,,,1,5
Total,64,53,52,52,50,37,34,33,33,32,31,31,30,30,29,28,26,51,16,14,2,5
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Representative In The General Assembly 195th District - Democrat,,,,7
,Kenyatta J Johnson,Blondell Reynolds Brown,Jacquelyn Manns Smalley,Mark Alan Aronchick,Cindy Bass,Vincent J Hughes,Stephen A Cozen,Jerome W Mondesire,Andrew P Toy,Michelle W Singer,Joseph C Meade,Heather Steinmiller,Eleanor M Dezzi,Jerry T Jordan,Nancy Astor Fox,Raye E Johnson,William S Leopold,Michelle F Brownlee,Andrew J Kleeman,Mike Jones,Takkeem L Morgan,7
Kenyatta J Johnson,0,66,66,61,63,37,32,31,31,28,29,26,26,27,25,26,25,32,35,10,0,7
Blondell Reynolds Brown,,1,61,60,58,34,28,29,29,26,26,25,22,24,23,24,24,33,32,9,0,7
Jacquelyn Manns Smalley,,,0,62,62,32,30,30,30,27,29,26,25,27,25,26,25,30,33,6,0,7
Mark Alan Aronchick,,,,0,59,30,27,27,28,26,26,25,23,25,24,24,24,25,33,6,0,7
Cindy Bass,,,,,0,32,30,29,30,27,28,26,25,27,25,26,25,27,30,6,0,7
Vincent J Hughes,,,,,,0,34,33,33,29,31,28,28,28,26,27,27,23,13,7,0,7
Stephen A Cozen,,,,,,,0,32,32,26,31,27,26,27,25,27,27,19,10,6,0,7
Jerome W Mondesire,,,,,,,,0,31,27,31,28,26,27,25,27,27,20,9,5,0,7
Andrew P Toy,,,,,,,,,0,26,30,26,25,27,25,27,26,19,10,4,0,7
Michelle W Singer,,,,,,,,,,1,26,28,26,27,27,26,26,16,9,5,0,7
Joseph C Meade,,,,,,,,,,,0,27,26,27,25,27,27,18,8,5,0,7
Heather Steinmiller,,,,,,,,,,,,0,26,27,26,26,27,16,8,5,0,7
Eleanor M Dezzi,,,,,,,,,,,,,0,26,24,25,25,15,7,6,0,7
Jerry T Jordan,,,,,,,,,,,,,,0,26,27,26,16,8,4,0,7
Nancy Astor Fox,,,,,,,,,,,,,,,0,25,25,14,8,4,0,7
Raye E Johnson,,,,,,,,,,,,,,,,0,26,15,8,4,0,7
William S Leopold,,,,,,,,,,,,,,,,,0,14,8,5,0,7
Michelle F Brownlee,,,,,,,,,,,,,,,,,,16,0,0,0,7
Andrew J Kleeman,,,,,,,,,,,,,,,,,,,10,0,0,7
Mike Jones,,,,,,,,,,,,,,,,,,,,5,0,7
Takkeem L Morgan,,,,,,,,,,,,,,,,,,,,,0,7
Total,77,75,69,65,64,43,35,34,33,32,31,29,28,28,27,27,27,55,49,18,0,7
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Representative In The General Assembly 195th District - Democrat,,,,8
,Kenyatta J Johnson,Blondell Reynolds Brown,Mark Alan Aronchick,Cindy Bass,Vincent J Hughes,Jacquelyn Manns Smalley,Andrew P Toy,Jerome W Mondesire,Raye E Johnson,Stephen A Cozen,Jerry T Jordan,Michelle W Singer,Heather Steinmiller,William S Leopold,Eleanor M Dezzi,Joseph C Meade,Nancy Astor Fox,Michelle F Brownlee,Mike Jones,Andrew J Kleeman,Takkeem L Morgan,8
Kenyatta J Johnson,0,35,33,32,30,29,24,22,22,21,21,19,20,20,19,19,19,27,6,7,1,8
Blondell Reynolds Brown,,0,30,30,26,26,23,22,21,21,21,19,20,19,19,19,18,25,4,5,3,8
Mark Alan Aronchick,,,0,30,25,29,22,21,23,21,21,19,20,20,19,19,19,20,6,6,0,8
Cindy Bass,,,,0,23,27,22,20,20,20,20,19,20,19,19,19,18,20,4,6,1,8
Vincent J Hughes,,,,,0,23,24,23,23,22,21,21,20,20,19,19,19,22,6,2,1,8
Jacquelyn Manns Smalley,,,,,,0,19,19,20,19,18,18,18,18,18,17,17,18,6,5,0,8
Andrew P Toy,,,,,,,0,21,22,21,20,19,20,20,19,19,19,16,3,2,1,8
Jerome W Mondesire,,,,,,,,0,20,21,20,19,19,18,19,18,17,16,2,2,1,8
Raye E Johnson,,,,,,,,,0,21,20,19,20,20,19,19,19,15,4,2,0,8
Stephen A Cozen,,,,,,,,,,0,20,19,20,19,19,19,18,16,2,2,0,8
Jerry T Jordan,,,,,,,,,,,0,18,20,19,19,19,18,15,2,2,0,8
Michelle W Singer,,,,,,,,,,,,0,18,17,17,17,17,14,2,2,1,8
Heather Steinmiller,,,,,,,,,,,,,0,19,19,19,18,14,2,2,0,8
William S Leopold,,,,,,,,,,,,,,0,18,18,18,13,3,2,0,8
Eleanor M Dezzi,,,,,,,,,,,,,,,0,18,17,13,2,2,0,8
Joseph C Meade,,,,,,,,,,,,,,,,0,17,13,2,2,0,8
Nancy Astor Fox,,,,,,,,,,,,,,,,,0,12,3,2,0,8
Michelle F Brownlee,,,,,,,,,,,,,,,,,,6,0,0,0,8
Mike Jones,,,,,,,,,,,,,,,,,,,1,0,0,8
Andrew J Kleeman,,,,,,,,,,,,,,,,,,,,2,0,8
Takkeem L Morgan,,,,,,,,,,,,,,,,,,,,,3,8
Total,43,39,34,33,33,31,24,23,23,22,21,21,20,20,19,19,19,36,10,9,6,8
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Representative In The General Assembly 195th District - Democrat,,,,9
,Blondell Reynolds Brown,Kenyatta J Johnson,Vincent J Hughes,Jacquelyn Manns Smalley,Cindy Bass,Mark Alan Aronchick,Jerry T Jordan,Stephen A Cozen,Heather Steinmiller,Michelle W Singer,Eleanor M Dezzi,Jerome W Mondesire,Raye E Johnson,Nancy Astor Fox,William S Leopold,Andrew P Toy,Joseph C Meade,Michelle F Brownlee,Mike Jones,Andrew J Kleeman,Takkeem L Morgan,9
Blondell Reynolds Brown,0,38,33,30,31,25,21,21,21,20,20,18,19,18,18,16,17,28,8,8,1,9
Kenyatta J Johnson,,0,29,31,29,25,19,20,19,19,19,18,18,16,16,17,17,27,8,9,1,9
Vincent J Hughes,,,0,22,23,18,20,21,21,21,20,18,19,18,18,16,17,23,7,4,0,9
Jacquelyn Manns Smalley,,,,0,26,24,17,20,17,17,17,16,16,14,14,15,16,19,6,7,0,9
Cindy Bass,,,,,0,23,18,20,17,17,17,15,16,16,16,15,16,19,4,6,1,9
Mark Alan Aronchick,,,,,,0,16,17,15,15,15,15,14,12,14,14,14,14,5,7,0,9
Jerry T Jordan,,,,,,,0,18,17,17,17,15,17,15,17,17,16,16,4,2,0,9
Stephen A Cozen,,,,,,,,0,17,18,17,15,16,15,16,16,16,15,5,2,0,9
Heather Steinmiller,,,,,,,,,0,19,20,16,19,15,16,16,15,13,6,2,0,9
Michelle W Singer,,,,,,,,,,0,19,15,18,16,16,15,14,13,6,2,0,9
Eleanor M Dezzi,,,,,,,,,,,0,16,19,15,16,16,15,13,5,2,0,9
Jerome W Mondesire,,,,,,,,,,,,1,15,11,13,14,13,11,4,3,0,9
Raye E Johnson,,,,,,,,,,,,,0,14,16,16,15,13,4,2,0,9
Nancy Astor Fox,,,,,,,,,,,,,,0,14,12,13,12,4,2,0,9
William S Leopold,,,,,,,,,,,,,,,0,15,15,12,3,3,0,9
Andrew P Toy,,,,,,,,,,,,,,,,0,15,12,3,2,0,9
Joseph C Meade,,,,,,,,,,,,,,,,,0,13,2,2,0,9
Michelle F Brownlee,,,,,,,,,,,,,,,,,,7,0,0,0,9
Mike Jones,,,,,,,,,,,,,,,,,,,5,0,0,9
Andrew J Kleeman,,,,,,,,,,,,,,,,,,,,1,0,9
Takkeem L Morgan,,,,,,,,,,,,,,,,,,,,,1,9
Total,46,46,34,33,31,27,22,22,21,21,20,19,19,18,18,17,17,40,16,11,2,9
,Representative In The General Assembly 195th District - Democrat,,,,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,15
,Michelle F Brownlee,Andrew J Kleeman,Mike Jones,Takkeem L Morgan,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Mark Alan Aronchick,Jacquelyn Manns Smalley,Vincent J Hughes,Andrew P Toy,Michelle W Singer,Stephen A Cozen,William S Leopold,Jerome W Mondesire,Joseph C Meade,Nancy Astor Fox,Jerry T Jordan,Eleanor M Dezzi,Heather Steinmiller,Raye E Johnson,15
Michelle F Brownlee,24,0,0,0,51,45,42,40,38,33,23,24,23,24,23,23,21,22,20,21,22,15
Andrew J Kleeman,,14,0,0,18,18,15,13,14,6,6,5,6,5,5,5,5,5,5,5,4,15
Mike Jones,,,2,0,3,3,3,3,3,4,4,3,4,3,3,4,3,3,3,3,3,15
Takkeem L Morgan,,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Kenyatta J Johnson,,,,,1,59,56,54,53,37,28,31,31,31,28,30,29,30,28,29,29,15
Blondell Reynolds Brown,,,,,,0,54,53,52,34,30,27,29,29,29,29,28,29,27,27,28,15
Cindy Bass,,,,,,,0,54,52,31,29,29,28,29,27,28,28,28,28,28,27,15
Mark Alan Aronchick,,,,,,,,0,50,30,28,27,28,29,26,28,27,28,26,27,28,15
Jacquelyn Manns Smalley,,,,,,,,,0,29,27,26,27,27,27,27,27,27,26,26,26,15
Vincent J Hughes,,,,,,,,,,0,31,32,31,31,31,31,30,30,28,29,29,15
Andrew P Toy,,,,,,,,,,,0,29,30,30,30,30,28,28,28,27,27,15
Michelle W Singer,,,,,,,,,,,,0,28,31,27,28,29,28,28,27,27,15
Stephen A Cozen,,,,,,,,,,,,,0,30,29,32,29,30,28,28,29,15
William S Leopold,,,,,,,,,,,,,,0,27,30,29,30,29,28,29,15
Jerome W Mondesire,,,,,,,,,,,,,,,0,29,28,27,26,26,26,15
Joseph C Meade,,,,,,,,,,,,,,,,0,29,30,28,28,29,15
Nancy Astor Fox,,,,,,,,,,,,,,,,,1,29,28,28,28,15
Jerry T Jordan,,,,,,,,,,,,,,,,,,0,28,28,29,15
Eleanor M Dezzi,,,,,,,,,,,,,,,,,,,0,28,27,15
Heather Steinmiller,,,,,,,,,,,,,,,,,,,,0,27,15
Raye E Johnson,,,,,,,,,,,,,,,,,,,,,0,15
Total,87,36,6,2,74,67,62,56,55,44,34,34,33,33,32,32,31,30,29,29,29,15
