col_1,col_2,col_3,col_4,division
,Representative In The General Assembly 172nd District - Democrat,,State Treasurer - Democrat,All
,Kevin J Boyle,Daniel Collins,Robert M Mccord,All
Kevin J Boyle,14,0,13,All
Daniel Collins,,16,10,All
Robert M Mccord,,,0,All
Total,27,26,23,All
,Representative In The General Assembly 172nd District - Democrat,,State Treasurer - Democrat,32
,Kevin J Boyle,Daniel Collins,Robert M Mccord,32
Kevin J Boyle,14,0,13,32
Daniel Collins,,16,10,32
Robert M Mccord,,,0,32
Total,27,26,23,32
