col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,division
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Auditor General - Democrat,All
,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Jacquelyn Manns Smalley,Mark Alan Aronchick,Vincent J Hughes,Jerome W Mondesire,Joseph C Meade,Andrew P Toy,Stephen A Cozen,Jerry T Jordan,Raye E Johnson,Eleanor M Dezzi,Michelle W Singer,Heather Steinmiller,William S Leopold,Nancy Astor Fox,Eugene A Depasquale,All
Kenyatta J Johnson,32,"1,090","1,033",997,959,815,673,680,662,657,659,639,630,624,628,611,607,927,All
Blondell Reynolds Brown,,16,997,955,934,804,664,655,643,637,634,617,611,598,607,600,586,839,All
Cindy Bass,,,6,973,936,719,642,653,642,634,625,608,608,591,608,599,587,794,All
Jacquelyn Manns Smalley,,,,2,918,685,616,632,617,620,608,597,593,582,594,588,573,762,All
Mark Alan Aronchick,,,,,2,653,613,610,618,625,602,597,593,575,597,595,569,760,All
Vincent J Hughes,,,,,,10,700,701,679,671,661,636,628,625,629,618,611,672,All
Jerome W Mondesire,,,,,,,0,646,647,648,619,601,602,583,600,593,573,551,All
Joseph C Meade,,,,,,,,0,666,651,613,608,608,584,607,603,579,541,All
Andrew P Toy,,,,,,,,,0,656,609,605,610,584,603,602,581,542,All
Stephen A Cozen,,,,,,,,,,2,610,610,605,587,610,603,584,541,All
Jerry T Jordan,,,,,,,,,,,0,626,625,606,621,618,594,529,All
Raye E Johnson,,,,,,,,,,,,0,625,594,620,615,592,513,All
Eleanor M Dezzi,,,,,,,,,,,,,0,597,622,615,588,509,All
Michelle W Singer,,,,,,,,,,,,,,0,601,588,596,515,All
Heather Steinmiller,,,,,,,,,,,,,,,1,610,589,508,All
William S Leopold,,,,,,,,,,,,,,,,1,584,494,All
Nancy Astor Fox,,,,,,,,,,,,,,,,,1,501,All
Eugene A Depasquale,,,,,,,,,,,,,,,,,,174,All
Total,"1,295","1,214","1,084","1,031",999,970,730,724,708,704,685,663,656,653,652,639,636,"1,228",All
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Auditor General - Democrat,1
,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Jacquelyn Manns Smalley,Vincent J Hughes,Mark Alan Aronchick,Andrew P Toy,Jerome W Mondesire,Eleanor M Dezzi,Joseph C Meade,Raye E Johnson,Stephen A Cozen,Michelle W Singer,Heather Steinmiller,Nancy Astor Fox,Jerry T Jordan,William S Leopold,Eugene A Depasquale,1
Kenyatta J Johnson,3,52,50,51,40,43,31,31,29,30,30,29,25,24,21,24,24,51,1
Blondell Reynolds Brown,,0,43,43,37,40,27,28,25,27,26,26,23,23,20,22,23,41,1
Cindy Bass,,,0,47,30,39,29,29,28,29,26,28,23,22,22,23,22,39,1
Jacquelyn Manns Smalley,,,,0,29,39,28,28,27,27,26,27,25,23,21,23,22,39,1
Vincent J Hughes,,,,,1,28,28,29,26,30,29,26,22,24,21,23,23,30,1
Mark Alan Aronchick,,,,,,1,25,25,23,23,23,24,20,20,20,21,22,32,1
Andrew P Toy,,,,,,,0,26,23,25,22,27,20,20,20,20,19,25,1
Jerome W Mondesire,,,,,,,,0,24,27,24,26,21,22,22,21,21,24,1
Eleanor M Dezzi,,,,,,,,,0,24,27,24,23,22,23,23,23,23,1
Joseph C Meade,,,,,,,,,,0,24,25,21,21,20,22,21,22,1
Raye E Johnson,,,,,,,,,,,0,22,22,24,22,24,23,22,1
Stephen A Cozen,,,,,,,,,,,,0,20,20,21,20,20,23,1
Michelle W Singer,,,,,,,,,,,,,0,21,21,20,19,18,1
Heather Steinmiller,,,,,,,,,,,,,,1,19,21,20,18,1
Nancy Astor Fox,,,,,,,,,,,,,,,1,19,19,17,1
Jerry T Jordan,,,,,,,,,,,,,,,,0,23,16,1
William S Leopold,,,,,,,,,,,,,,,,,0,16,1
Eugene A Depasquale,,,,,,,,,,,,,,,,,,4,1
Total,71,55,51,51,46,45,32,32,31,31,31,30,26,25,25,24,24,59,1
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Auditor General - Democrat,2
,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Mark Alan Aronchick,Jacquelyn Manns Smalley,Vincent J Hughes,Stephen A Cozen,Jerome W Mondesire,Joseph C Meade,Andrew P Toy,Jerry T Jordan,Michelle W Singer,Nancy Astor Fox,Raye E Johnson,William S Leopold,Heather Steinmiller,Eleanor M Dezzi,Eugene A Depasquale,2
Kenyatta J Johnson,2,56,54,50,46,36,32,29,29,28,28,25,25,27,26,25,24,45,2
Blondell Reynolds Brown,,1,51,50,46,35,28,31,29,27,26,25,23,25,26,24,24,42,2
Cindy Bass,,,1,46,46,31,29,27,27,26,24,24,22,24,24,24,23,40,2
Mark Alan Aronchick,,,,0,42,29,28,27,28,27,24,22,22,24,25,24,24,36,2
Jacquelyn Manns Smalley,,,,,0,25,23,22,22,21,21,21,18,21,20,21,20,38,2
Vincent J Hughes,,,,,,0,32,32,32,29,28,28,26,26,27,25,24,28,2
Stephen A Cozen,,,,,,,0,29,30,30,26,25,26,27,27,26,25,24,2
Jerome W Mondesire,,,,,,,,0,29,28,26,25,24,25,27,25,25,24,2
Joseph C Meade,,,,,,,,,0,29,26,25,24,26,27,25,25,22,2
Andrew P Toy,,,,,,,,,,0,25,23,24,25,26,24,24,22,2
Jerry T Jordan,,,,,,,,,,,0,25,23,27,26,25,25,22,2
Michelle W Singer,,,,,,,,,,,,0,26,25,25,24,23,23,2
Nancy Astor Fox,,,,,,,,,,,,,0,24,25,23,22,22,2
Raye E Johnson,,,,,,,,,,,,,,0,26,25,25,22,2
William S Leopold,,,,,,,,,,,,,,,0,25,25,22,2
Heather Steinmiller,,,,,,,,,,,,,,,,0,25,20,2
Eleanor M Dezzi,,,,,,,,,,,,,,,,,0,19,2
Eugene A Depasquale,,,,,,,,,,,,,,,,,,6,2
Total,65,60,56,51,48,43,34,33,33,31,29,29,28,28,28,26,25,56,2
,Auditor General - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,3
,Eugene A Depasquale,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Jacquelyn Manns Smalley,Mark Alan Aronchick,Vincent J Hughes,Jerome W Mondesire,Jerry T Jordan,Joseph C Meade,Heather Steinmiller,Michelle W Singer,Stephen A Cozen,Andrew P Toy,Eleanor M Dezzi,William S Leopold,Nancy Astor Fox,Raye E Johnson,3
Eugene A Depasquale,12,49,43,41,41,42,37,32,32,34,33,31,32,31,31,30,30,29,3
Kenyatta J Johnson,,1,53,51,49,48,43,41,42,40,40,39,37,36,37,37,36,35,3
Blondell Reynolds Brown,,,0,49,46,46,42,40,40,38,38,36,37,36,37,37,36,35,3
Cindy Bass,,,,0,46,45,39,37,39,36,37,36,35,34,35,36,35,34,3
Jacquelyn Manns Smalley,,,,,0,46,36,35,36,34,35,33,34,34,34,34,33,33,3
Mark Alan Aronchick,,,,,,0,35,34,34,33,35,32,34,34,34,34,33,33,3
Vincent J Hughes,,,,,,,0,41,40,40,38,37,38,37,37,37,36,35,3
Jerome W Mondesire,,,,,,,,0,40,38,37,37,38,37,37,36,35,35,3
Jerry T Jordan,,,,,,,,,0,38,36,36,36,35,36,37,36,35,3
Joseph C Meade,,,,,,,,,,0,37,36,37,36,36,36,36,34,3
Heather Steinmiller,,,,,,,,,,,0,37,37,36,37,36,35,35,3
Michelle W Singer,,,,,,,,,,,,0,35,34,35,34,34,33,3
Stephen A Cozen,,,,,,,,,,,,,0,38,36,36,35,35,3
Andrew P Toy,,,,,,,,,,,,,,0,35,35,34,34,3
Eleanor M Dezzi,,,,,,,,,,,,,,,0,36,35,35,3
William S Leopold,,,,,,,,,,,,,,,,0,36,35,3
Nancy Astor Fox,,,,,,,,,,,,,,,,,0,34,3
Raye E Johnson,,,,,,,,,,,,,,,,,,0,3
Total,67,62,56,51,49,49,48,43,42,41,40,39,39,38,38,37,36,35,3
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Auditor General - Democrat,4
,Kenyatta J Johnson,Vincent J Hughes,Cindy Bass,Blondell Reynolds Brown,Jacquelyn Manns Smalley,Joseph C Meade,Mark Alan Aronchick,Jerome W Mondesire,William S Leopold,Eleanor M Dezzi,Jerry T Jordan,Heather Steinmiller,Raye E Johnson,Stephen A Cozen,Andrew P Toy,Michelle W Singer,Nancy Astor Fox,Eugene A Depasquale,4
Kenyatta J Johnson,0,68,69,67,66,55,49,36,38,36,37,35,36,36,35,35,33,52,4
Vincent J Hughes,,1,62,59,59,53,42,35,37,36,37,35,36,35,34,35,32,46,4
Cindy Bass,,,0,62,62,51,48,34,34,34,35,33,33,34,34,32,31,47,4
Blondell Reynolds Brown,,,,0,60,50,46,33,35,35,34,34,34,34,33,33,31,47,4
Jacquelyn Manns Smalley,,,,,0,52,44,33,35,33,36,32,34,34,33,32,31,42,4
Joseph C Meade,,,,,,0,34,34,35,34,32,34,33,36,35,31,32,32,4
Mark Alan Aronchick,,,,,,,0,32,35,35,34,34,34,34,33,32,32,43,4
Jerome W Mondesire,,,,,,,,0,31,31,30,31,30,32,32,29,28,32,4
William S Leopold,,,,,,,,,0,35,34,34,35,34,34,33,33,32,4
Eleanor M Dezzi,,,,,,,,,,0,33,36,33,33,34,32,32,30,4
Jerry T Jordan,,,,,,,,,,,0,32,33,32,32,32,30,30,4
Heather Steinmiller,,,,,,,,,,,,0,32,33,34,32,31,29,4
Raye E Johnson,,,,,,,,,,,,,0,33,32,31,31,31,4
Stephen A Cozen,,,,,,,,,,,,,,0,34,31,31,29,4
Andrew P Toy,,,,,,,,,,,,,,,0,31,31,28,4
Michelle W Singer,,,,,,,,,,,,,,,,0,30,30,4
Nancy Astor Fox,,,,,,,,,,,,,,,,,0,27,4
Eugene A Depasquale,,,,,,,,,,,,,,,,,,6,4
Total,80,72,70,69,66,55,50,38,38,37,37,36,36,36,35,35,33,62,4
,Auditor General - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,5
,Eugene A Depasquale,Kenyatta J Johnson,Blondell Reynolds Brown,Jacquelyn Manns Smalley,Mark Alan Aronchick,Cindy Bass,Vincent J Hughes,Stephen A Cozen,Raye E Johnson,Jerome W Mondesire,Jerry T Jordan,Andrew P Toy,Joseph C Meade,Michelle W Singer,Heather Steinmiller,Nancy Astor Fox,Eleanor M Dezzi,William S Leopold,5
Eugene A Depasquale,8,45,37,37,37,35,25,21,20,19,20,19,20,19,19,18,17,16,5
Kenyatta J Johnson,,2,44,44,41,44,28,27,25,25,25,25,25,24,23,23,23,21,5
Blondell Reynolds Brown,,,1,41,41,40,23,23,21,24,20,23,22,20,20,19,20,18,5
Jacquelyn Manns Smalley,,,,1,41,44,24,24,22,22,24,22,22,21,21,23,20,20,5
Mark Alan Aronchick,,,,,0,41,25,24,23,24,22,23,22,22,21,21,20,20,5
Cindy Bass,,,,,,0,24,24,24,23,24,22,22,21,21,23,21,22,5
Vincent J Hughes,,,,,,,1,26,23,22,24,23,23,22,23,22,21,20,5
Stephen A Cozen,,,,,,,,0,23,23,23,24,24,23,23,23,21,21,5
Raye E Johnson,,,,,,,,,0,22,23,22,22,22,22,22,22,22,5
Jerome W Mondesire,,,,,,,,,,0,20,23,22,20,19,20,19,20,5
Jerry T Jordan,,,,,,,,,,,0,21,21,22,23,23,22,21,5
Andrew P Toy,,,,,,,,,,,,0,23,21,21,20,21,20,5
Joseph C Meade,,,,,,,,,,,,,0,20,21,21,20,20,5
Michelle W Singer,,,,,,,,,,,,,,0,22,21,21,20,5
Heather Steinmiller,,,,,,,,,,,,,,,0,22,22,21,5
Nancy Astor Fox,,,,,,,,,,,,,,,,0,21,21,5
Eleanor M Dezzi,,,,,,,,,,,,,,,,,0,20,5
William S Leopold,,,,,,,,,,,,,,,,,,0,5
Total,60,59,48,48,47,46,32,28,27,26,26,25,25,25,24,24,23,22,5
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Auditor General - Democrat,6
,Blondell Reynolds Brown,Kenyatta J Johnson,Cindy Bass,Jacquelyn Manns Smalley,Mark Alan Aronchick,Vincent J Hughes,Jerry T Jordan,Michelle W Singer,Jerome W Mondesire,Andrew P Toy,Stephen A Cozen,Raye E Johnson,Eleanor M Dezzi,Nancy Astor Fox,Heather Steinmiller,Joseph C Meade,William S Leopold,Eugene A Depasquale,6
Blondell Reynolds Brown,2,100,88,85,84,70,58,56,56,56,56,54,54,53,51,51,51,78,6
Kenyatta J Johnson,,3,91,87,88,70,61,61,57,57,59,58,56,54,55,54,53,77,6
Cindy Bass,,,0,86,85,61,56,53,55,55,57,54,55,52,54,53,52,66,6
Jacquelyn Manns Smalley,,,,0,83,58,53,52,52,53,53,55,53,51,53,52,52,63,6
Mark Alan Aronchick,,,,,0,57,53,52,52,54,55,53,54,52,53,52,52,65,6
Vincent J Hughes,,,,,,0,61,60,59,60,57,56,55,57,53,56,52,61,6
Jerry T Jordan,,,,,,,0,56,53,53,54,54,56,52,53,51,52,50,6
Michelle W Singer,,,,,,,,0,51,52,52,53,52,55,53,50,51,48,6
Jerome W Mondesire,,,,,,,,,0,54,53,50,50,49,51,50,48,49,6
Andrew P Toy,,,,,,,,,,0,56,54,55,52,53,56,53,46,6
Stephen A Cozen,,,,,,,,,,,0,53,55,51,54,54,52,45,6
Raye E Johnson,,,,,,,,,,,,0,55,51,54,53,54,46,6
Eleanor M Dezzi,,,,,,,,,,,,,0,52,54,53,54,45,6
Nancy Astor Fox,,,,,,,,,,,,,,0,51,50,51,45,6
Heather Steinmiller,,,,,,,,,,,,,,,0,51,52,42,6
Joseph C Meade,,,,,,,,,,,,,,,,0,52,41,6
William S Leopold,,,,,,,,,,,,,,,,,0,42,6
Eugene A Depasquale,,,,,,,,,,,,,,,,,,7,6
Total,112,112,94,93,91,83,64,63,62,61,60,59,58,58,56,56,54,95,6
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Auditor General - Democrat,7
,Kenyatta J Johnson,Blondell Reynolds Brown,Jacquelyn Manns Smalley,Cindy Bass,Mark Alan Aronchick,Vincent J Hughes,Jerry T Jordan,Joseph C Meade,Michelle W Singer,Jerome W Mondesire,Raye E Johnson,Nancy Astor Fox,Stephen A Cozen,Andrew P Toy,Eleanor M Dezzi,Heather Steinmiller,William S Leopold,Eugene A Depasquale,7
Kenyatta J Johnson,3,70,68,63,64,55,43,43,44,42,42,41,40,41,40,41,38,58,7
Blondell Reynolds Brown,,1,64,64,60,51,42,41,40,42,40,38,39,40,37,39,38,55,7
Jacquelyn Manns Smalley,,,0,64,64,46,42,43,41,40,39,40,39,41,38,40,38,52,7
Cindy Bass,,,,1,62,45,41,42,40,39,39,41,38,41,38,39,38,51,7
Mark Alan Aronchick,,,,,0,42,41,40,41,38,39,39,38,39,38,40,37,51,7
Vincent J Hughes,,,,,,1,43,43,43,44,42,41,41,41,40,40,39,43,7
Jerry T Jordan,,,,,,,0,42,43,40,42,41,39,41,40,42,39,34,7
Joseph C Meade,,,,,,,,0,41,39,40,40,39,42,39,40,39,34,7
Michelle W Singer,,,,,,,,,0,39,42,41,39,40,41,42,39,36,7
Jerome W Mondesire,,,,,,,,,,0,39,37,40,39,37,39,37,31,7
Raye E Johnson,,,,,,,,,,,0,40,38,39,41,41,39,35,7
Nancy Astor Fox,,,,,,,,,,,,0,37,39,39,40,38,33,7
Stephen A Cozen,,,,,,,,,,,,,1,39,37,39,37,33,7
Andrew P Toy,,,,,,,,,,,,,,0,38,39,38,31,7
Eleanor M Dezzi,,,,,,,,,,,,,,,0,40,38,33,7
Heather Steinmiller,,,,,,,,,,,,,,,,0,39,34,7
William S Leopold,,,,,,,,,,,,,,,,,0,32,7
Eugene A Depasquale,,,,,,,,,,,,,,,,,,3,7
Total,86,79,71,70,66,66,45,45,45,44,44,43,43,42,42,42,40,74,7
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Auditor General - Democrat,8
