col_1,col_2,col_3,col_4,division
,Representative In Congress 13th District - Democrat,Attorney General - Democrat,,All
,Allyson Y Schwartz,Patrick Murphy,Kathleen G Kane,All
Allyson Y Schwartz,69,"1,010",612,All
Patrick Murphy,,94,0,All
Kathleen G Kane,,,83,All
Total,"1,691","1,104",695,All
,Representative In Congress 13th District - Democrat,Attorney General - Democrat,,1
,Allyson Y Schwartz,Patrick Murphy,Kathleen G Kane,1
Allyson Y Schwartz,2,42,12,1
Patrick Murphy,,2,0,1
Kathleen G Kane,,,4,1
Total,56,44,16,1
,Representative In Congress 13th District - Democrat,Attorney General - Democrat,,2
,Allyson Y Schwartz,Patrick Murphy,Kathleen G Kane,2
Allyson Y Schwartz,3,22,15,2
Patrick Murphy,,2,0,2
Kathleen G Kane,,,1,2
Total,40,24,16,2
,Representative In Congress 13th District - Democrat,Attorney General - Democrat,,3
,Allyson Y Schwartz,Patrick Murphy,Kathleen G Kane,3
Allyson Y Schwartz,0,31,9,3
Patrick Murphy,,2,0,3
Kathleen G Kane,,,2,3
Total,40,33,11,3
,Representative In Congress 13th District - Democrat,Attorney General - Democrat,,4
,Allyson Y Schwartz,Patrick Murphy,Kathleen G Kane,4
Allyson Y Schwartz,1,18,13,4
Patrick Murphy,,2,0,4
Kathleen G Kane,,,3,4
Total,32,20,16,4
,Representative In Congress 13th District - Democrat,Attorney General - Democrat,,5
,Allyson Y Schwartz,Patrick Murphy,Kathleen G Kane,5
Allyson Y Schwartz,6,45,29,5
Patrick Murphy,,3,0,5
Kathleen G Kane,,,3,5
Total,80,48,32,5
,Representative In Congress 13th District - Democrat,Attorney General - Democrat,,6
,Allyson Y Schwartz,Patrick Murphy,Kathleen G Kane,6
Allyson Y Schwartz,1,40,20,6
Patrick Murphy,,2,0,6
Kathleen G Kane,,,1,6
Total,61,42,21,6
,Representative In Congress 13th District - Democrat,Attorney General - Democrat,,7
,Allyson Y Schwartz,Patrick Murphy,Kathleen G Kane,7
Allyson Y Schwartz,4,50,23,7
Patrick Murphy,,9,0,7
Kathleen G Kane,,,6,7
Total,77,59,29,7
,Representative In Congress 13th District - Democrat,Attorney General - Democrat,,8
,Allyson Y Schwartz,Patrick Murphy,Kathleen G Kane,8
Allyson Y Schwartz,2,33,20,8
Patrick Murphy,,6,0,8
Kathleen G Kane,,,7,8
Total,55,39,27,8
,Representative In Congress 13th District - Democrat,Attorney General - Democrat,,9
,Allyson Y Schwartz,Patrick Murphy,Kathleen G Kane,9
Allyson Y Schwartz,3,53,34,9
Patrick Murphy,,4,0,9
Kathleen G Kane,,,3,9
Total,90,57,37,9
,Representative In Congress 13th District - Democrat,Attorney General - Democrat,,10
,Allyson Y Schwartz,Patrick Murphy,Kathleen G Kane,10
Allyson Y Schwartz,3,41,10,10
Patrick Murphy,,4,0,10
Kathleen G Kane,,,4,10
Total,54,45,14,10
,Representative In Congress 13th District - Democrat,Attorney General - Democrat,,11
,Allyson Y Schwartz,Patrick Murphy,Kathleen G Kane,11
Allyson Y Schwartz,3,34,23,11
Patrick Murphy,,1,0,11
Kathleen G Kane,,,1,11
Total,60,35,24,11
,Representative In Congress 13th District - Democrat,Attorney General - Democrat,,12
,Allyson Y Schwartz,Kathleen G Kane,Patrick Murphy,12
Allyson Y Schwartz,4,35,33,12
Kathleen G Kane,,3,0,12
Patrick Murphy,,,3,12
Total,72,38,36,12
,Representative In Congress 13th District - Democrat,Attorney General - Democrat,,13
,Allyson Y Schwartz,Patrick Murphy,Kathleen G Kane,13
Allyson Y Schwartz,0,59,34,13
Patrick Murphy,,4,0,13
Kathleen G Kane,,,3,13
Total,93,63,37,13
,Representative In Congress 13th District - Democrat,Attorney General - Democrat,,14
,Allyson Y Schwartz,Kathleen G Kane,Patrick Murphy,14
Allyson Y Schwartz,5,27,14,14
Kathleen G Kane,,1,0,14
Patrick Murphy,,,2,14
Total,46,28,16,14
,Representative In Congress 13th District - Democrat,Attorney General - Democrat,,15
,Allyson Y Schwartz,Patrick Murphy,Kathleen G Kane,15
Allyson Y Schwartz,2,22,18,15
Patrick Murphy,,2,0,15
Kathleen G Kane,,,2,15
Total,42,24,20,15
,Representative In Congress 13th District - Democrat,Attorney General - Democrat,,16
,Allyson Y Schwartz,Patrick Murphy,Kathleen G Kane,16
Allyson Y Schwartz,0,23,10,16
Patrick Murphy,,3,0,16
Kathleen G Kane,,,0,16
Total,33,26,10,16
,Representative In Congress 13th District - Democrat,Attorney General - Democrat,,17
,Allyson Y Schwartz,Patrick Murphy,Kathleen G Kane,17
Allyson Y Schwartz,1,26,22,17
