col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,Delegate To The Republican National Convention 13th District,,,,,,,,All
,William E Donnelly,Michael J Mcmonagle,Thomas Jay Ellis,Robert C Barrilli,Michael Anthony Salvi,Edward T Boyd,Brandon Yates,Steven J Gilber,All
William E Donnelly,43,100,122,44,32,32,9,7,All
Michael J Mcmonagle,,30,69,19,31,26,11,10,All
Thomas Jay Ellis,,,15,39,20,10,11,7,All
Robert C Barrilli,,,,20,10,8,8,5,All
Michael Anthony Salvi,,,,,10,10,10,11,All
Edward T Boyd,,,,,,3,11,12,All
Brandon Yates,,,,,,,1,14,All
Steven J Gilber,,,,,,,,1,All
Total,228,172,161,90,74,61,40,36,All
,Delegate To The Republican National Convention 13th District,,,,,,,,1
,William E Donnelly,Thomas Jay Ellis,Michael J Mcmonagle,Brandon Yates,Edward T Boyd,Michael Anthony Salvi,Robert C Barrilli,Steven J Gilber,1
William E Donnelly,1,7,6,3,2,1,0,0,1
Thomas Jay Ellis,,2,4,3,0,1,0,1,1
Michael J Mcmonagle,,,1,1,1,2,1,0,1
Brandon Yates,,,,0,1,0,1,1,1
Edward T Boyd,,,,,1,1,0,1,1
Michael Anthony Salvi,,,,,,0,0,1,1
Robert C Barrilli,,,,,,,1,0,1
Steven J Gilber,,,,,,,,0,1
Total,13,11,10,5,5,3,2,2,1
,Delegate To The Republican National Convention 13th District,,,,,,,,2
,William E Donnelly,Michael J Mcmonagle,Robert C Barrilli,Thomas Jay Ellis,Edward T Boyd,Michael Anthony Salvi,Brandon Yates,Steven J Gilber,2
William E Donnelly,4,15,10,14,5,3,0,0,2
Michael J Mcmonagle,,3,5,7,5,4,0,0,2
Robert C Barrilli,,,9,6,0,1,0,0,2
Thomas Jay Ellis,,,,1,1,1,0,0,2
Edward T Boyd,,,,,0,1,1,1,2
Michael Anthony Salvi,,,,,,0,1,1,2
Brandon Yates,,,,,,,0,2,2
Steven J Gilber,,,,,,,,0,2
Total,28,22,21,16,7,6,2,2,2
,Delegate To The Republican National Convention 13th District,,,,,,,,3
,Robert C Barrilli,Michael J Mcmonagle,Michael Anthony Salvi,William E Donnelly,Brandon Yates,Edward T Boyd,Steven J Gilber,Thomas Jay Ellis,3
Robert C Barrilli,3,1,2,0,2,1,0,0,3
Michael J Mcmonagle,,3,2,0,0,1,0,0,3
Michael Anthony Salvi,,,0,0,1,1,0,0,3
William E Donnelly,,,,3,0,0,0,0,3
Brandon Yates,,,,,0,1,0,0,3
Edward T Boyd,,,,,,0,0,0,3
Steven J Gilber,,,,,,,0,0,3
Thomas Jay Ellis,,,,,,,,0,3
Total,6,5,3,3,2,2,0,0,3
,Delegate To The Republican National Convention 13th District,,,,,,,,4
,William E Donnelly,Michael J Mcmonagle,Thomas Jay Ellis,Michael Anthony Salvi,Robert C Barrilli,Brandon Yates,Edward T Boyd,Steven J Gilber,4
William E Donnelly,2,7,8,1,4,0,0,0,4
Michael J Mcmonagle,,0,4,3,1,0,1,0,4
Thomas Jay Ellis,,,1,0,4,0,0,0,4
Michael Anthony Salvi,,,,2,1,1,1,0,4
Robert C Barrilli,,,,,0,0,0,0,4
Brandon Yates,,,,,,0,0,0,4
Edward T Boyd,,,,,,,0,0,4
Steven J Gilber,,,,,,,,0,4
Total,13,9,9,6,5,1,1,0,4
,Delegate To The Republican National Convention 13th District,,,,,,,,5
,William E Donnelly,Thomas Jay Ellis,Michael J Mcmonagle,Robert C Barrilli,Michael Anthony Salvi,Edward T Boyd,Steven J Gilber,Brandon Yates,5
William E Donnelly,10,31,18,13,8,5,0,0,5
Thomas Jay Ellis,,3,11,13,5,3,0,0,5
