col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,Delegate To The Republican National Convention 1st District,,,,,,United States Senator - Republican,,,,,All
,Christopher M Vogler,Marion S Taxin,Tom Boggia,Michael W Untermeyer,Frederick W Anton,Dale Kerns,Tom Smith,David Alan Christian,Steven D Welch,Marc A Scaringi,Sam Rohrer,All
Christopher M Vogler,74,"1,497","1,084",587,673,339,"1,054",684,728,203,144,All
Marion S Taxin,,38,979,325,648,178,794,607,532,196,115,All
Tom Boggia,,,40,444,226,366,645,563,424,335,151,All
Michael W Untermeyer,,,,17,327,468,587,287,228,83,167,All
Frederick W Anton,,,,,0,253,616,148,239,48,79,All
Dale Kerns,,,,,,12,399,191,138,84,119,All
Tom Smith,,,,,,,322,0,0,0,0,All
David Alan Christian,,,,,,,,133,0,0,0,All
Steven D Welch,,,,,,,,,126,0,0,All
Marc A Scaringi,,,,,,,,,,65,0,All
Sam Rohrer,,,,,,,,,,,74,All
Total,"2,952","2,338","2,216","1,384","1,157",976,"2,150","1,333","1,225",568,431,All
