col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,division
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Representative In The General Assembly 182nd District - Democrat,,All
,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Mark Alan Aronchick,Jacquelyn Manns Smalley,Vincent J Hughes,Andrew P Toy,Joseph C Meade,Stephen A Cozen,Jerome W Mondesire,Jerry T Jordan,Raye E Johnson,Eleanor M Dezzi,Heather Steinmiller,Michelle W Singer,Nancy Astor Fox,William S Leopold,Babette Josephs,Brian K Sims,All
Kenyatta J Johnson,5,227,219,204,205,134,130,132,127,129,127,127,121,120,115,114,114,211,138,All
Blondell Reynolds Brown,,0,201,194,192,125,121,124,119,124,118,120,115,117,106,110,108,136,98,All
Cindy Bass,,,1,197,203,123,123,123,119,124,118,118,117,116,104,111,111,123,98,All
Mark Alan Aronchick,,,,2,188,116,120,119,117,117,112,113,114,112,104,106,106,117,98,All
Jacquelyn Manns Smalley,,,,,0,119,120,118,115,120,116,116,111,115,101,107,109,115,92,All
Vincent J Hughes,,,,,,0,127,123,119,124,122,120,119,119,110,111,113,83,54,All
Andrew P Toy,,,,,,,1,124,122,126,124,122,120,121,111,112,116,78,55,All
Joseph C Meade,,,,,,,,0,122,126,125,125,121,120,108,116,116,84,52,All
Stephen A Cozen,,,,,,,,,0,123,117,119,115,117,108,109,109,76,57,All
Jerome W Mondesire,,,,,,,,,,0,120,123,117,119,107,109,112,79,53,All
Jerry T Jordan,,,,,,,,,,,0,122,120,122,109,113,116,78,53,All
Raye E Johnson,,,,,,,,,,,,1,120,121,111,115,114,81,51,All
Eleanor M Dezzi,,,,,,,,,,,,,0,121,108,116,115,77,49,All
Heather Steinmiller,,,,,,,,,,,,,,0,107,115,116,77,48,All
Michelle W Singer,,,,,,,,,,,,,,,0,108,100,71,51,All
Nancy Astor Fox,,,,,,,,,,,,,,,,0,107,73,48,All
William S Leopold,,,,,,,,,,,,,,,,,0,74,43,All
Babette Josephs,,,,,,,,,,,,,,,,,,126,0,All
Brian K Sims,,,,,,,,,,,,,,,,,,,42,All
Total,365,237,229,223,214,143,140,139,136,135,135,135,131,128,124,124,121,355,196,All
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Representative In The General Assembly 182nd District - Democrat,,14
,Kenyatta J Johnson,Mark Alan Aronchick,Blondell Reynolds Brown,Cindy Bass,Jacquelyn Manns Smalley,Stephen A Cozen,Joseph C Meade,Vincent J Hughes,Jerome W Mondesire,Raye E Johnson,Andrew P Toy,Jerry T Jordan,Michelle W Singer,Eleanor M Dezzi,Heather Steinmiller,Nancy Astor Fox,William S Leopold,Babette Josephs,Brian K Sims,14
Kenyatta J Johnson,1,28,27,27,27,11,12,11,11,11,10,10,10,9,9,9,8,23,19,14
Mark Alan Aronchick,,0,26,26,26,10,11,10,11,10,10,9,9,8,9,9,8,13,15,14
Blondell Reynolds Brown,,,0,25,25,10,11,11,11,10,10,9,9,8,9,9,8,13,14,14
Cindy Bass,,,,0,27,10,11,10,11,10,10,9,9,8,9,9,8,11,16,14
Jacquelyn Manns Smalley,,,,,0,10,11,10,11,10,10,9,9,8,9,9,8,11,16,14
Stephen A Cozen,,,,,,0,10,9,10,11,9,9,10,8,9,9,8,6,7,14
Joseph C Meade,,,,,,,0,10,11,10,10,10,9,8,9,9,8,6,6,14
Vincent J Hughes,,,,,,,,0,10,9,10,8,9,8,8,8,8,6,6,14
Jerome W Mondesire,,,,,,,,,0,10,10,9,9,8,9,9,8,5,6,14
Raye E Johnson,,,,,,,,,,0,9,9,10,8,9,9,8,5,6,14
Andrew P Toy,,,,,,,,,,,0,8,9,8,8,8,8,5,5,14
Jerry T Jordan,,,,,,,,,,,,0,8,8,9,8,8,5,5,14
Michelle W Singer,,,,,,,,,,,,,0,8,8,8,8,5,5,14
Eleanor M Dezzi,,,,,,,,,,,,,,0,8,7,8,5,4,14
Heather Steinmiller,,,,,,,,,,,,,,,0,8,8,4,5,14
Nancy Astor Fox,,,,,,,,,,,,,,,,0,7,3,6,14
William S Leopold,,,,,,,,,,,,,,,,,0,4,4,14
Babette Josephs,,,,,,,,,,,,,,,,,,14,0,14
Brian K Sims,,,,,,,,,,,,,,,,,,,7,14
Total,43,28,27,27,27,13,12,12,11,11,10,10,10,9,9,9,8,38,28,14
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Representative In The General Assembly 182nd District - Democrat,,24
,Kenyatta J Johnson,Cindy Bass,Mark Alan Aronchick,Blondell Reynolds Brown,Jacquelyn Manns Smalley,Joseph C Meade,Raye E Johnson,Andrew P Toy,Eleanor M Dezzi,Jerome W Mondesire,Stephen A Cozen,Vincent J Hughes,Jerry T Jordan,Heather Steinmiller,Michelle W Singer,Nancy Astor Fox,William S Leopold,Babette Josephs,Brian K Sims,24
Kenyatta J Johnson,2,26,24,24,23,13,12,13,13,13,13,13,12,11,12,11,11,24,18,24
Cindy Bass,,0,24,24,24,14,13,13,13,14,14,13,11,12,11,12,12,12,14,24
Mark Alan Aronchick,,,1,23,21,13,12,11,12,12,12,11,10,11,10,11,11,11,14,24
Blondell Reynolds Brown,,,,0,21,14,13,11,12,12,12,11,10,11,10,12,11,14,12,24
Jacquelyn Manns Smalley,,,,,0,13,13,13,12,14,14,13,11,12,11,11,12,11,11,24
Joseph C Meade,,,,,,0,15,13,14,14,14,13,12,13,11,13,13,8,7,24
Raye E Johnson,,,,,,,1,13,13,14,14,13,12,13,11,12,13,7,7,24
Andrew P Toy,,,,,,,,0,13,14,14,14,13,13,12,11,13,5,8,24
Eleanor M Dezzi,,,,,,,,,0,13,13,13,12,13,11,12,13,6,7,24
Jerome W Mondesire,,,,,,,,,,0,15,14,12,13,11,11,13,6,7,24
Stephen A Cozen,,,,,,,,,,,0,14,12,13,11,11,13,6,7,24
Vincent J Hughes,,,,,,,,,,,,0,13,13,12,11,13,5,8,24
Jerry T Jordan,,,,,,,,,,,,,0,12,12,10,12,4,9,24
Heather Steinmiller,,,,,,,,,,,,,,0,11,11,13,5,7,24
Michelle W Singer,,,,,,,,,,,,,,,0,10,11,5,8,24
Nancy Astor Fox,,,,,,,,,,,,,,,,0,11,6,7,24
William S Leopold,,,,,,,,,,,,,,,,,0,5,7,24
Babette Josephs,,,,,,,,,,,,,,,,,,5,0,24
Brian K Sims,,,,,,,,,,,,,,,,,,,4,24
Total,48,28,27,26,24,16,16,15,15,15,15,15,14,13,13,13,13,30,25,24
,Representative In The General Assembly 182nd District - Democrat,,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,25
,Babette Josephs,Brian K Sims,Kenyatta J Johnson,Cindy Bass,Mark Alan Aronchick,Jacquelyn Manns Smalley,Blondell Reynolds Brown,Andrew P Toy,Eleanor M Dezzi,Jerry T Jordan,Vincent J Hughes,Joseph C Meade,Heather Steinmiller,Jerome W Mondesire,Raye E Johnson,William S Leopold,Nancy Astor Fox,Stephen A Cozen,Michelle W Singer,25
Babette Josephs,15,0,24,19,17,16,15,9,10,10,10,10,9,9,9,9,9,9,9,25
Brian K Sims,,6,15,9,11,10,10,6,5,5,5,5,4,5,5,4,3,4,3,25
Kenyatta J Johnson,,,0,27,26,27,25,16,15,16,16,15,14,14,14,14,13,13,12,25
Cindy Bass,,,,0,23,26,24,14,14,15,15,14,14,13,13,13,13,12,12,25
Mark Alan Aronchick,,,,,0,25,22,14,13,13,13,13,12,13,13,13,11,12,11,25
Jacquelyn Manns Smalley,,,,,,0,24,14,14,15,15,14,14,13,13,13,13,12,12,25
Blondell Reynolds Brown,,,,,,,0,13,13,14,14,14,13,13,13,12,12,12,12,25
Andrew P Toy,,,,,,,,0,15,15,15,14,14,14,14,14,13,13,12,25
Eleanor M Dezzi,,,,,,,,,0,15,15,14,14,14,14,14,13,12,12,25
Jerry T Jordan,,,,,,,,,,0,16,15,14,14,14,14,13,12,12,25
Vincent J Hughes,,,,,,,,,,,0,15,14,14,14,14,13,12,12,25
Joseph C Meade,,,,,,,,,,,,0,13,14,14,13,12,12,12,25
Heather Steinmiller,,,,,,,,,,,,,0,13,13,13,13,12,12,25
Jerome W Mondesire,,,,,,,,,,,,,,0,14,13,12,12,12,25
Raye E Johnson,,,,,,,,,,,,,,,0,13,12,12,12,25
William S Leopold,,,,,,,,,,,,,,,,0,12,11,11,25
Nancy Astor Fox,,,,,,,,,,,,,,,,,0,12,12,25
Stephen A Cozen,,,,,,,,,,,,,,,,,,0,12,25
Michelle W Singer,,,,,,,,,,,,,,,,,,,0,25
Total,44,21,40,29,29,28,25,16,16,16,16,15,14,14,14,14,13,13,12,25
