col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,division
,Senator In The General Assembly 3rd District - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,All
,Shirley M Kitchen,Cindy Bass,Kenyatta J Johnson,Blondell Reynolds Brown,Mark Alan Aronchick,Jacquelyn Manns Smalley,Vincent J Hughes,Eleanor M Dezzi,Stephen A Cozen,Andrew P Toy,Jerome W Mondesire,Heather Steinmiller,Michelle W Singer,Jerry T Jordan,Joseph C Meade,Nancy Astor Fox,Raye E Johnson,William S Leopold,All
Shirley M Kitchen,171,645,640,626,583,574,541,496,485,477,478,474,471,469,466,465,436,423,All
Cindy Bass,,3,638,629,599,604,529,493,491,489,489,480,476,471,474,473,454,442,All
Kenyatta J Johnson,,,3,628,583,593,521,478,481,481,485,465,462,467,467,456,455,435,All
Blondell Reynolds Brown,,,,2,580,576,518,473,471,482,480,466,452,468,463,453,448,432,All
Mark Alan Aronchick,,,,,4,563,490,460,477,467,460,455,435,453,463,441,437,432,All
Jacquelyn Manns Smalley,,,,,,0,477,466,463,462,456,460,453,442,454,448,442,422,All
Vincent J Hughes,,,,,,,1,491,487,493,493,480,462,487,482,462,456,442,All
Eleanor M Dezzi,,,,,,,,4,471,468,461,493,471,462,459,472,452,442,All
Stephen A Cozen,,,,,,,,,1,471,471,459,443,457,465,448,449,437,All
Andrew P Toy,,,,,,,,,,4,465,460,448,450,465,443,443,433,All
Jerome W Mondesire,,,,,,,,,,,0,457,441,460,465,441,446,432,All
Heather Steinmiller,,,,,,,,,,,,0,471,455,458,477,451,447,All
Michelle W Singer,,,,,,,,,,,,,0,436,441,467,433,425,All
Jerry T Jordan,,,,,,,,,,,,,,1,459,443,446,439,All
Joseph C Meade,,,,,,,,,,,,,,,0,443,446,438,All
Nancy Astor Fox,,,,,,,,,,,,,,,,0,438,432,All
Raye E Johnson,,,,,,,,,,,,,,,,,1,434,All
William S Leopold,,,,,,,,,,,,,,,,,,0,All
