col_1,col_2,col_3,col_4,division
,State Treasurer - Democrat,Attorney General - Democrat,,All
,Robert M Mccord,Patrick Murphy,Kathleen G Kane,All
Robert M Mccord,19,726,724,All
Patrick Murphy,,232,0,All
Kathleen G Kane,,,135,All
Total,"1,469",958,859,All
,State Treasurer - Democrat,Attorney General - Democrat,,1
,Robert M Mccord,Patrick Murphy,Kathleen G Kane,1
Robert M Mccord,2,63,39,1
Patrick Murphy,,27,0,1
Kathleen G Kane,,,14,1
Total,104,90,53,1
,State Treasurer - Democrat,Attorney General - Democrat,,2
,Robert M Mccord,Kathleen G Kane,Patrick Murphy,2
Robert M Mccord,0,45,29,2
Kathleen G Kane,,9,0,2
Patrick Murphy,,,10,2
Total,74,54,39,2
,State Treasurer - Democrat,Attorney General - Democrat,,3
,Robert M Mccord,Kathleen G Kane,Patrick Murphy,3
Robert M Mccord,1,41,39,3
Kathleen G Kane,,6,0,3
Patrick Murphy,,,8,3
Total,81,47,47,3
,State Treasurer - Democrat,Attorney General - Democrat,,4
,Robert M Mccord,Kathleen G Kane,Patrick Murphy,4
Robert M Mccord,2,34,20,4
Kathleen G Kane,,7,0,4
Patrick Murphy,,,6,4
Total,56,41,26,4
,State Treasurer - Democrat,Attorney General - Democrat,,5
,Robert M Mccord,Patrick Murphy,Kathleen G Kane,5
Robert M Mccord,0,26,28,5
Patrick Murphy,,6,0,5
Kathleen G Kane,,,3,5
Total,54,32,31,5
,State Treasurer - Democrat,Attorney General - Democrat,,6
,Robert M Mccord,Patrick Murphy,Kathleen G Kane,6
Robert M Mccord,2,54,46,6
Patrick Murphy,,9,0,6
Kathleen G Kane,,,6,6
Total,102,63,52,6
,State Treasurer - Democrat,Attorney General - Democrat,,7
,Robert M Mccord,Patrick Murphy,Kathleen G Kane,7
Robert M Mccord,2,70,72,7
Patrick Murphy,,19,0,7
Kathleen G Kane,,,9,7
Total,144,89,81,7
,State Treasurer - Democrat,Attorney General - Democrat,,8
,Robert M Mccord,Kathleen G Kane,Patrick Murphy,8
Robert M Mccord,1,91,61,8
Kathleen G Kane,,18,0,8
Patrick Murphy,,,10,8
Total,153,109,71,8
,State Treasurer - Democrat,Attorney General - Democrat,,9
,Robert M Mccord,Patrick Murphy,Kathleen G Kane,9
Robert M Mccord,2,52,44,9
Patrick Murphy,,15,0,9
Kathleen G Kane,,,4,9
Total,98,67,48,9
,State Treasurer - Democrat,Attorney General - Democrat,,10
,Robert M Mccord,Patrick Murphy,Kathleen G Kane,10
Robert M Mccord,0,28,15,10
Patrick Murphy,,7,0,10
Kathleen G Kane,,,3,10
Total,43,35,18,10
,State Treasurer - Democrat,Attorney General - Democrat,,11
,Robert M Mccord,Patrick Murphy,Kathleen G Kane,11
Robert M Mccord,0,19,19,11
Patrick Murphy,,9,0,11
Kathleen G Kane,,,3,11
Total,38,28,22,11
,State Treasurer - Democrat,Attorney General - Democrat,,12
,Robert M Mccord,Patrick Murphy,Kathleen G Kane,12
Robert M Mccord,1,41,33,12
Patrick Murphy,,15,0,12
Kathleen G Kane,,,11,12
Total,75,56,44,12
,State Treasurer - Democrat,Attorney General - Democrat,,13
,Robert M Mccord,Patrick Murphy,Kathleen G Kane,13
Robert M Mccord,3,36,31,13
Patrick Murphy,,15,0,13
Kathleen G Kane,,,7,13
Total,70,51,38,13
,State Treasurer - Democrat,Attorney General - Democrat,,14
,Robert M Mccord,Patrick Murphy,Kathleen G Kane,14
Robert M Mccord,0,35,36,14
Patrick Murphy,,14,0,14
Kathleen G Kane,,,7,14
Total,71,49,43,14
,State Treasurer - Democrat,Attorney General - Democrat,,15
,Robert M Mccord,Patrick Murphy,Kathleen G Kane,15
Robert M Mccord,1,53,48,15
Patrick Murphy,,19,0,15
Kathleen G Kane,,,6,15
Total,102,72,54,15
,State Treasurer - Democrat,Attorney General - Democrat,,16
,Robert M Mccord,Kathleen G Kane,Patrick Murphy,16
Robert M Mccord,1,57,46,16
Kathleen G Kane,,10,0,16
Patrick Murphy,,,21,16
Total,104,67,67,16
,State Treasurer - Democrat,Attorney General - Democrat,,17
,Robert M Mccord,Patrick Murphy,Kathleen G Kane,17
Robert M Mccord,1,54,45,17
Patrick Murphy,,22,0,17
Kathleen G Kane,,,12,17
Total,100,76,57,17
