col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,division
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Representative In The General Assembly 194th District - Democrat,,All
,Kenyatta J Johnson,Blondell Reynolds Brown,Cindy Bass,Jacquelyn Manns Smalley,Mark Alan Aronchick,Vincent J Hughes,Jerome W Mondesire,Jerry T Jordan,Raye E Johnson,Stephen A Cozen,Andrew P Toy,Joseph C Meade,Michelle W Singer,Eleanor M Dezzi,Heather Steinmiller,Nancy Astor Fox,William S Leopold,Pamela A Delissio,Ray Bailey,All
Kenyatta J Johnson,7,"1,234","1,173","1,142","1,120",936,831,821,824,810,814,811,796,793,785,776,771,857,506,All
Blondell Reynolds Brown,,6,"1,145","1,114","1,101",935,814,820,802,792,801,795,787,782,775,764,760,829,460,All
Cindy Bass,,,0,"1,105","1,086",866,792,797,795,800,789,793,771,780,777,753,762,777,430,All
Jacquelyn Manns Smalley,,,,1,"1,066",842,785,790,780,781,781,790,755,764,763,734,754,748,422,All
Mark Alan Aronchick,,,,,0,809,772,776,773,789,776,771,748,760,757,743,759,749,398,All
Vincent J Hughes,,,,,,0,844,830,816,812,820,823,795,792,785,767,773,617,379,All
Jerome W Mondesire,,,,,,,1,781,772,784,781,782,743,756,749,724,748,542,318,All
Jerry T Jordan,,,,,,,,0,796,773,778,778,762,776,772,750,769,537,313,All
Raye E Johnson,,,,,,,,,0,783,781,779,760,779,776,756,776,521,318,All
Stephen A Cozen,,,,,,,,,,1,790,780,749,773,761,744,766,530,308,All
Andrew P Toy,,,,,,,,,,,0,789,748,770,765,736,761,529,305,All
Joseph C Meade,,,,,,,,,,,,0,746,763,766,740,759,523,306,All
Michelle W Singer,,,,,,,,,,,,,1,754,753,758,741,509,306,All
Eleanor M Dezzi,,,,,,,,,,,,,,0,778,750,769,508,297,All
Heather Steinmiller,,,,,,,,,,,,,,,0,747,760,511,292,All
Nancy Astor Fox,,,,,,,,,,,,,,,,0,735,508,292,All
William S Leopold,,,,,,,,,,,,,,,,,0,489,301,All
Pamela A Delissio,,,,,,,,,,,,,,,,,,238,0,All
Ray Bailey,,,,,,,,,,,,,,,,,,,154,All
Total,"1,415","1,335","1,236","1,195","1,174","1,022",877,865,855,855,850,845,831,822,817,810,800,"1,211",729,All
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Representative In The General Assembly 194th District - Democrat,,1
,Kenyatta J Johnson,Blondell Reynolds Brown,Jacquelyn Manns Smalley,Cindy Bass,Mark Alan Aronchick,Vincent J Hughes,Andrew P Toy,Jerome W Mondesire,Stephen A Cozen,Joseph C Meade,Jerry T Jordan,Michelle W Singer,Raye E Johnson,Eleanor M Dezzi,Heather Steinmiller,William S Leopold,Nancy Astor Fox,Pamela A Delissio,Ray Bailey,1
Kenyatta J Johnson,0,67,66,66,66,57,56,55,55,54,52,54,52,52,52,52,51,52,18,1
Blondell Reynolds Brown,,0,66,64,65,57,55,55,55,54,53,53,53,52,52,52,51,49,16,1
Jacquelyn Manns Smalley,,,0,64,65,55,55,53,54,54,53,53,53,52,52,52,51,49,17,1
Cindy Bass,,,,0,65,53,53,52,53,53,51,51,51,51,51,51,50,48,16,1
Mark Alan Aronchick,,,,,0,54,54,53,54,54,52,52,52,52,52,52,51,49,15,1
Vincent J Hughes,,,,,,0,56,57,57,56,54,53,54,53,53,53,51,38,17,1
Andrew P Toy,,,,,,,0,55,55,55,53,54,53,53,53,53,51,37,16,1
Jerome W Mondesire,,,,,,,,0,56,55,52,52,52,52,52,52,50,38,15,1
Stephen A Cozen,,,,,,,,,0,56,53,52,53,53,53,53,51,38,16,1
Joseph C Meade,,,,,,,,,,0,53,52,53,53,53,53,51,37,16,1
Jerry T Jordan,,,,,,,,,,,0,53,55,54,54,54,52,36,16,1
Michelle W Singer,,,,,,,,,,,,0,53,53,53,53,52,36,16,1
Raye E Johnson,,,,,,,,,,,,,0,54,54,54,52,36,16,1
Eleanor M Dezzi,,,,,,,,,,,,,,0,54,54,52,36,15,1
Heather Steinmiller,,,,,,,,,,,,,,,0,54,52,36,15,1
William S Leopold,,,,,,,,,,,,,,,,0,52,36,15,1
Nancy Astor Fox,,,,,,,,,,,,,,,,,0,35,15,1
Pamela A Delissio,,,,,,,,,,,,,,,,,,8,0,1
Ray Bailey,,,,,,,,,,,,,,,,,,,3,1
Total,74,68,68,66,66,60,57,57,57,56,55,55,55,54,54,54,52,62,23,1
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Representative In The General Assembly 194th District - Democrat,,2
,Blondell Reynolds Brown,Kenyatta J Johnson,Jacquelyn Manns Smalley,Cindy Bass,Mark Alan Aronchick,Vincent J Hughes,Jerome W Mondesire,Andrew P Toy,Jerry T Jordan,Stephen A Cozen,Raye E Johnson,Eleanor M Dezzi,Joseph C Meade,Michelle W Singer,Heather Steinmiller,William S Leopold,Nancy Astor Fox,Pamela A Delissio,Ray Bailey,2
Blondell Reynolds Brown,1,100,94,93,83,81,75,71,68,67,69,68,67,64,64,63,63,59,42,2
Kenyatta J Johnson,,2,93,91,81,78,74,71,68,67,68,67,67,65,63,63,62,59,42,2
Jacquelyn Manns Smalley,,,0,90,79,79,75,70,68,68,67,66,68,64,64,63,61,57,37,2
Cindy Bass,,,,0,82,76,72,70,66,68,67,68,68,62,65,64,63,57,35,2
Mark Alan Aronchick,,,,,0,69,67,66,63,67,63,62,64,58,60,63,59,51,31,2
Vincent J Hughes,,,,,,0,76,70,69,68,68,66,66,62,62,63,60,50,32,2
Jerome W Mondesire,,,,,,,0,69,67,68,66,63,66,62,60,62,59,45,31,2
Andrew P Toy,,,,,,,,0,65,68,66,65,66,61,61,64,61,42,28,2
Jerry T Jordan,,,,,,,,,0,63,65,62,61,59,60,61,57,41,29,2
Stephen A Cozen,,,,,,,,,,0,64,63,65,60,60,64,61,41,28,2
Raye E Johnson,,,,,,,,,,,0,63,63,58,61,63,60,40,27,2
Eleanor M Dezzi,,,,,,,,,,,,0,61,58,63,62,60,41,26,2
Joseph C Meade,,,,,,,,,,,,,0,57,60,61,58,41,25,2
Michelle W Singer,,,,,,,,,,,,,,0,56,56,58,35,29,2
Heather Steinmiller,,,,,,,,,,,,,,,0,59,58,38,24,2
William S Leopold,,,,,,,,,,,,,,,,0,59,38,26,2
Nancy Astor Fox,,,,,,,,,,,,,,,,,0,36,26,2
Pamela A Delissio,,,,,,,,,,,,,,,,,,14,0,2
Ray Bailey,,,,,,,,,,,,,,,,,,,17,2
Total,107,107,98,97,86,85,78,72,72,71,70,69,68,67,65,65,64,81,64,2
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,Representative In The General Assembly 194th District - Democrat,,3
