col_1,col_2,col_3,col_4,col_5,division
,United States Senator - Democrat,,Attorney General - Democrat,,All
,Bob Casey Jr,Joseph John Vodvarka,Patrick Murphy,Kathleen G Kane,All
Bob Casey Jr,140,0,"1,497",487,All
Joseph John Vodvarka,,17,130,318,All
Patrick Murphy,,,57,0,All
Kathleen G Kane,,,,50,All
Total,"2,124",465,"1,684",855,All
,United States Senator - Democrat,,Attorney General - Democrat,,1
,Bob Casey Jr,Joseph John Vodvarka,Patrick Murphy,Kathleen G Kane,1
Bob Casey Jr,2,0,62,9,1
Joseph John Vodvarka,,0,5,3,1
Patrick Murphy,,,4,0,1
Kathleen G Kane,,,,0,1
Total,73,8,71,12,1
,United States Senator - Democrat,,Attorney General - Democrat,,2
,Bob Casey Jr,Joseph John Vodvarka,Patrick Murphy,Kathleen G Kane,2
Bob Casey Jr,14,0,102,40,2
Joseph John Vodvarka,,1,10,15,2
Patrick Murphy,,,4,0,2
Kathleen G Kane,,,,2,2
Total,156,26,116,57,2
,United States Senator - Democrat,,Attorney General - Democrat,,3
,Bob Casey Jr,Joseph John Vodvarka,Patrick Murphy,Kathleen G Kane,3
Bob Casey Jr,12,0,53,11,3
Joseph John Vodvarka,,1,1,11,3
Patrick Murphy,,,2,0,3
Kathleen G Kane,,,,5,3
Total,76,13,56,27,3
,United States Senator - Democrat,,Attorney General - Democrat,,4
,Bob Casey Jr,Joseph John Vodvarka,Patrick Murphy,Kathleen G Kane,4
Bob Casey Jr,2,0,46,11,4
Joseph John Vodvarka,,0,4,11,4
Patrick Murphy,,,3,0,4
Kathleen G Kane,,,,4,4
Total,59,15,53,26,4
,United States Senator - Democrat,,Attorney General - Democrat,,5
,Bob Casey Jr,Joseph John Vodvarka,Patrick Murphy,Kathleen G Kane,5
Bob Casey Jr,6,0,52,21,5
Joseph John Vodvarka,,1,3,18,5
Patrick Murphy,,,1,0,5
Kathleen G Kane,,,,0,5
Total,79,22,56,39,5
,United States Senator - Democrat,,Attorney General - Democrat,,6
,Bob Casey Jr,Joseph John Vodvarka,Patrick Murphy,Kathleen G Kane,6
Bob Casey Jr,6,0,68,21,6
Joseph John Vodvarka,,1,4,21,6
Patrick Murphy,,,3,0,6
Kathleen G Kane,,,,2,6
Total,95,26,75,44,6
,United States Senator - Democrat,,Attorney General - Democrat,,7
,Bob Casey Jr,Joseph John Vodvarka,Patrick Murphy,Kathleen G Kane,7
Bob Casey Jr,6,0,52,42,7
Joseph John Vodvarka,,0,3,12,7
Patrick Murphy,,,1,0,7
Kathleen G Kane,,,,0,7
Total,100,15,56,54,7
,United States Senator - Democrat,,Attorney General - Democrat,,8
,Bob Casey Jr,Joseph John Vodvarka,Patrick Murphy,Kathleen G Kane,8
Bob Casey Jr,3,0,54,17,8
Joseph John Vodvarka,,0,2,4,8
Patrick Murphy,,,3,0,8
Kathleen G Kane,,,,1,8
Total,74,6,59,22,8
,United States Senator - Democrat,,Attorney General - Democrat,,9
,Bob Casey Jr,Joseph John Vodvarka,Patrick Murphy,Kathleen G Kane,9
Bob Casey Jr,5,0,76,49,9
Joseph John Vodvarka,,1,11,14,9
Patrick Murphy,,,1,0,9
Kathleen G Kane,,,,3,9
Total,130,26,88,66,9
,United States Senator - Democrat,,Attorney General - Democrat,,10
,Bob Casey Jr,Joseph John Vodvarka,Patrick Murphy,Kathleen G Kane,10
Bob Casey Jr,8,0,64,22,10
Joseph John Vodvarka,,1,4,14,10
Patrick Murphy,,,2,0,10
Kathleen G Kane,,,,0,10
Total,94,19,70,36,10
,United States Senator - Democrat,,Attorney General - Democrat,,11
,Bob Casey Jr,Joseph John Vodvarka,Patrick Murphy,Kathleen G Kane,11
Bob Casey Jr,7,0,102,26,11
Joseph John Vodvarka,,0,7,24,11
Patrick Murphy,,,3,0,11
Kathleen G Kane,,,,5,11
Total,135,31,112,55,11
,United States Senator - Democrat,,Attorney General - Democrat,,12
,Bob Casey Jr,Joseph John Vodvarka,Patrick Murphy,Kathleen G Kane,12
Bob Casey Jr,4,0,66,12,12
Joseph John Vodvarka,,2,5,3,12
Patrick Murphy,,,1,0,12
Kathleen G Kane,,,,3,12
Total,82,10,72,18,12
,United States Senator - Democrat,,Attorney General - Democrat,,13
,Bob Casey Jr,Joseph John Vodvarka,Patrick Murphy,Kathleen G Kane,13
Bob Casey Jr,4,0,43,19,13
Joseph John Vodvarka,,3,10,8,13
Patrick Murphy,,,1,0,13
Kathleen G Kane,,,,3,13
Total,66,21,54,30,13
,United States Senator - Democrat,,Attorney General - Democrat,,14
,Bob Casey Jr,Joseph John Vodvarka,Patrick Murphy,Kathleen G Kane,14
Bob Casey Jr,5,0,70,20,14
Joseph John Vodvarka,,0,3,22,14
Patrick Murphy,,,3,0,14
Kathleen G Kane,,,,1,14
Total,95,25,76,43,14
,United States Senator - Democrat,,Attorney General - Democrat,,15
,Bob Casey Jr,Joseph John Vodvarka,Patrick Murphy,Kathleen G Kane,15
Bob Casey Jr,4,0,66,18,15
Joseph John Vodvarka,,0,7,10,15
Patrick Murphy,,,3,0,15
Kathleen G Kane,,,,3,15
Total,88,17,76,31,15
,United States Senator - Democrat,,Attorney General - Democrat,,16
,Bob Casey Jr,Joseph John Vodvarka,Patrick Murphy,Kathleen G Kane,16
Bob Casey Jr,5,0,41,21,16
Joseph John Vodvarka,,1,6,11,16
Patrick Murphy,,,9,0,16
Kathleen G Kane,,,,3,16
Total,67,18,56,35,16
,United States Senator - Democrat,,Attorney General - Democrat,,17
,Bob Casey Jr,Joseph John Vodvarka,Patrick Murphy,Kathleen G Kane,17
