col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,Auditor General - Republican,,Delegate To The Republican National Convention 1st District,,,,,,All
,John Maher,Frank A Pinto,Christopher M Vogler,Michael W Untermeyer,Tom Boggia,Dale Kerns,Marion S Taxin,Frederick W Anton,All
John Maher,40,0,11,8,7,6,6,5,All
Frank A Pinto,,28,4,5,4,2,1,0,All
Christopher M Vogler,,,0,6,7,3,6,3,All
Michael W Untermeyer,,,,0,6,6,3,3,All
Tom Boggia,,,,,0,4,4,1,All
Dale Kerns,,,,,,0,0,2,All
Marion S Taxin,,,,,,,0,1,All
Frederick W Anton,,,,,,,,0,All
Total,58,34,16,13,12,8,8,5,All
,Auditor General - Republican,,Delegate To The Republican National Convention 1st District,,,,,,1
,Frank A Pinto,John Maher,Christopher M Vogler,Dale Kerns,Frederick W Anton,Marion S Taxin,Michael W Untermeyer,Tom Boggia,1
Frank A Pinto,4,0,0,0,0,0,0,0,1
John Maher,,4,0,0,0,0,0,0,1
Christopher M Vogler,,,0,0,0,0,0,0,1
Dale Kerns,,,,0,0,0,0,0,1
Frederick W Anton,,,,,0,0,0,0,1
Marion S Taxin,,,,,,0,0,0,1
Michael W Untermeyer,,,,,,,0,0,1
Tom Boggia,,,,,,,,0,1
Total,4,4,0,0,0,0,0,0,1
,Auditor General - Republican,,Delegate To The Republican National Convention 1st District,,,,,,2
,John Maher,Frank A Pinto,Christopher M Vogler,Dale Kerns,Frederick W Anton,Marion S Taxin,Michael W Untermeyer,Tom Boggia,2
John Maher,2,0,0,0,0,0,0,0,2
Frank A Pinto,,0,0,0,0,0,0,0,2
Christopher M Vogler,,,0,0,0,0,0,0,2
Dale Kerns,,,,0,0,0,0,0,2
Frederick W Anton,,,,,0,0,0,0,2
Marion S Taxin,,,,,,0,0,0,2
Michael W Untermeyer,,,,,,,0,0,2
Tom Boggia,,,,,,,,0,2
Total,2,0,0,0,0,0,0,0,2
,Auditor General - Republican,,Delegate To The Republican National Convention 1st District,,,,,,4
,Frank A Pinto,John Maher,Christopher M Vogler,Dale Kerns,Frederick W Anton,Marion S Taxin,Michael W Untermeyer,Tom Boggia,4
Frank A Pinto,1,0,0,0,0,0,0,0,4
John Maher,,1,0,0,0,0,0,0,4
Christopher M Vogler,,,0,0,0,0,0,0,4
Dale Kerns,,,,0,0,0,0,0,4
Frederick W Anton,,,,,0,0,0,0,4
Marion S Taxin,,,,,,0,0,0,4
Michael W Untermeyer,,,,,,,0,0,4
Tom Boggia,,,,,,,,0,4
Total,1,1,0,0,0,0,0,0,4
,Auditor General - Republican,,Delegate To The Republican National Convention 1st District,,,,,,5
,Frank A Pinto,John Maher,Christopher M Vogler,Dale Kerns,Frederick W Anton,Marion S Taxin,Michael W Untermeyer,Tom Boggia,5
Frank A Pinto,2,0,0,0,0,0,0,0,5
John Maher,,2,0,0,0,0,0,0,5
Christopher M Vogler,,,0,0,0,0,0,0,5
Dale Kerns,,,,0,0,0,0,0,5
Frederick W Anton,,,,,0,0,0,0,5
Marion S Taxin,,,,,,0,0,0,5
Michael W Untermeyer,,,,,,,0,0,5
Tom Boggia,,,,,,,,0,5
Total,2,2,0,0,0,0,0,0,5
,Auditor General - Republican,,Delegate To The Republican National Convention 1st District,,,,,,6
,John Maher,Frank A Pinto,Christopher M Vogler,Dale Kerns,Frederick W Anton,Marion S Taxin,Michael W Untermeyer,Tom Boggia,6
John Maher,6,0,0,0,0,0,0,0,6
Frank A Pinto,,1,0,0,0,0,0,0,6
Christopher M Vogler,,,0,0,0,0,0,0,6
Dale Kerns,,,,0,0,0,0,0,6
Frederick W Anton,,,,,0,0,0,0,6
Marion S Taxin,,,,,,0,0,0,6
Michael W Untermeyer,,,,,,,0,0,6
Tom Boggia,,,,,,,,0,6
Total,6,1,0,0,0,0,0,0,6
,Auditor General - Republican,,Delegate To The Republican National Convention 1st District,,,,,,7
,Frank A Pinto,John Maher,Christopher M Vogler,Dale Kerns,Frederick W Anton,Marion S Taxin,Michael W Untermeyer,Tom Boggia,7
Frank A Pinto,1,0,0,0,0,0,0,0,7
John Maher,,0,0,0,0,0,0,0,7
Christopher M Vogler,,,0,0,0,0,0,0,7
Dale Kerns,,,,0,0,0,0,0,7
Frederick W Anton,,,,,0,0,0,0,7
Marion S Taxin,,,,,,0,0,0,7
Michael W Untermeyer,,,,,,,0,0,7
Tom Boggia,,,,,,,,0,7
Total,1,0,0,0,0,0,0,0,7
,Auditor General - Republican,,Delegate To The Republican National Convention 1st District,,,,,,8
,Frank A Pinto,John Maher,Christopher M Vogler,Dale Kerns,Frederick W Anton,Marion S Taxin,Michael W Untermeyer,Tom Boggia,8
Frank A Pinto,1,0,0,0,0,0,0,0,8
John Maher,,0,0,0,0,0,0,0,8
Christopher M Vogler,,,0,0,0,0,0,0,8
Dale Kerns,,,,0,0,0,0,0,8
Frederick W Anton,,,,,0,0,0,0,8
Marion S Taxin,,,,,,0,0,0,8
Michael W Untermeyer,,,,,,,0,0,8
Tom Boggia,,,,,,,,0,8
Total,1,0,0,0,0,0,0,0,8
,Auditor General - Republican,,Delegate To The Republican National Convention 1st District,,,,,,9
,Frank A Pinto,John Maher,Christopher M Vogler,Dale Kerns,Frederick W Anton,Marion S Taxin,Michael W Untermeyer,Tom Boggia,9
Frank A Pinto,7,0,0,0,0,0,0,0,9
John Maher,,5,0,0,0,0,0,0,9
Christopher M Vogler,,,0,0,0,0,0,0,9
Dale Kerns,,,,0,0,0,0,0,9
Frederick W Anton,,,,,0,0,0,0,9
Marion S Taxin,,,,,,0,0,0,9
Michael W Untermeyer,,,,,,,0,0,9
Tom Boggia,,,,,,,,0,9
Total,7,5,0,0,0,0,0,0,9
,Auditor General - Republican,,Delegate To The Republican National Convention 1st District,,,,,,10
,John Maher,Frank A Pinto,Christopher M Vogler,Dale Kerns,Frederick W Anton,Marion S Taxin,Michael W Untermeyer,Tom Boggia,10
John Maher,6,0,0,0,0,0,0,0,10
Frank A Pinto,,2,0,0,0,0,0,0,10
Christopher M Vogler,,,0,0,0,0,0,0,10
Dale Kerns,,,,0,0,0,0,0,10
Frederick W Anton,,,,,0,0,0,0,10
Marion S Taxin,,,,,,0,0,0,10
Michael W Untermeyer,,,,,,,0,0,10
Tom Boggia,,,,,,,,0,10
Total,6,2,0,0,0,0,0,0,10
,Auditor General - Republican,,Delegate To The Republican National Convention 1st District,,,,,,11
,Frank A Pinto,John Maher,Christopher M Vogler,Dale Kerns,Frederick W Anton,Marion S Taxin,Michael W Untermeyer,Tom Boggia,11
Frank A Pinto,1,0,0,0,0,0,0,0,11
John Maher,,0,0,0,0,0,0,0,11
Christopher M Vogler,,,0,0,0,0,0,0,11
Dale Kerns,,,,0,0,0,0,0,11
Frederick W Anton,,,,,0,0,0,0,11
Marion S Taxin,,,,,,0,0,0,11
Michael W Untermeyer,,,,,,,0,0,11
Tom Boggia,,,,,,,,0,11
Total,1,0,0,0,0,0,0,0,11
,Auditor General - Republican,,Delegate To The Republican National Convention 1st District,,,,,,12
,John Maher,Frank A Pinto,Christopher M Vogler,Dale Kerns,Frederick W Anton,Marion S Taxin,Michael W Untermeyer,Tom Boggia,12
John Maher,1,0,0,0,0,0,0,0,12
Frank A Pinto,,0,0,0,0,0,0,0,12
Christopher M Vogler,,,0,0,0,0,0,0,12
Dale Kerns,,,,0,0,0,0,0,12
Frederick W Anton,,,,,0,0,0,0,12
Marion S Taxin,,,,,,0,0,0,12
Michael W Untermeyer,,,,,,,0,0,12
Tom Boggia,,,,,,,,0,12
Total,1,0,0,0,0,0,0,0,12
,Auditor General - Republican,,Delegate To The Republican National Convention 1st District,,,,,,13
,Frank A Pinto,John Maher,Christopher M Vogler,Dale Kerns,Frederick W Anton,Marion S Taxin,Michael W Untermeyer,Tom Boggia,13
Frank A Pinto,2,0,0,0,0,0,0,0,13
John Maher,,0,0,0,0,0,0,0,13
Christopher M Vogler,,,0,0,0,0,0,0,13
Dale Kerns,,,,0,0,0,0,0,13
Frederick W Anton,,,,,0,0,0,0,13
Marion S Taxin,,,,,,0,0,0,13
Michael W Untermeyer,,,,,,,0,0,13
Tom Boggia,,,,,,,,0,13
Total,2,0,0,0,0,0,0,0,13
,Delegate To The Republican National Convention 1st District,,,,,,Auditor General - Republican,,14
,Dale Kerns,Christopher M Vogler,Michael W Untermeyer,Tom Boggia,Frederick W Anton,Marion S Taxin,Frank A Pinto,John Maher,14
Dale Kerns,0,1,1,1,0,0,1,1,14
Christopher M Vogler,,0,0,0,0,0,0,1,14
Michael W Untermeyer,,,0,1,0,0,1,0,14
Tom Boggia,,,,0,0,0,1,0,14
Frederick W Anton,,,,,0,0,0,0,14
Marion S Taxin,,,,,,0,0,0,14
Frank A Pinto,,,,,,,0,0,14
John Maher,,,,,,,,0,14
Total,2,1,1,1,0,0,1,1,14
,Delegate To The Republican National Convention 1st District,,,,,,Auditor General - Republican,,15
,Christopher M Vogler,Tom Boggia,Michael W Untermeyer,Frederick W Anton,Marion S Taxin,Dale Kerns,John Maher,Frank A Pinto,15
Christopher M Vogler,0,4,3,2,2,1,3,3,15
Tom Boggia,,0,1,1,1,1,2,2,15
Michael W Untermeyer,,,0,1,1,0,1,2,15
Frederick W Anton,,,,0,0,0,2,0,15
Marion S Taxin,,,,,0,0,1,1,15
Dale Kerns,,,,,,0,0,1,15
John Maher,,,,,,,1,0,15
Frank A Pinto,,,,,,,,0,15
Total,6,4,3,2,2,1,4,3,15
,Auditor General - Republican,,Delegate To The Republican National Convention 1st District,,,,,,16
,John Maher,Frank A Pinto,Christopher M Vogler,Marion S Taxin,Michael W Untermeyer,Tom Boggia,Dale Kerns,Frederick W Anton,16
John Maher,0,0,2,2,2,1,0,0,16
Frank A Pinto,,0,0,0,0,0,0,0,16
Christopher M Vogler,,,0,1,1,0,0,0,16
Marion S Taxin,,,,0,2,1,0,0,16
Michael W Untermeyer,,,,,0,1,0,0,16
Tom Boggia,,,,,,0,0,0,16
Dale Kerns,,,,,,,0,0,16
Frederick W Anton,,,,,,,,0,16
Total,3,0,2,2,2,1,0,0,16
,Auditor General - Republican,,Delegate To The Republican National Convention 1st District,,,,,,17
,John Maher,Frank A Pinto,Christopher M Vogler,Dale Kerns,Frederick W Anton,Marion S Taxin,Michael W Untermeyer,Tom Boggia,17
John Maher,3,0,0,0,0,0,0,0,17
Frank A Pinto,,0,0,0,0,0,0,0,17
Christopher M Vogler,,,0,0,0,0,0,0,17
Dale Kerns,,,,0,0,0,0,0,17
Frederick W Anton,,,,,0,0,0,0,17
Marion S Taxin,,,,,,0,0,0,17
Michael W Untermeyer,,,,,,,0,0,17
Tom Boggia,,,,,,,,0,17
Total,3,0,0,0,0,0,0,0,17
,Auditor General - Republican,,Delegate To The Republican National Convention 1st District,,,,,,18
,John Maher,Frank A Pinto,Christopher M Vogler,Dale Kerns,Frederick W Anton,Marion S Taxin,Michael W Untermeyer,Tom Boggia,18
John Maher,5,0,0,0,0,0,0,0,18
Frank A Pinto,,2,0,0,0,0,0,0,18
Christopher M Vogler,,,0,0,0,0,0,0,18
Dale Kerns,,,,0,0,0,0,0,18
Frederick W Anton,,,,,0,0,0,0,18
Marion S Taxin,,,,,,0,0,0,18
Michael W Untermeyer,,,,,,,0,0,18
Tom Boggia,,,,,,,,0,18
Total,5,2,0,0,0,0,0,0,18
,Auditor General - Republican,,Delegate To The Republican National Convention 1st District,,,,,,19
,Frank A Pinto,John Maher,Michael W Untermeyer,Tom Boggia,Christopher M Vogler,Dale Kerns,Marion S Taxin,Frederick W Anton,19
Frank A Pinto,1,0,1,0,0,0,0,0,19
John Maher,,1,1,1,0,1,0,0,19
Michael W Untermeyer,,,0,1,0,1,0,0,19
Tom Boggia,,,,0,1,1,1,0,19
Christopher M Vogler,,,,,0,0,1,0,19
Dale Kerns,,,,,,0,0,0,19
Marion S Taxin,,,,,,,0,0,19
Frederick W Anton,,,,,,,,0,19
Total,2,2,2,2,1,1,1,0,19
,Auditor General - Republican,,Delegate To The Republican National Convention 1st District,,,,,,20
,John Maher,Frank A Pinto,Christopher M Vogler,Marion S Taxin,Tom Boggia,Frederick W Anton,Michael W Untermeyer,Dale Kerns,20
John Maher,1,0,3,3,1,1,0,0,20
Frank A Pinto,,0,1,0,1,0,1,0,20
Christopher M Vogler,,,0,2,2,1,1,0,20
Marion S Taxin,,,,0,1,1,0,0,20
Tom Boggia,,,,,0,0,1,0,20
Frederick W Anton,,,,,,0,0,0,20
Michael W Untermeyer,,,,,,,0,0,20
Dale Kerns,,,,,,,,0,20
Total,5,1,4,3,2,1,1,0,20
,Auditor General - Republican,,Delegate To The Republican National Convention 1st District,,,,,,21
,John Maher,Frank A Pinto,Dale Kerns,Michael W Untermeyer,Christopher M Vogler,Frederick W Anton,Tom Boggia,Marion S Taxin,21
John Maher,0,0,4,4,2,2,2,0,21
Frank A Pinto,,0,0,0,0,0,0,0,21
Dale Kerns,,,0,4,1,2,1,0,21
Michael W Untermeyer,,,,0,1,2,1,0,21
Christopher M Vogler,,,,,0,0,0,0,21
Frederick W Anton,,,,,,0,0,0,21
Tom Boggia,,,,,,,0,0,21
Marion S Taxin,,,,,,,,0,21
Total,6,0,4,4,2,2,2,0,21
,Auditor General - Republican,,Delegate To The Republican National Convention 1st District,,,,,,22
,Frank A Pinto,John Maher,Christopher M Vogler,Dale Kerns,Frederick W Anton,Marion S Taxin,Michael W Untermeyer,Tom Boggia,22
Frank A Pinto,3,0,0,0,0,0,0,0,22
John Maher,,2,0,0,0,0,0,0,22
Christopher M Vogler,,,0,0,0,0,0,0,22
Dale Kerns,,,,0,0,0,0,0,22
Frederick W Anton,,,,,0,0,0,0,22
Marion S Taxin,,,,,,0,0,0,22
Michael W Untermeyer,,,,,,,0,0,22
Tom Boggia,,,,,,,,0,22
Total,3,2,0,0,0,0,0,0,22
