col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,division
,United States Senator - Democrat,,Representative In The General Assembly 197th District - Democrat,,,,,All
,Bob Casey Jr,Joseph John Vodvarka,J P Miranda,Jewel Williams,Kenneth T Walker Jr,Jamil M Ali,James K Johnson,All
Bob Casey Jr,89,0,652,379,255,44,0,All
Joseph John Vodvarka,,24,259,91,105,11,0,All
J P Miranda,,,46,0,0,0,0,All
Jewel Williams,,,,85,0,0,0,All
Kenneth T Walker Jr,,,,,30,0,0,All
Jamil M Ali,,,,,,6,0,All
James K Johnson,,,,,,,1,All
Total,"1,419",490,957,555,390,61,1,All
,Representative In The General Assembly 197th District - Democrat,,,,,United States Senator - Democrat,,1
,Jewel Williams,J P Miranda,Kenneth T Walker Jr,Jamil M Ali,James K Johnson,Bob Casey Jr,Joseph John Vodvarka,1
Jewel Williams,13,0,0,0,0,29,25,1
J P Miranda,,1,0,0,0,23,15,1
Kenneth T Walker Jr,,,1,0,0,4,1,1
Jamil M Ali,,,,0,0,1,0,1
James K Johnson,,,,,0,0,0,1
Bob Casey Jr,,,,,,2,0,1
Joseph John Vodvarka,,,,,,,1,1
Total,67,39,6,1,0,59,42,1
,United States Senator - Democrat,,Representative In The General Assembly 197th District - Democrat,,,,,2
,Bob Casey Jr,Joseph John Vodvarka,J P Miranda,Jewel Williams,Kenneth T Walker Jr,Jamil M Ali,James K Johnson,2
Bob Casey Jr,6,0,62,20,16,1,0,2
Joseph John Vodvarka,,2,26,5,11,0,0,2
J P Miranda,,,3,0,0,0,0,2
Jewel Williams,,,,4,0,0,0,2
Kenneth T Walker Jr,,,,,2,0,0,2
Jamil M Ali,,,,,,0,0,2
James K Johnson,,,,,,,0,2
Total,105,44,91,29,29,1,0,2
,United States Senator - Democrat,,Representative In The General Assembly 197th District - Democrat,,,,,3
,Bob Casey Jr,Joseph John Vodvarka,J P Miranda,Jewel Williams,Kenneth T Walker Jr,Jamil M Ali,James K Johnson,3
Bob Casey Jr,4,0,45,28,15,1,0,3
Joseph John Vodvarka,,0,27,9,11,0,0,3
J P Miranda,,,6,0,0,0,0,3
Jewel Williams,,,,13,0,0,0,3
Kenneth T Walker Jr,,,,,2,0,0,3
Jamil M Ali,,,,,,0,0,3
James K Johnson,,,,,,,0,3
Total,93,47,78,50,28,1,0,3
,United States Senator - Democrat,,Representative In The General Assembly 197th District - Democrat,,,,,4
,Bob Casey Jr,Joseph John Vodvarka,J P Miranda,Jewel Williams,Kenneth T Walker Jr,Jamil M Ali,James K Johnson,4
Bob Casey Jr,3,0,52,25,20,1,0,4
Joseph John Vodvarka,,0,13,3,3,1,0,4
J P Miranda,,,1,0,0,0,0,4
Jewel Williams,,,,10,0,0,0,4
Kenneth T Walker Jr,,,,,1,0,0,4
Jamil M Ali,,,,,,0,0,4
James K Johnson,,,,,,,1,4
Total,101,20,66,38,24,2,1,4
,Representative In The General Assembly 197th District - Democrat,,,,,United States Senator - Democrat,,5
,J P Miranda,Jewel Williams,Kenneth T Walker Jr,Jamil M Ali,James K Johnson,Joseph John Vodvarka,Bob Casey Jr,5
J P Miranda,10,0,0,0,0,43,22,5
Jewel Williams,,9,0,0,0,6,8,5
Kenneth T Walker Jr,,,1,0,0,2,10,5
Jamil M Ali,,,,1,0,0,0,5
James K Johnson,,,,,0,0,0,5
Joseph John Vodvarka,,,,,,2,0,5
Bob Casey Jr,,,,,,,4,5
Total,75,23,13,1,0,53,44,5
,United States Senator - Democrat,,Representative In The General Assembly 197th District - Democrat,,,,,6
,Bob Casey Jr,Joseph John Vodvarka,J P Miranda,Jewel Williams,Kenneth T Walker Jr,Jamil M Ali,James K Johnson,6
Bob Casey Jr,3,0,66,36,7,2,0,6
Joseph John Vodvarka,,2,18,16,2,1,0,6
J P Miranda,,,6,0,0,0,0,6
Jewel Williams,,,,4,0,0,0,6
Kenneth T Walker Jr,,,,,5,0,0,6
Jamil M Ali,,,,,,1,0,6
James K Johnson,,,,,,,0,6
Total,114,39,90,56,14,4,0,6
,United States Senator - Democrat,,Representative In The General Assembly 197th District - Democrat,,,,,7
,Bob Casey Jr,Joseph John Vodvarka,J P Miranda,Jewel Williams,Kenneth T Walker Jr,Jamil M Ali,James K Johnson,7
Bob Casey Jr,2,0,108,17,12,1,0,7
Joseph John Vodvarka,,0,25,2,5,0,0,7
J P Miranda,,,2,0,0,0,0,7
Jewel Williams,,,,3,0,0,0,7
Kenneth T Walker Jr,,,,,0,0,0,7
Jamil M Ali,,,,,,1,0,7
James K Johnson,,,,,,,0,7
Total,140,32,135,22,17,2,0,7
,Representative In The General Assembly 197th District - Democrat,,,,,United States Senator - Democrat,,8
,J P Miranda,Jewel Williams,Kenneth T Walker Jr,Jamil M Ali,James K Johnson,Bob Casey Jr,Joseph John Vodvarka,8
J P Miranda,4,0,0,0,0,69,35,8
Jewel Williams,,5,0,0,0,13,1,8
Kenneth T Walker Jr,,,1,0,0,11,6,8
Jamil M Ali,,,,1,0,3,1,8
James K Johnson,,,,,0,0,0,8
Bob Casey Jr,,,,,,3,0,8
Joseph John Vodvarka,,,,,,,0,8
Total,108,19,18,5,0,99,43,8
,United States Senator - Democrat,,Representative In The General Assembly 197th District - Democrat,,,,,11
,Bob Casey Jr,Joseph John Vodvarka,J P Miranda,Jewel Williams,Kenneth T Walker Jr,Jamil M Ali,James K Johnson,11
Bob Casey Jr,13,0,29,27,15,3,0,11
Joseph John Vodvarka,,2,6,1,3,0,0,11
J P Miranda,,,1,0,0,0,0,11
Jewel Williams,,,,0,0,0,0,11
Kenneth T Walker Jr,,,,,1,0,0,11
Jamil M Ali,,,,,,0,0,11
James K Johnson,,,,,,,0,11
Total,87,12,36,28,19,3,0,11
,United States Senator - Democrat,,Representative In The General Assembly 197th District - Democrat,,,,,12
,Bob Casey Jr,Joseph John Vodvarka,Jewel Williams,Kenneth T Walker Jr,J P Miranda,James K Johnson,Jamil M Ali,12
Bob Casey Jr,8,0,16,8,10,0,0,12
Joseph John Vodvarka,,2,2,7,4,0,0,12
Jewel Williams,,,2,0,0,0,0,12
Kenneth T Walker Jr,,,,1,0,0,0,12
J P Miranda,,,,,0,0,0,12
James K Johnson,,,,,,0,0,12
Jamil M Ali,,,,,,,0,12
Total,42,15,20,16,14,0,0,12
,United States Senator - Democrat,,Representative In The General Assembly 197th District - Democrat,,,,,13
,Bob Casey Jr,Joseph John Vodvarka,J P Miranda,Jewel Williams,Kenneth T Walker Jr,Jamil M Ali,James K Johnson,13
Bob Casey Jr,8,0,30,32,26,5,0,13
Joseph John Vodvarka,,2,3,0,3,3,0,13
J P Miranda,,,2,0,0,0,0,13
Jewel Williams,,,,2,0,0,0,13
Kenneth T Walker Jr,,,,,2,0,0,13
Jamil M Ali,,,,,,0,0,13
James K Johnson,,,,,,,0,13
Total,101,11,35,34,31,8,0,13
,United States Senator - Democrat,,Representative In The General Assembly 197th District - Democrat,,,,,14
,Bob Casey Jr,Joseph John Vodvarka,J P Miranda,Jewel Williams,Kenneth T Walker Jr,Jamil M Ali,James K Johnson,14
Bob Casey Jr,3,0,14,13,8,4,0,14
Joseph John Vodvarka,,0,4,3,2,1,0,14
J P Miranda,,,2,0,0,0,0,14
Jewel Williams,,,,2,0,0,0,14
Kenneth T Walker Jr,,,,,1,0,0,14
Jamil M Ali,,,,,,0,0,14
James K Johnson,,,,,,,0,14
Total,42,10,20,18,11,5,0,14
,United States Senator - Democrat,,Representative In The General Assembly 197th District - Democrat,,,,,15
,Bob Casey Jr,Joseph John Vodvarka,J P Miranda,Jewel Williams,Kenneth T Walker Jr,Jamil M Ali,James K Johnson,15
Bob Casey Jr,3,0,14,13,11,3,0,15
Joseph John Vodvarka,,1,4,4,6,1,0,15
J P Miranda,,,1,0,0,0,0,15
Jewel Williams,,,,2,0,0,0,15
Kenneth T Walker Jr,,,,,2,0,0,15
Jamil M Ali,,,,,,0,0,15
James K Johnson,,,,,,,0,15
Total,44,16,19,19,19,4,0,15
,United States Senator - Democrat,,Representative In The General Assembly 197th District - Democrat,,,,,16
