col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,Justice Of The Supreme Court - Democrat,,,,,,All
,Kevin M Dougherty,David Wecht,Christine Donohue,Anne E Lazarus,Dwayne D Woodruff,John Henry Foradora,All
Kevin M Dougherty,748,560,479,627,176,126,All
David Wecht,,397,333,387,76,71,All
Christine Donohue,,,257,371,80,59,All
Anne E Lazarus,,,,103,83,93,All
Dwayne D Woodruff,,,,,42,31,All
John Henry Foradora,,,,,,9,All
Total,"1,940","1,263","1,012",959,287,226,All
,Justice Of The Supreme Court - Democrat,,,,,,1
,Kevin M Dougherty,David Wecht,Christine Donohue,Anne E Lazarus,Dwayne D Woodruff,John Henry Foradora,1
Kevin M Dougherty,17,20,23,18,5,2,1
David Wecht,,14,17,18,1,1,1
Christine Donohue,,,5,18,3,2,1
Anne E Lazarus,,,,2,0,1,1
Dwayne D Woodruff,,,,,2,0,1
John Henry Foradora,,,,,,0,1
Total,56,46,40,32,7,3,1
,Justice Of The Supreme Court - Democrat,,,,,,2
,Kevin M Dougherty,David Wecht,Anne E Lazarus,Christine Donohue,Dwayne D Woodruff,John Henry Foradora,2
Kevin M Dougherty,19,32,28,19,9,3,2
David Wecht,,13,21,10,4,3,2
Anne E Lazarus,,,1,15,3,6,2
Christine Donohue,,,,6,3,1,2
Dwayne D Woodruff,,,,,1,1,2
John Henry Foradora,,,,,,1,2
Total,74,53,41,33,12,9,2
,Justice Of The Supreme Court - Democrat,,,,,,3
,Kevin M Dougherty,David Wecht,Anne E Lazarus,Christine Donohue,Dwayne D Woodruff,John Henry Foradora,3
Kevin M Dougherty,22,20,12,7,7,3,3
David Wecht,,20,5,7,2,2,3
Anne E Lazarus,,,4,3,3,3,3
Christine Donohue,,,,6,0,0,3
Dwayne D Woodruff,,,,,0,1,3
John Henry Foradora,,,,,,0,3
Total,55,46,18,17,7,5,3
,Justice Of The Supreme Court - Democrat,,,,,,4
,Kevin M Dougherty,David Wecht,Christine Donohue,Anne E Lazarus,John Henry Foradora,Dwayne D Woodruff,4
Kevin M Dougherty,21,23,22,25,5,4,4
David Wecht,,12,7,8,1,1,4
Christine Donohue,,,6,11,3,0,4
Anne E Lazarus,,,,4,1,2,4
John Henry Foradora,,,,,0,2,4
Dwayne D Woodruff,,,,,,0,4
Total,72,38,31,30,7,5,4
,Justice Of The Supreme Court - Democrat,,,,,,5
,Kevin M Dougherty,David Wecht,Christine Donohue,Anne E Lazarus,John Henry Foradora,Dwayne D Woodruff,5
Kevin M Dougherty,29,11,15,18,2,4,5
David Wecht,,9,11,14,6,2,5
Christine Donohue,,,9,9,3,5,5
Anne E Lazarus,,,,4,4,3,5
John Henry Foradora,,,,,0,0,5
Dwayne D Woodruff,,,,,,0,5
Total,61,37,36,32,8,7,5
,Justice Of The Supreme Court - Democrat,,,,,,6
,Anne E Lazarus,Kevin M Dougherty,David Wecht,Christine Donohue,John Henry Foradora,Dwayne D Woodruff,6
Anne E Lazarus,10,54,45,30,19,8,6
Kevin M Dougherty,,18,26,23,10,11,6
David Wecht,,,3,18,14,2,6
Christine Donohue,,,,5,3,5,6
John Henry Foradora,,,,,0,2,6
Dwayne D Woodruff,,,,,,1,6
Total,99,89,62,47,25,15,6
,Justice Of The Supreme Court - Democrat,,,,,,7
,Kevin M Dougherty,David Wecht,Christine Donohue,Anne E Lazarus,Dwayne D Woodruff,John Henry Foradora,7
Kevin M Dougherty,17,11,17,11,6,1,7
David Wecht,,18,14,8,2,5,7
Christine Donohue,,,6,12,4,2,7
Anne E Lazarus,,,,2,3,5,7
Dwayne D Woodruff,,,,,1,2,7
John Henry Foradora,,,,,,0,7
Total,45,43,34,23,10,8,7
,Justice Of The Supreme Court - Democrat,,,,,,8
,Kevin M Dougherty,Anne E Lazarus,David Wecht,Christine Donohue,Dwayne D Woodruff,John Henry Foradora,8
Kevin M Dougherty,29,21,16,8,4,3,8
Anne E Lazarus,,7,8,7,1,0,8
David Wecht,,,11,3,1,0,8
Christine Donohue,,,,9,3,1,8
Dwayne D Woodruff,,,,,0,1,8
John Henry Foradora,,,,,,1,8
Total,64,30,30,23,5,5,8
,Justice Of The Supreme Court - Democrat,,,,,,9
,Kevin M Dougherty,David Wecht,Christine Donohue,Anne E Lazarus,Dwayne D Woodruff,John Henry Foradora,9
Kevin M Dougherty,32,28,12,25,4,4,9
David Wecht,,14,11,12,2,1,9
Christine Donohue,,,10,13,0,0,9
Anne E Lazarus,,,,0,2,3,9
Dwayne D Woodruff,,,,,1,0,9
John Henry Foradora,,,,,,1,9
Total,76,49,31,30,5,5,9
,Justice Of The Supreme Court - Democrat,,,,,,10
,Kevin M Dougherty,David Wecht,Christine Donohue,Anne E Lazarus,Dwayne D Woodruff,John Henry Foradora,10
Kevin M Dougherty,24,10,10,14,1,2,10
David Wecht,,20,4,4,0,0,10
Christine Donohue,,,12,10,2,0,10
Anne E Lazarus,,,,3,1,1,10
Dwayne D Woodruff,,,,,0,0,10
John Henry Foradora,,,,,,0,10
Total,46,32,27,20,2,2,10
,Justice Of The Supreme Court - Democrat,,,,,,11
,Kevin M Dougherty,David Wecht,Christine Donohue,Anne E Lazarus,John Henry Foradora,Dwayne D Woodruff,11
Kevin M Dougherty,19,19,15,13,6,2,11
David Wecht,,16,15,6,0,3,11
Christine Donohue,,,11,5,1,1,11
Anne E Lazarus,,,,2,0,1,11
John Henry Foradora,,,,,0,0,11
Dwayne D Woodruff,,,,,,1,11
Total,55,44,34,16,6,5,11
,Justice Of The Supreme Court - Democrat,,,,,,12
,Kevin M Dougherty,David Wecht,Christine Donohue,Anne E Lazarus,Dwayne D Woodruff,John Henry Foradora,12
Kevin M Dougherty,35,23,20,22,7,5,12
David Wecht,,24,13,14,2,3,12
Christine Donohue,,,8,15,5,1,12
Anne E Lazarus,,,,3,2,2,12
Dwayne D Woodruff,,,,,2,1,12
John Henry Foradora,,,,,,1,12
Total,81,57,37,32,11,8,12
,Justice Of The Supreme Court - Democrat,,,,,,13
,Kevin M Dougherty,David Wecht,Anne E Lazarus,Christine Donohue,Dwayne D Woodruff,John Henry Foradora,13
Kevin M Dougherty,32,15,20,12,10,3,13
David Wecht,,14,10,7,1,0,13
Anne E Lazarus,,,7,9,4,3,13
Christine Donohue,,,,11,4,1,13
Dwayne D Woodruff,,,,,1,1,13
John Henry Foradora,,,,,,0,13
Total,72,35,33,31,15,4,13
,Justice Of The Supreme Court - Democrat,,,,,,14
,Kevin M Dougherty,Anne E Lazarus,Christine Donohue,David Wecht,Dwayne D Woodruff,John Henry Foradora,14
Kevin M Dougherty,36,45,25,18,9,7,14
Anne E Lazarus,,8,31,29,9,8,14
Christine Donohue,,,13,18,2,3,14
David Wecht,,,,9,4,6,14
Dwayne D Woodruff,,,,,1,2,14
John Henry Foradora,,,,,,0,14
Total,98,77,58,51,15,14,14
,Justice Of The Supreme Court - Democrat,,,,,,15
,Kevin M Dougherty,David Wecht,Anne E Lazarus,Christine Donohue,Dwayne D Woodruff,John Henry Foradora,15
Kevin M Dougherty,42,36,31,27,10,7,15
David Wecht,,17,20,24,7,3,15
Anne E Lazarus,,,7,19,3,4,15
Christine Donohue,,,,6,4,2,15
Dwayne D Woodruff,,,,,1,1,15
John Henry Foradora,,,,,,1,15
Total,106,70,49,49,14,11,15
,Justice Of The Supreme Court - Democrat,,,,,,16
,Kevin M Dougherty,David Wecht,Christine Donohue,Anne E Lazarus,Dwayne D Woodruff,John Henry Foradora,16
Kevin M Dougherty,40,25,13,23,10,4,16
David Wecht,,12,9,14,2,1,16
Christine Donohue,,,8,5,5,1,16
Anne E Lazarus,,,,0,2,2,16
Dwayne D Woodruff,,,,,2,0,16
John Henry Foradora,,,,,,0,16
Total,86,44,27,26,13,5,16
,Justice Of The Supreme Court - Democrat,,,,,,17
,Kevin M Dougherty,David Wecht,Dwayne D Woodruff,Christine Donohue,Anne E Lazarus,John Henry Foradora,17
Kevin M Dougherty,31,17,14,14,17,3,17
David Wecht,,19,14,8,5,2,17
Dwayne D Woodruff,,,16,6,5,2,17
Christine Donohue,,,,10,7,2,17
Anne E Lazarus,,,,,1,1,17
John Henry Foradora,,,,,,0,17
Total,71,49,41,32,20,5,17
,Justice Of The Supreme Court - Democrat,,,,,,18
,Kevin M Dougherty,David Wecht,Anne E Lazarus,Christine Donohue,John Henry Foradora,Dwayne D Woodruff,18
Kevin M Dougherty,37,23,33,20,3,3,18
David Wecht,,14,18,10,3,2,18
Anne E Lazarus,,,5,18,3,2,18
Christine Donohue,,,,16,4,0,18
John Henry Foradora,,,,,0,0,18
Dwayne D Woodruff,,,,,,0,18
Total,88,49,46,45,7,4,18
,Justice Of The Supreme Court - Democrat,,,,,,19
