col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,Judge Of The Superior Court - Democrat,,Justice Of The Supreme Court - Democrat,,,,,,1
,Alice Beck Dubow,Robert Colville,Kevin M Dougherty,Anne E Lazarus,David Wecht,Christine Donohue,John Henry Foradora,Dwayne D Woodruff,1
Alice Beck Dubow,1,0,60,48,36,32,21,11,1
Robert Colville,,0,5,5,5,6,3,3,1
Kevin M Dougherty,,,5,43,21,22,20,10,1
Anne E Lazarus,,,,2,14,17,22,6,1
David Wecht,,,,,0,9,9,1,1
Christine Donohue,,,,,,1,10,6,1
John Henry Foradora,,,,,,,3,1,1
Dwayne D Woodruff,,,,,,,,0,1
Total,97,13,83,65,42,40,37,15,1
,Justice Of The Supreme Court - Democrat,,,,,,Judge Of The Superior Court - Democrat,,2
,Kevin M Dougherty,Anne E Lazarus,David Wecht,Christine Donohue,John Henry Foradora,Dwayne D Woodruff,Alice Beck Dubow,Robert Colville,2
Kevin M Dougherty,9,53,18,16,28,7,64,3,2
Anne E Lazarus,,0,13,14,23,6,45,4,2
David Wecht,,,0,5,0,3,30,3,2
Christine Donohue,,,,4,2,4,21,5,2
John Henry Foradora,,,,,0,0,16,1,2
Dwayne D Woodruff,,,,,,1,9,1,2
Alice Beck Dubow,,,,,,,2,0,2
Robert Colville,,,,,,,,0,2
Total,96,64,34,32,31,11,91,8,2
,Justice Of The Supreme Court - Democrat,,,,,,Judge Of The Superior Court - Democrat,,3
,Kevin M Dougherty,Anne E Lazarus,John Henry Foradora,Christine Donohue,David Wecht,Dwayne D Woodruff,Alice Beck Dubow,Robert Colville,3
Kevin M Dougherty,14,67,43,23,28,10,86,8,3
Anne E Lazarus,,2,37,20,12,1,58,3,3
John Henry Foradora,,,2,5,2,2,22,2,3
Christine Donohue,,,,1,4,2,37,3,3
David Wecht,,,,,0,6,33,5,3
Dwayne D Woodruff,,,,,,0,9,2,3
Alice Beck Dubow,,,,,,,2,0,3
Robert Colville,,,,,,,,0,3
Total,135,82,50,42,40,11,121,12,3
,Judge Of The Superior Court - Democrat,,Justice Of The Supreme Court - Democrat,,,,,,4
,Alice Beck Dubow,Robert Colville,Kevin M Dougherty,David Wecht,Christine Donohue,Anne E Lazarus,John Henry Foradora,Dwayne D Woodruff,4
Alice Beck Dubow,5,0,59,65,33,30,9,4,4
Robert Colville,,0,3,2,2,0,2,0,4
Kevin M Dougherty,,,10,35,25,28,14,5,4
David Wecht,,,,8,22,10,4,1,4
Christine Donohue,,,,,5,11,4,0,4
Anne E Lazarus,,,,,,2,11,3,4
John Henry Foradora,,,,,,,0,0,4
Dwayne D Woodruff,,,,,,,,1,4
Total,107,6,86,80,44,39,20,6,4
,Judge Of The Superior Court - Democrat,,Justice Of The Supreme Court - Democrat,,,,,,5
,Alice Beck Dubow,Robert Colville,Kevin M Dougherty,Anne E Lazarus,Christine Donohue,David Wecht,John Henry Foradora,Dwayne D Woodruff,5
Alice Beck Dubow,3,0,66,38,38,30,10,6,5
Robert Colville,,0,8,6,8,4,2,4,5
Kevin M Dougherty,,,8,43,27,16,16,7,5
Anne E Lazarus,,,,1,19,8,9,3,5
Christine Donohue,,,,,3,8,1,6,5
David Wecht,,,,,,2,2,2,5
John Henry Foradora,,,,,,,3,1,5
Dwayne D Woodruff,,,,,,,,0,5
Total,106,14,93,52,50,38,22,10,5
,Judge Of The Superior Court - Democrat,,Justice Of The Supreme Court - Democrat,,,,,,6
,Alice Beck Dubow,Robert Colville,Kevin M Dougherty,Anne E Lazarus,Christine Donohue,David Wecht,John Henry Foradora,Dwayne D Woodruff,6
Alice Beck Dubow,0,0,63,55,41,36,14,12,6
Robert Colville,,0,2,1,1,2,1,0,6
Kevin M Dougherty,,,17,42,25,14,9,5,6
Anne E Lazarus,,,,0,22,10,13,9,6
Christine Donohue,,,,,5,10,2,2,6
David Wecht,,,,,,4,3,2,6
John Henry Foradora,,,,,,,0,3,6
Dwayne D Woodruff,,,,,,,,1,6
Total,108,5,85,58,49,43,16,15,6
,Judge Of The Superior Court - Democrat,,Justice Of The Supreme Court - Democrat,,,,,,7
,Alice Beck Dubow,Robert Colville,Kevin M Dougherty,Anne E Lazarus,Christine Donohue,David Wecht,John Henry Foradora,Dwayne D Woodruff,7
Alice Beck Dubow,3,0,62,50,50,28,11,13,7
Robert Colville,,0,7,3,4,12,4,3,7
Kevin M Dougherty,,,14,44,26,17,14,11,7
Anne E Lazarus,,,,3,26,17,11,9,7
Christine Donohue,,,,,5,9,4,5,7
David Wecht,,,,,,6,5,3,7
John Henry Foradora,,,,,,,1,1,7
Dwayne D Woodruff,,,,,,,,1,7
Total,105,21,95,64,62,50,22,20,7
,Justice Of The Supreme Court - Democrat,,,,,,Judge Of The Superior Court - Democrat,,8
,Kevin M Dougherty,David Wecht,Anne E Lazarus,Christine Donohue,Dwayne D Woodruff,John Henry Foradora,Alice Beck Dubow,Robert Colville,8
Kevin M Dougherty,22,25,34,19,4,4,62,5,8
David Wecht,,3,10,8,3,2,43,4,8
Anne E Lazarus,,,3,18,2,4,35,2,8
Christine Donohue,,,,2,3,2,28,5,8
Dwayne D Woodruff,,,,,4,0,6,0,8
John Henry Foradora,,,,,,0,3,1,8
Alice Beck Dubow,,,,,,,0,0,8
Robert Colville,,,,,,,,0,8
Total,94,50,44,37,10,8,91,10,8
,Judge Of The Superior Court - Democrat,,Justice Of The Supreme Court - Democrat,,,,,,9
,Alice Beck Dubow,Robert Colville,Kevin M Dougherty,Anne E Lazarus,David Wecht,Christine Donohue,John Henry Foradora,Dwayne D Woodruff,9
Alice Beck Dubow,1,0,65,42,33,28,25,8,9
Robert Colville,,0,3,2,6,4,0,1,9
Kevin M Dougherty,,,11,43,17,12,28,5,9
Anne E Lazarus,,,,0,13,11,24,7,9
David Wecht,,,,,5,12,2,2,9
Christine Donohue,,,,,,5,2,3,9
John Henry Foradora,,,,,,,1,0,9
Dwayne D Woodruff,,,,,,,,0,9
Total,98,12,92,54,49,39,32,10,9
,Justice Of The Supreme Court - Democrat,,,,,,Judge Of The Superior Court - Democrat,,10
,Kevin M Dougherty,Anne E Lazarus,John Henry Foradora,David Wecht,Christine Donohue,Dwayne D Woodruff,Alice Beck Dubow,Robert Colville,10
Kevin M Dougherty,18,67,44,23,17,7,73,8,10
Anne E Lazarus,,0,35,20,14,5,50,5,10
John Henry Foradora,,,0,5,5,3,16,5,10
David Wecht,,,,4,11,2,34,9,10
Christine Donohue,,,,,1,0,25,6,10
Dwayne D Woodruff,,,,,,0,8,1,10
Alice Beck Dubow,,,,,,,3,0,10
Robert Colville,,,,,,,,1,10
Total,133,83,50,49,33,9,103,17,10
,Justice Of The Supreme Court - Democrat,,,,,,Judge Of The Superior Court - Democrat,,11
,Kevin M Dougherty,David Wecht,Anne E Lazarus,Christine Donohue,Dwayne D Woodruff,John Henry Foradora,Alice Beck Dubow,Robert Colville,11
Kevin M Dougherty,43,20,26,14,5,8,45,3,11
David Wecht,,4,13,5,3,1,31,4,11
Anne E Lazarus,,,0,12,6,4,34,1,11
Christine Donohue,,,,0,5,4,32,3,11
Dwayne D Woodruff,,,,,3,1,9,0,11
John Henry Foradora,,,,,,0,7,1,11
Alice Beck Dubow,,,,,,,1,0,11
Robert Colville,,,,,,,,0,11
Total,99,42,37,35,14,11,81,8,11
,Justice Of The Supreme Court - Democrat,,,,,,Judge Of The Superior Court - Democrat,,12
,Kevin M Dougherty,Anne E Lazarus,Christine Donohue,David Wecht,John Henry Foradora,Dwayne D Woodruff,Alice Beck Dubow,Robert Colville,12
Kevin M Dougherty,21,75,41,33,34,8,98,10,12
Anne E Lazarus,,1,25,20,26,3,71,5,12
Christine Donohue,,,2,14,5,5,48,7,12
David Wecht,,,,0,1,3,44,2,12
John Henry Foradora,,,,,1,1,20,4,12
Dwayne D Woodruff,,,,,,0,9,1,12
Alice Beck Dubow,,,,,,,2,0,12
Robert Colville,,,,,,,,0,12
Total,145,87,58,48,38,11,129,14,12
,Judge Of The Superior Court - Democrat,,Justice Of The Supreme Court - Democrat,,,,,,13
