col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,division
,District Council 7th District - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Maria Quinones Sanchez,Manny Morales,Lyris Younge,Tracy B Roman,Ken Powell,Scott Diclaudio,Mia Roberts Perez,Kai Scott,Daine Grey Jr,Abbe Fletman,Chris Mallios,Michael Fanning,Stephanie M Sawyer,Vincent N Melchiorre,Jon Marshall,Leon Goodman,Lucretia Clemons,Rainy Papademetriou,Edward William Louden Jr,Lynne M Summers,James F Berardinelli,Jennifer Schultz,Shanese Johnson,Sherman Toppin,Deborah Watson Stokes,Sandjai Weaver,Tangie M Boston,Thomas Martin,Vince Giusini,Anthony Kyriakakis,Frances Fattah,Leon A King Ii,Marissa Brumbach,Vincent Furlong,Rania Major,Stella Tsai,Wayne M D Bennett,Betsy Wahl,Franklin A Bennett Iii,William J Ciancaglini,Brian T Ortelere,Chris Mccabe,Jodi Lobel,Starr Marshall Cash,Joshua Hill,All
Maria Quinones Sanchez,20,0,34,32,31,29,30,26,26,18,17,18,18,18,7,6,9,7,6,6,4,4,4,6,6,6,8,6,6,5,6,4,5,5,4,4,4,3,4,4,2,1,3,3,2,All
Manny Morales,,5,15,13,11,14,12,13,10,9,10,8,9,9,5,6,2,2,3,2,4,5,3,3,2,1,0,1,2,2,1,3,1,2,2,1,2,1,1,1,2,3,0,1,1,All
Lyris Younge,,,0,34,35,33,29,32,31,23,25,25,24,24,5,6,6,4,6,7,2,7,4,6,5,5,5,4,4,5,4,3,2,3,2,3,6,4,1,4,4,2,2,3,1,All
Tracy B Roman,,,,0,32,33,26,25,24,19,22,21,20,23,1,3,3,3,2,2,4,4,4,2,3,2,3,1,1,0,0,4,1,0,3,3,2,2,1,3,2,1,0,1,0,All
Ken Powell,,,,,0,32,28,25,27,21,21,23,20,25,3,4,4,2,6,2,4,6,1,4,3,1,2,3,2,2,2,3,1,5,3,1,4,1,2,3,2,1,1,1,1,All
Scott Diclaudio,,,,,,0,27,26,25,21,23,21,19,23,3,4,1,6,3,1,5,3,0,1,3,2,2,1,2,1,1,2,1,2,2,1,1,1,3,1,2,1,0,0,1,All
Mia Roberts Perez,,,,,,,0,29,27,21,23,23,21,24,2,3,4,6,4,3,3,3,2,3,3,3,5,1,2,2,2,3,1,2,4,2,4,1,3,3,1,2,0,3,2,All
Kai Scott,,,,,,,,0,27,23,27,24,24,24,3,5,4,5,2,5,3,5,4,4,7,6,4,2,3,3,5,4,2,1,3,5,2,2,4,3,1,3,1,2,3,All
Daine Grey Jr,,,,,,,,,0,24,21,21,18,22,3,4,2,4,5,3,4,7,2,4,5,3,3,1,5,2,3,3,2,4,1,4,5,2,1,4,3,1,1,2,1,All
Abbe Fletman,,,,,,,,,,0,20,17,15,19,5,2,0,1,2,0,3,4,1,2,2,3,4,2,1,4,1,0,1,1,1,2,4,2,2,2,2,2,0,1,2,All
Chris Mallios,,,,,,,,,,,0,23,20,23,2,1,0,2,1,0,2,1,0,2,3,1,1,1,1,1,1,1,1,0,0,1,1,2,1,1,1,2,0,1,1,All
Michael Fanning,,,,,,,,,,,,0,20,23,3,1,2,3,1,0,1,1,1,2,2,2,1,2,0,1,1,1,2,1,1,1,1,1,0,1,0,1,3,1,0,All
Stephanie M Sawyer,,,,,,,,,,,,,0,19,1,2,4,2,0,2,1,2,2,2,4,3,1,3,2,2,2,3,2,1,2,1,2,1,1,0,0,2,1,3,0,All
Vincent N Melchiorre,,,,,,,,,,,,,,0,1,1,0,2,2,0,3,1,1,1,1,1,2,0,1,1,0,2,1,1,2,1,2,1,1,2,0,1,0,0,1,All
Jon Marshall,,,,,,,,,,,,,,,0,4,4,4,2,1,2,2,1,3,1,2,2,6,0,5,2,0,3,1,1,0,1,1,2,0,3,1,3,0,1,All
Leon Goodman,,,,,,,,,,,,,,,,0,3,3,4,3,3,2,1,1,1,1,1,2,2,1,2,3,1,1,1,1,0,1,1,0,2,0,0,0,0,All
Lucretia Clemons,,,,,,,,,,,,,,,,,0,3,2,5,0,2,4,3,1,3,2,6,2,3,4,2,4,1,3,2,1,1,2,0,1,0,3,2,1,All
Rainy Papademetriou,,,,,,,,,,,,,,,,,,0,2,2,2,1,2,0,1,2,1,3,2,3,0,1,4,2,1,0,0,1,2,1,1,1,3,0,0,All
Edward William Louden Jr,,,,,,,,,,,,,,,,,,,0,2,2,2,0,1,0,0,0,0,4,0,1,0,1,2,0,0,1,1,1,0,1,0,0,0,0,All
Lynne M Summers,,,,,,,,,,,,,,,,,,,,0,0,2,4,3,1,3,2,2,2,1,4,2,0,1,2,2,1,3,2,0,1,0,0,1,1,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,1,2,1,3,3,1,1,1,3,0,2,2,1,2,1,1,0,0,2,1,1,1,0,0,1,All
Jennifer Schultz,,,,,,,,,,,,,,,,,,,,,,0,2,4,3,0,0,1,3,2,2,1,2,2,1,1,3,1,0,2,2,2,1,0,0,All
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,,0,2,2,5,2,1,1,1,2,3,2,0,2,4,1,1,1,2,0,1,1,2,1,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,0,5,1,3,3,1,2,5,1,0,2,1,0,2,1,1,2,2,2,1,2,1,All
