col_1,col_2,col_3,col_4,division
,Register Of Wills - Democrat,Judge Of The Commonwealth Court - Democrat,,All
,Ronald R Donatucci,Michael Wojcik,Todd Eagen,All
Ronald R Donatucci,253,546,572,All
Michael Wojcik,,125,0,All
Todd Eagen,,,85,All
Total,"1,371",671,657,All
,Register Of Wills - Democrat,Judge Of The Commonwealth Court - Democrat,,1
,Ronald R Donatucci,Michael Wojcik,Todd Eagen,1
Ronald R Donatucci,6,24,15,1
Michael Wojcik,,1,0,1
Todd Eagen,,,1,1
Total,45,25,16,1
,Register Of Wills - Democrat,Judge Of The Commonwealth Court - Democrat,,2
,Ronald R Donatucci,Todd Eagen,Michael Wojcik,2
Ronald R Donatucci,4,23,19,2
Todd Eagen,,6,0,2
Michael Wojcik,,,2,2
Total,46,29,21,2
,Register Of Wills - Democrat,Judge Of The Commonwealth Court - Democrat,,3
,Ronald R Donatucci,Michael Wojcik,Todd Eagen,3
Ronald R Donatucci,8,14,16,3
Michael Wojcik,,5,0,3
Todd Eagen,,,3,3
Total,38,19,19,3
,Register Of Wills - Democrat,Judge Of The Commonwealth Court - Democrat,,4
,Ronald R Donatucci,Todd Eagen,Michael Wojcik,4
Ronald R Donatucci,12,36,26,4
Todd Eagen,,8,0,4
Michael Wojcik,,,7,4
Total,74,44,33,4
,Register Of Wills - Democrat,Judge Of The Commonwealth Court - Democrat,,5
,Ronald R Donatucci,Todd Eagen,Michael Wojcik,5
Ronald R Donatucci,11,17,16,5
Todd Eagen,,4,0,5
Michael Wojcik,,,3,5
Total,44,21,19,5
,Register Of Wills - Democrat,Judge Of The Commonwealth Court - Democrat,,6
,Ronald R Donatucci,Todd Eagen,Michael Wojcik,6
Ronald R Donatucci,7,20,13,6
Todd Eagen,,4,0,6
Michael Wojcik,,,4,6
Total,40,24,17,6
,Register Of Wills - Democrat,Judge Of The Commonwealth Court - Democrat,,7
,Ronald R Donatucci,Michael Wojcik,Todd Eagen,7
Ronald R Donatucci,11,21,22,7
Michael Wojcik,,7,0,7
Todd Eagen,,,4,7
Total,54,28,26,7
,Register Of Wills - Democrat,Judge Of The Commonwealth Court - Democrat,,8
,Ronald R Donatucci,Michael Wojcik,Todd Eagen,8
Ronald R Donatucci,12,22,20,8
Michael Wojcik,,6,0,8
Todd Eagen,,,4,8
Total,54,28,24,8
,Register Of Wills - Democrat,Judge Of The Commonwealth Court - Democrat,,9
,Ronald R Donatucci,Michael Wojcik,Todd Eagen,9
Ronald R Donatucci,5,14,12,9
Michael Wojcik,,6,0,9
Todd Eagen,,,3,9
Total,31,20,15,9
,Register Of Wills - Democrat,Judge Of The Commonwealth Court - Democrat,,10
,Ronald R Donatucci,Todd Eagen,Michael Wojcik,10
Ronald R Donatucci,4,20,19,10
Todd Eagen,,4,0,10
Michael Wojcik,,,4,10
Total,43,24,23,10
,Register Of Wills - Democrat,Judge Of The Commonwealth Court - Democrat,,11
,Ronald R Donatucci,Todd Eagen,Michael Wojcik,11
Ronald R Donatucci,12,33,30,11
Todd Eagen,,5,0,11
Michael Wojcik,,,6,11
Total,75,38,36,11
,Register Of Wills - Democrat,Judge Of The Commonwealth Court - Democrat,,12
,Ronald R Donatucci,Todd Eagen,Michael Wojcik,12
Ronald R Donatucci,4,22,18,12
Todd Eagen,,5,0,12
Michael Wojcik,,,7,12
Total,44,27,25,12
,Register Of Wills - Democrat,Judge Of The Commonwealth Court - Democrat,,13
,Ronald R Donatucci,Michael Wojcik,Todd Eagen,13
Ronald R Donatucci,16,34,31,13
Michael Wojcik,,5,0,13
Todd Eagen,,,3,13
Total,81,39,34,13
,Register Of Wills - Democrat,Judge Of The Commonwealth Court - Democrat,,14
,Ronald R Donatucci,Michael Wojcik,Todd Eagen,14
Ronald R Donatucci,20,30,22,14
Michael Wojcik,,7,0,14
Todd Eagen,,,2,14
Total,72,37,24,14
,Register Of Wills - Democrat,Judge Of The Commonwealth Court - Democrat,,15
,Ronald R Donatucci,Todd Eagen,Michael Wojcik,15
Ronald R Donatucci,15,40,24,15
Todd Eagen,,3,0,15
Michael Wojcik,,,5,15
Total,79,43,29,15
,Register Of Wills - Democrat,Judge Of The Commonwealth Court - Democrat,,16
,Ronald R Donatucci,Todd Eagen,Michael Wojcik,16
Ronald R Donatucci,11,22,17,16
