col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,division
Jennifer Schultz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,3,1,2,0,2,0,0,0,0,0,6
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,0,2,0,1,0,0,1,0,0,6
Jodi Lobel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0,0,1,0,1,0,0,6
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,0,0,6
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,1,1,0,0,0,0,6
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,1,0,0,0,0,6
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,6
Vince Giusini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,6
Joshua Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,6
Starr Marshall Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,6
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,6
William J Ciancaglini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6
Tangie M Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6
Total,51,33,26,23,9,4,29,29,22,20,19,18,18,18,17,17,16,14,14,12,12,12,12,11,10,10,10,9,9,9,9,8,8,8,8,7,7,6,6,6,5,5,4,4,3,2,1,1,0,6
,Justice Of The Supreme Court - Democrat,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
,Kevin M Dougherty,Anne E Lazarus,David Wecht,Christine Donohue,Dwayne D Woodruff,John Henry Foradora,Lyris Younge,Frances Fattah,Tracy B Roman,Ken Powell,Lynne M Summers,Scott Diclaudio,Jennifer Schultz,Kai Scott,Leon Goodman,Daine Grey Jr,Sandjai Weaver,Stephanie M Sawyer,Jon Marshall,Abbe Fletman,Rainy Papademetriou,Edward William Louden Jr,Mia Roberts Perez,Thomas Martin,Vincent Furlong,Chris Mallios,Lucretia Clemons,Michael Fanning,Brian T Ortelere,James F Berardinelli,Leon A King Ii,Jodi Lobel,Betsy Wahl,Sherman Toppin,Vincent N Melchiorre,Shanese Johnson,Franklin A Bennett Iii,Wayne M D Bennett,Anthony Kyriakakis,Deborah Watson Stokes,Starr Marshall Cash,Stella Tsai,Vince Giusini,William J Ciancaglini,Chris Mccabe,Joshua Hill,Marissa Brumbach,Rania Major,Tangie M Boston,7
Kevin M Dougherty,5,31,25,14,3,2,21,22,24,16,18,14,16,14,15,14,15,15,8,11,9,8,12,13,12,7,9,8,5,6,8,6,8,5,5,6,4,5,4,4,5,5,2,4,3,2,3,2,3,7
Anne E Lazarus,,4,15,9,3,2,26,31,14,8,18,9,17,15,8,7,14,8,2,6,8,4,6,12,9,2,8,4,5,4,7,8,7,4,0,6,3,6,3,5,5,4,3,4,2,1,3,1,3,7
David Wecht,,,1,15,2,2,21,7,21,24,9,20,8,7,17,13,7,8,12,11,5,13,7,7,6,6,4,9,5,7,4,4,3,4,6,3,4,4,4,3,3,2,2,3,2,1,1,1,1,7
Christine Donohue,,,,0,0,1,12,9,15,15,6,11,10,6,10,6,4,5,10,6,3,6,4,4,4,3,3,3,4,3,3,1,4,1,2,3,1,0,3,1,2,2,1,0,0,2,1,2,1,7
Dwayne D Woodruff,,,,,0,0,5,2,2,1,1,1,2,3,1,5,2,2,0,2,2,2,2,1,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
John Henry Foradora,,,,,,0,1,1,1,2,2,0,3,1,2,3,0,1,2,2,3,2,2,1,3,0,0,0,2,3,2,0,0,2,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,7
Lyris Younge,,,,,,,2,20,19,17,14,15,15,19,8,14,9,13,8,13,6,8,7,4,3,8,2,8,4,5,0,5,3,2,7,1,2,2,0,1,2,1,0,1,1,0,0,0,1,7
Frances Fattah,,,,,,,,1,8,6,16,7,12,12,5,5,9,8,3,3,2,3,6,8,8,3,3,1,2,1,5,4,6,3,0,3,3,3,1,4,5,4,1,3,1,1,2,2,3,7
Tracy B Roman,,,,,,,,,0,19,11,19,12,11,15,13,8,14,9,12,7,10,11,7,4,10,6,8,6,4,6,2,4,3,7,4,3,1,3,3,2,3,1,2,0,1,2,2,1,7
Ken Powell,,,,,,,,,,0,6,17,8,6,12,11,4,9,11,11,4,11,6,4,2,6,2,8,5,7,2,1,3,3,6,3,3,1,2,2,2,1,1,1,0,1,1,1,1,7
Lynne M Summers,,,,,,,,,,,0,3,12,9,8,5,11,8,4,2,6,4,7,8,5,1,8,1,0,2,6,4,2,4,0,5,3,3,4,3,3,4,1,4,0,2,1,3,2,7
Scott Diclaudio,,,,,,,,,,,,0,7,11,10,8,4,8,7,11,5,7,6,2,1,9,2,8,5,5,2,3,3,2,7,2,1,0,2,2,3,1,1,0,1,1,2,1,0,7
Jennifer Schultz,,,,,,,,,,,,,0,11,10,7,7,8,6,9,10,5,3,6,8,2,4,3,8,7,4,2,5,4,0,4,1,3,1,3,3,1,2,3,0,0,2,0,2,7
Kai Scott,,,,,,,,,,,,,,0,2,9,7,15,2,8,6,0,9,3,3,10,4,8,1,0,2,4,2,2,7,3,2,0,2,1,1,1,0,1,0,2,2,1,2,7
