col_1,col_2,col_3,division
,Judge Of The Superior Court - Democrat,,All
,Alice Beck Dubow,Robert Colville,All
Alice Beck Dubow,"3,944",0,All
Robert Colville,,346,All
Total,"3,944",346,All
,Judge Of The Superior Court - Democrat,,1
,Alice Beck Dubow,Robert Colville,1
Alice Beck Dubow,236,0,1
Robert Colville,,23,1
Total,236,23,1
,Judge Of The Superior Court - Democrat,,2
,Alice Beck Dubow,Robert Colville,2
Alice Beck Dubow,144,0,2
Robert Colville,,15,2
Total,144,15,2
,Judge Of The Superior Court - Democrat,,3
,Alice Beck Dubow,Robert Colville,3
Alice Beck Dubow,181,0,3
Robert Colville,,5,3
Total,181,5,3
,Judge Of The Superior Court - Democrat,,4
,Alice Beck Dubow,Robert Colville,4
Alice Beck Dubow,172,0,4
Robert Colville,,19,4
Total,172,19,4
,Judge Of The Superior Court - Democrat,,5
,Alice Beck Dubow,Robert Colville,5
Alice Beck Dubow,162,0,5
Robert Colville,,15,5
Total,162,15,5
,Judge Of The Superior Court - Democrat,,6
,Alice Beck Dubow,Robert Colville,6
Alice Beck Dubow,168,0,6
Robert Colville,,4,6
Total,168,4,6
,Judge Of The Superior Court - Democrat,,7
,Alice Beck Dubow,Robert Colville,7
Alice Beck Dubow,115,0,7
Robert Colville,,13,7
Total,115,13,7
,Judge Of The Superior Court - Democrat,,8
,Alice Beck Dubow,Robert Colville,8
Alice Beck Dubow,185,0,8
Robert Colville,,16,8
Total,185,16,8
,Judge Of The Superior Court - Democrat,,9
,Alice Beck Dubow,Robert Colville,9
Alice Beck Dubow,139,0,9
Robert Colville,,12,9
Total,139,12,9
,Judge Of The Superior Court - Democrat,,10
,Alice Beck Dubow,Robert Colville,10
Alice Beck Dubow,70,0,10
Robert Colville,,3,10
Total,70,3,10
,Judge Of The Superior Court - Democrat,,11
,Alice Beck Dubow,Robert Colville,11
Alice Beck Dubow,136,0,11
Robert Colville,,16,11
Total,136,16,11
,Judge Of The Superior Court - Democrat,,12
,Alice Beck Dubow,Robert Colville,12
Alice Beck Dubow,138,0,12
Robert Colville,,16,12
Total,138,16,12
,Judge Of The Superior Court - Democrat,,13
,Alice Beck Dubow,Robert Colville,13
Alice Beck Dubow,30,0,13
Robert Colville,,3,13
Total,30,3,13
,Judge Of The Superior Court - Democrat,,14
,Alice Beck Dubow,Robert Colville,14
Alice Beck Dubow,110,0,14
Robert Colville,,12,14
Total,110,12,14
,Judge Of The Superior Court - Democrat,,15
,Alice Beck Dubow,Robert Colville,15
Alice Beck Dubow,96,0,15
Robert Colville,,7,15
Total,96,7,15
,Judge Of The Superior Court - Democrat,,16
,Alice Beck Dubow,Robert Colville,16
Alice Beck Dubow,117,0,16
Robert Colville,,9,16
Total,117,9,16
,Judge Of The Superior Court - Democrat,,17
,Alice Beck Dubow,Robert Colville,17
Alice Beck Dubow,200,0,17
Robert Colville,,10,17
Total,200,10,17
,Judge Of The Superior Court - Democrat,,18
,Alice Beck Dubow,Robert Colville,18
Alice Beck Dubow,242,0,18
Robert Colville,,16,18
Total,242,16,18
,Judge Of The Superior Court - Democrat,,19
,Alice Beck Dubow,Robert Colville,19
Alice Beck Dubow,268,0,19
Robert Colville,,15,19
Total,268,15,19
,Judge Of The Superior Court - Democrat,,20
,Alice Beck Dubow,Robert Colville,20
Alice Beck Dubow,82,0,20
Robert Colville,,8,20
Total,82,8,20
,Judge Of The Superior Court - Democrat,,21
,Alice Beck Dubow,Robert Colville,21
Alice Beck Dubow,174,0,21
Robert Colville,,13,21
Total,174,13,21
,Judge Of The Superior Court - Democrat,,22
,Alice Beck Dubow,Robert Colville,22
Alice Beck Dubow,108,0,22
Robert Colville,,9,22
Total,108,9,22
,Judge Of The Superior Court - Democrat,,23
,Alice Beck Dubow,Robert Colville,23
Alice Beck Dubow,140,0,23
Robert Colville,,22,23
Total,140,22,23
,Judge Of The Superior Court - Democrat,,24
,Alice Beck Dubow,Robert Colville,24
Alice Beck Dubow,98,0,24
Robert Colville,,7,24
Total,98,7,24
,Judge Of The Superior Court - Democrat,,25
,Alice Beck Dubow,Robert Colville,25
Alice Beck Dubow,83,0,25
Robert Colville,,13,25
Total,83,13,25
,Judge Of The Superior Court - Democrat,,26
,Alice Beck Dubow,Robert Colville,26
Alice Beck Dubow,130,0,26
Robert Colville,,21,26
Total,130,21,26
,Judge Of The Superior Court - Democrat,,27
,Alice Beck Dubow,Robert Colville,27
Alice Beck Dubow,141,0,27
Robert Colville,,14,27
Total,141,14,27
,Judge Of The Superior Court - Democrat,,28
,Alice Beck Dubow,Robert Colville,28
Alice Beck Dubow,59,0,28
Robert Colville,,9,28
Total,59,9,28
,Judge Of The Superior Court - Democrat,,29
,Alice Beck Dubow,Robert Colville,29
Alice Beck Dubow,20,0,29
Robert Colville,,1,29
Total,20,1,29
