col_1,col_2,division
,City Commissioners - Republican,All
,Al Schmidt,All
Al Schmidt,72,All
Total,72,All
,City Commissioners - Republican,1
,Al Schmidt,1
Al Schmidt,10,1
Total,10,1
,City Commissioners - Republican,2
,Al Schmidt,2
Al Schmidt,6,2
Total,6,2
,City Commissioners - Republican,3
,Al Schmidt,3
Al Schmidt,5,3
Total,5,3
,City Commissioners - Republican,5
,Al Schmidt,5
Al Schmidt,3,5
Total,3,5
,City Commissioners - Republican,6
,Al Schmidt,6
Al Schmidt,6,6
Total,6,6
,City Commissioners - Republican,7
,Al Schmidt,7
Al Schmidt,9,7
Total,9,7
,City Commissioners - Republican,9
,Al Schmidt,9
Al Schmidt,1,9
Total,1,9
,City Commissioners - Republican,10
,Al Schmidt,10
Al Schmidt,1,10
Total,1,10
,City Commissioners - Republican,11
,Al Schmidt,11
Al Schmidt,8,11
Total,8,11
,City Commissioners - Republican,12
,Al Schmidt,12
Al Schmidt,1,12
Total,1,12
,City Commissioners - Republican,14
,Al Schmidt,14
Al Schmidt,2,14
Total,2,14
,City Commissioners - Republican,15
,Al Schmidt,15
Al Schmidt,1,15
Total,1,15
,City Commissioners - Republican,16
,Al Schmidt,16
Al Schmidt,2,16
Total,2,16
,City Commissioners - Republican,18
,Al Schmidt,18
Al Schmidt,2,18
Total,2,18
,City Commissioners - Republican,19
,Al Schmidt,19
Al Schmidt,2,19
Total,2,19
,City Commissioners - Republican,22
,Al Schmidt,22
Al Schmidt,2,22
Total,2,22
,City Commissioners - Republican,23
,Al Schmidt,23
Al Schmidt,2,23
Total,2,23
,City Commissioners - Republican,24
,Al Schmidt,24
Al Schmidt,2,24
Total,2,24
,City Commissioners - Republican,26
,Al Schmidt,26
Al Schmidt,5,26
Total,5,26
,City Commissioners - Republican,27
,Al Schmidt,27
Al Schmidt,1,27
Total,1,27
,City Commissioners - Republican,28
,Al Schmidt,28
Al Schmidt,1,28
Total,1,28
