col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Lyris Younge,Ken Powell,Tracy B Roman,Scott Diclaudio,Daine Grey Jr,Abbe Fletman,Kai Scott,Stephanie M Sawyer,Mia Roberts Perez,Vincent N Melchiorre,Chris Mallios,Jon Marshall,Michael Fanning,Leon Goodman,Lynne M Summers,Wayne M D Bennett,Frances Fattah,Jennifer Schultz,Edward William Louden Jr,Brian T Ortelere,Deborah Watson Stokes,Jodi Lobel,Rania Major,Sandjai Weaver,Shanese Johnson,Sherman Toppin,Thomas Martin,Vince Giusini,Chris Mccabe,James F Berardinelli,Lucretia Clemons,Vincent Furlong,Anthony Kyriakakis,Franklin A Bennett Iii,Marissa Brumbach,Rainy Papademetriou,Betsy Wahl,Joshua Hill,Leon A King Ii,Stella Tsai,Tangie M Boston,William J Ciancaglini,Starr Marshall Cash,1
Lyris Younge,4,28,27,25,17,21,20,19,17,16,17,6,13,4,3,2,4,2,2,1,1,1,1,1,2,2,0,2,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1
Ken Powell,,2,28,24,20,20,17,16,15,17,14,8,11,8,3,2,1,2,1,3,3,3,2,3,3,2,2,1,3,3,3,1,0,2,1,0,0,2,0,1,0,0,0,1
Tracy B Roman,,,5,26,16,18,15,15,13,15,14,6,12,4,1,1,1,1,1,2,0,0,2,1,2,0,0,0,0,1,0,2,0,2,0,1,0,1,0,0,1,0,0,1
Scott Diclaudio,,,,4,13,15,14,14,12,14,13,4,11,3,0,1,1,0,1,1,0,0,2,1,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,1,0,0,1
Daine Grey Jr,,,,,1,19,18,14,14,14,14,5,10,6,3,4,4,1,1,3,3,3,2,4,3,2,1,3,2,2,3,2,0,1,1,0,0,1,0,1,0,0,0,1
Abbe Fletman,,,,,,0,16,16,13,16,16,4,11,3,4,3,3,2,1,2,2,1,0,0,3,3,1,2,2,0,1,2,1,1,2,0,1,1,0,0,0,0,0,1
Kai Scott,,,,,,,0,17,16,14,16,4,12,2,2,5,4,2,3,2,2,3,4,5,2,4,0,3,2,1,2,0,1,0,1,1,1,0,1,2,0,0,0,1
Stephanie M Sawyer,,,,,,,,1,16,18,16,2,14,3,4,2,3,2,2,1,1,2,4,3,3,4,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1
