col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,division
,Judge Of The Municipal Court - Democrat,,,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,All
,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Christian Dicicco,Matthew Perks,Daniel R Sulman,Gary S Silver,Franklin A Bennett Iii,Derek S Green,Blondell Reynolds Brown,Allan Domb,William K Greenlee,Helen Gym,Isaiah Thomas,W Wilson Goode Jr,Sherrie Cohen,Ed Neilson,Paul Steinke,Jenne Ayers,Thomas Wyatt,Frank Rizzo,Wilson Alexander,Carla M Cain,Marnie Aument Loughrey,All
Sharon Williams Losier,"1,876","32,555","25,253","14,688","11,929","4,623","6,321","4,449","32,618","29,109","17,215","21,712","14,696","20,221","20,200","18,695","16,820","9,070","16,860","8,925","7,417","9,670","8,236","4,964",All
Christine Hope,,"1,369","20,047","16,913","8,765","5,653","6,789","5,499","23,351","27,001","20,117","21,620","16,398","18,446","18,721","19,948","18,418","10,857","12,389","10,694","9,859","5,813","9,999","5,443",All
Joffie C Pittman,,,895,"5,944","16,959","12,747","3,544","2,553","22,451","22,681","15,099","17,948","18,531","14,798","17,873","18,646","10,916","13,258","11,910","10,070","5,334","7,351","4,546","2,713",All
Christian Dicicco,,,,"1,120","5,250","4,274","4,342","3,230","14,046","13,921","13,636","13,939","9,714","10,349","8,032","9,950","11,946","8,745","6,660","7,060","9,955","3,139","4,677","3,675",All
Matthew Perks,,,,,537,"9,217","3,812","2,408","16,274","10,777","12,105","9,024","12,213","8,851","8,632","10,072","5,496","11,072","9,299","9,363","5,261","7,006","3,870","2,079",All
Daniel R Sulman,,,,,,176,"2,550","1,239","8,288","7,490","8,135","8,382","12,207","6,841","5,962","10,126","4,420","9,515","3,448","5,807","3,362","1,695","1,979","1,404",All
Gary S Silver,,,,,,,293,"2,660","7,292","6,192","8,302","4,691","4,347","4,594","4,758","5,580","3,189","4,513","4,203","5,649","3,960","3,193","3,777","1,731",All
Franklin A Bennett Iii,,,,,,,,122,"5,555","5,597","4,636","3,812","3,092","4,385","4,524","3,647","2,410","2,713","2,812","3,037","3,067","2,125","1,956","1,485",All
Derek S Green,,,,,,,,,"3,580","22,987","17,391","18,511","11,548","20,049","14,751","11,371","13,042","10,547","12,562","12,389","5,720","10,395","5,356","3,120",All
Blondell Reynolds Brown,,,,,,,,,,"2,000","14,695","25,554","15,329","20,600","27,570","19,167","16,564","8,386","8,004","5,871","6,713","4,394","4,881","3,292",All
Allan Domb,,,,,,,,,,,"3,741","14,167","14,066","11,964","10,184","12,337","10,648","15,132","8,246","11,839","9,953","4,685","5,746","3,101",All
William K Greenlee,,,,,,,,,,,,728,"12,142","14,004","16,867","17,362","21,724","8,645","3,958","4,818","6,533","2,083","2,105","3,162",All
Helen Gym,,,,,,,,,,,,,"2,281","11,973","11,700","19,277","6,223","17,175","7,747","9,411","5,054","2,142","4,895","3,205",All
Isaiah Thomas,,,,,,,,,,,,,,"2,205","17,769","9,817","9,958","9,832","5,627","8,422","4,475","2,923","2,841","1,379",All
W Wilson Goode Jr,,,,,,,,,,,,,,,"1,173","13,880","11,092","6,093","5,323","4,532","6,574","3,028","2,756","1,316",All
Sherrie Cohen,,,,,,,,,,,,,,,,497,"10,226","11,735","8,050","6,602","6,482","2,699","5,825","2,903",All
Ed Neilson,,,,,,,,,,,,,,,,,"2,205","5,091","2,374","3,599","5,212","1,488","1,488","2,580",All
Paul Steinke,,,,,,,,,,,,,,,,,,587,"4,533","12,740","5,139","2,137","2,390","2,056",All
Jenne Ayers,,,,,,,,,,,,,,,,,,,"1,397","5,570","3,871","7,356","6,552","3,161",All
Thomas Wyatt,,,,,,,,,,,,,,,,,,,,548,"3,868","4,296","3,880","1,755",All
Frank Rizzo,,,,,,,,,,,,,,,,,,,,,"1,186","1,886","2,584","2,016",All
Wilson Alexander,,,,,,,,,,,,,,,,,,,,,,906,"2,348","1,012",All
Carla M Cain,,,,,,,,,,,,,,,,,,,,,,,293,"2,630",All
Marnie Aument Loughrey,,,,,,,,,,,,,,,,,,,,,,,,232,All
Total,"70,009","63,606","55,585","38,345","36,632","23,818","19,042","12,662","67,939","62,105","56,882","50,197","48,463","47,370","45,755","45,152","40,309","36,468","32,305","29,947","25,656","19,040","16,888","10,726",All
