col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,1
,Blondell Reynolds Brown,Derek S Green,W Wilson Goode Jr,William K Greenlee,Jenne Ayers,Ed Neilson,Isaiah Thomas,Allan Domb,Wilson Alexander,Helen Gym,Sherrie Cohen,Thomas Wyatt,Paul Steinke,Carla M Cain,Frank Rizzo,Marnie Aument Loughrey,Sharon Williams Losier,Joffie C Pittman,Matthew Perks,Christine Hope,Gary S Silver,Franklin A Bennett Iii,Christian Dicicco,Daniel R Sulman,1
Blondell Reynolds Brown,3,44,46,37,15,29,12,10,5,5,4,4,2,3,0,1,40,36,37,10,8,4,3,2,1
Derek S Green,,0,37,37,10,28,7,8,6,0,1,2,2,1,0,1,46,40,39,4,6,4,3,1,1
W Wilson Goode Jr,,,2,37,10,27,12,5,2,6,4,1,0,2,2,0,36,33,33,3,6,4,1,1,1
William K Greenlee,,,,0,5,29,5,4,0,2,2,1,2,0,0,1,36,34,33,3,4,2,2,1,1
Jenne Ayers,,,,,2,4,9,4,4,3,4,2,2,2,1,0,20,11,14,4,4,2,1,2,1
Ed Neilson,,,,,,1,2,0,0,0,0,0,1,0,0,0,28,27,27,0,0,0,0,1,1
Isaiah Thomas,,,,,,,1,4,2,6,2,0,1,1,0,0,9,8,10,1,3,3,1,0,1
Allan Domb,,,,,,,,2,2,2,2,2,0,2,0,1,5,4,4,6,4,2,2,0,1
Wilson Alexander,,,,,,,,,1,0,1,2,1,0,0,0,6,5,3,4,1,2,1,0,1
Helen Gym,,,,,,,,,,0,3,0,0,0,0,0,3,1,2,2,2,1,0,0,1
Sherrie Cohen,,,,,,,,,,,1,0,0,0,0,0,2,1,3,3,1,1,1,0,1
Thomas Wyatt,,,,,,,,,,,,1,2,2,0,0,3,1,2,4,3,1,0,0,1
Paul Steinke,,,,,,,,,,,,,1,1,0,0,2,2,4,2,1,0,0,0,1
Carla M Cain,,,,,,,,,,,,,,0,0,0,1,2,3,2,2,0,0,0,1
Frank Rizzo,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1
Marnie Aument Loughrey,,,,,,,,,,,,,,,,0,1,0,0,1,0,0,1,0,1
Sharon Williams Losier,,,,,,,,,,,,,,,,,0,39,40,6,3,2,1,1,1
Joffie C Pittman,,,,,,,,,,,,,,,,,,0,38,2,3,1,1,0,1
Matthew Perks,,,,,,,,,,,,,,,,,,,0,4,3,1,2,1,1
Christine Hope,,,,,,,,,,,,,,,,,,,,0,5,2,2,0,1
Gary S Silver,,,,,,,,,,,,,,,,,,,,,0,4,2,0,1
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
Christian Dicicco,,,,,,,,,,,,,,,,,,,,,,,0,0,1
Daniel R Sulman,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,65,59,55,42,36,31,20,15,12,7,7,6,5,4,2,1,63,48,48,13,12,6,4,3,1
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,2
,Derek S Green,Blondell Reynolds Brown,W Wilson Goode Jr,Allan Domb,Isaiah Thomas,Paul Steinke,William K Greenlee,Sherrie Cohen,Helen Gym,Thomas Wyatt,Jenne Ayers,Ed Neilson,Frank Rizzo,Carla M Cain,Wilson Alexander,Marnie Aument Loughrey,Joffie C Pittman,Sharon Williams Losier,Christine Hope,Matthew Perks,Franklin A Bennett Iii,Gary S Silver,Daniel R Sulman,Christian Dicicco,2
Derek S Green,6,52,49,29,35,19,23,14,16,17,11,14,9,5,5,2,55,49,34,26,14,6,9,10,2
Blondell Reynolds Brown,,2,65,29,36,12,33,20,21,6,13,20,10,5,4,1,54,49,32,26,12,5,9,11,2
W Wilson Goode Jr,,,1,28,41,12,31,11,18,9,12,20,12,6,3,1,53,51,27,21,11,9,7,15,2
Allan Domb,,,,2,25,30,12,17,13,18,13,4,13,9,2,3,28,36,31,15,10,14,9,11,2
Isaiah Thomas,,,,,1,16,14,14,17,14,8,4,6,6,3,2,37,36,26,10,16,6,5,7,2
Paul Steinke,,,,,,1,4,15,15,16,6,3,6,4,0,3,16,17,17,5,8,7,8,4,2
William K Greenlee,,,,,,,1,10,6,3,6,20,2,1,2,1,27,22,12,16,8,6,3,3,2
Sherrie Cohen,,,,,,,,0,14,8,10,7,5,7,4,1,23,17,17,7,10,8,12,3,2
Helen Gym,,,,,,,,,1,6,10,4,3,3,2,2,22,20,21,6,9,3,11,4,2
Thomas Wyatt,,,,,,,,,,0,2,2,3,4,3,0,15,11,12,7,7,6,5,1,2
Jenne Ayers,,,,,,,,,,,1,3,2,7,4,4,17,22,12,10,3,3,3,4,2
Ed Neilson,,,,,,,,,,,,0,1,1,0,1,19,12,3,11,5,4,2,2,2
Frank Rizzo,,,,,,,,,,,,,1,0,1,0,11,12,6,5,2,2,3,4,2
Carla M Cain,,,,,,,,,,,,,,1,1,0,5,10,9,1,2,2,0,2,2
Wilson Alexander,,,,,,,,,,,,,,,0,0,7,6,2,4,1,3,2,0,2
Marnie Aument Loughrey,,,,,,,,,,,,,,,,0,2,3,4,2,1,0,1,1,2
Joffie C Pittman,,,,,,,,,,,,,,,,,0,49,28,26,10,5,14,7,2
