col_1,col_2,division
,Sheriff - Republican,All
,Christopher Sawyer,All
Christopher Sawyer,16,All
Total,16,All
,Sheriff - Republican,2
,Christopher Sawyer,2
Christopher Sawyer,1,2
Total,1,2
,Sheriff - Republican,3
,Christopher Sawyer,3
Christopher Sawyer,1,3
Total,1,3
,Sheriff - Republican,4
,Christopher Sawyer,4
Christopher Sawyer,1,4
Total,1,4
,Sheriff - Republican,6
,Christopher Sawyer,6
Christopher Sawyer,1,6
Total,1,6
,Sheriff - Republican,7
,Christopher Sawyer,7
Christopher Sawyer,1,7
Total,1,7
,Sheriff - Republican,8
,Christopher Sawyer,8
Christopher Sawyer,2,8
Total,2,8
,Sheriff - Republican,11
,Christopher Sawyer,11
Christopher Sawyer,1,11
Total,1,11
,Sheriff - Republican,12
,Christopher Sawyer,12
Christopher Sawyer,2,12
Total,2,12
,Sheriff - Republican,13
,Christopher Sawyer,13
Christopher Sawyer,2,13
Total,2,13
,Sheriff - Republican,16
,Christopher Sawyer,16
Christopher Sawyer,1,16
Total,1,16
,Sheriff - Republican,19
,Christopher Sawyer,19
Christopher Sawyer,1,19
Total,1,19
,Sheriff - Republican,20
,Christopher Sawyer,20
Christopher Sawyer,1,20
Total,1,20
,Sheriff - Republican,21
,Christopher Sawyer,21
Christopher Sawyer,1,21
Total,1,21
