col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,division
,City Commissioners - Democrat,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,All
,Anthony Clark,Tracey L Gordon,Omar Sabir,Carol A Jenkins,Lisa M Deeley,Will Mega,Blondell Reynolds Brown,Isaiah Thomas,Derek S Green,W Wilson Goode Jr,Sherrie Cohen,Allan Domb,Jenne Ayers,Helen Gym,William K Greenlee,Ed Neilson,Thomas Wyatt,Wilson Alexander,Paul Steinke,Frank Rizzo,Carla M Cain,Marnie Aument Loughrey,All
Anthony Clark,228,248,333,150,221,199,785,583,824,693,523,462,513,227,519,264,270,346,176,182,144,85,All
Tracey L Gordon,,38,183,183,71,59,332,457,360,337,349,310,325,386,169,152,198,142,159,102,146,72,All
Omar Sabir,,,31,51,65,61,503,525,240,502,384,179,252,212,282,129,84,68,62,104,58,37,All
Carol A Jenkins,,,,16,88,28,245,220,180,160,218,183,152,256,124,74,173,104,186,75,121,58,All
Lisa M Deeley,,,,,8,36,297,163,111,230,243,168,126,154,241,190,74,31,98,65,76,51,All
Will Mega,,,,,,21,161,185,240,139,121,138,212,105,89,39,78,120,69,61,39,30,All
Blondell Reynolds Brown,,,,,,,51,657,371,853,640,391,241,323,627,313,157,109,176,172,118,73,All
Isaiah Thomas,,,,,,,,83,412,743,551,330,343,446,382,186,179,103,164,127,86,38,All
Derek S Green,,,,,,,,,107,276,181,342,358,214,209,155,246,313,146,109,108,63,All
W Wilson Goode Jr,,,,,,,,,,48,627,299,284,312,545,277,103,75,80,172,78,35,All
Sherrie Cohen,,,,,,,,,,,7,178,335,438,422,201,145,64,208,121,116,59,All
Allan Domb,,,,,,,,,,,,77,218,229,264,205,206,123,165,136,110,63,All
Jenne Ayers,,,,,,,,,,,,,49,298,93,40,148,214,95,68,148,74,All
Helen Gym,,,,,,,,,,,,,,40,128,135,157,77,247,70,90,58,All
William K Greenlee,,,,,,,,,,,,,,,7,298,69,54,82,98,35,44,All
Ed Neilson,,,,,,,,,,,,,,,,28,38,49,45,61,22,27,All
Thomas Wyatt,,,,,,,,,,,,,,,,,11,116,218,59,79,36,All
Wilson Alexander,,,,,,,,,,,,,,,,,,17,49,44,42,28,All
Paul Steinke,,,,,,,,,,,,,,,,,,,10,62,47,42,All
Frank Rizzo,,,,,,,,,,,,,,,,,,,,8,46,27,All
Carla M Cain,,,,,,,,,,,,,,,,,,,,,3,54,All
Marnie Aument Loughrey,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"2,260","1,018",926,624,572,522,"1,622","1,543","1,477","1,452","1,179","1,101","1,068",959,914,624,590,542,527,414,339,192,All
,City Commissioners - Democrat,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,1
,Anthony Clark,Tracey L Gordon,Carol A Jenkins,Omar Sabir,Lisa M Deeley,Will Mega,Derek S Green,Blondell Reynolds Brown,Helen Gym,W Wilson Goode Jr,Isaiah Thomas,Sherrie Cohen,Jenne Ayers,Allan Domb,Paul Steinke,William K Greenlee,Wilson Alexander,Thomas Wyatt,Frank Rizzo,Ed Neilson,Carla M Cain,Marnie Aument Loughrey,1
Anthony Clark,3,10,8,10,4,4,35,22,11,15,14,11,15,18,7,6,11,14,7,2,6,1,1
Tracey L Gordon,,1,15,2,1,2,15,12,20,6,17,13,14,10,8,3,9,5,4,6,9,2,1
Carol A Jenkins,,,1,1,3,0,13,11,15,2,7,10,8,8,7,5,10,6,1,4,7,1,1
Omar Sabir,,,,3,3,0,10,12,6,12,10,7,5,4,4,8,3,7,3,4,0,0,1
Lisa M Deeley,,,,,0,3,7,9,7,5,6,8,3,6,6,8,1,2,2,5,0,0,1
Will Mega,,,,,,1,9,5,6,6,4,5,7,2,6,3,3,2,1,1,0,1,1
Derek S Green,,,,,,,1,18,11,12,14,5,11,13,7,8,15,8,4,7,4,1,1
Blondell Reynolds Brown,,,,,,,,2,24,23,19,19,9,11,10,13,4,6,6,7,6,2,1
Helen Gym,,,,,,,,,2,15,20,29,15,9,14,9,6,5,4,4,7,1,1
W Wilson Goode Jr,,,,,,,,,,2,13,14,6,5,3,13,2,4,5,6,2,1,1
Isaiah Thomas,,,,,,,,,,,2,16,10,10,7,8,6,3,4,8,3,1,1
Sherrie Cohen,,,,,,,,,,,,0,16,10,12,8,3,5,4,3,4,0,1
Jenne Ayers,,,,,,,,,,,,,1,11,3,2,6,8,4,0,6,2,1
Allan Domb,,,,,,,,,,,,,,1,5,5,5,7,8,1,4,0,1
