col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,division
,Justice Of The Supreme Court - Democrat,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,All
,Kevin M Dougherty,Anne E Lazarus,David Wecht,Christine Donohue,Dwayne D Woodruff,John Henry Foradora,Derek S Green,Blondell Reynolds Brown,Allan Domb,William K Greenlee,Helen Gym,Isaiah Thomas,W Wilson Goode Jr,Sherrie Cohen,Ed Neilson,Paul Steinke,Jenne Ayers,Thomas Wyatt,Frank Rizzo,Wilson Alexander,Carla M Cain,Marnie Aument Loughrey,All
Kevin M Dougherty,"10,356","58,552","34,799","35,530","9,033","8,250","45,281","45,719","42,573","40,158","31,562","33,010","32,800","31,798","34,685","24,131","18,968","21,032","20,132","11,111","12,187","8,019",All
Anne E Lazarus,,"1,113","28,165","29,578","5,800","7,030","27,233","30,758","28,652","23,449","31,296","23,189","23,422","27,740","13,632","23,828","14,995","15,894","13,482","6,780","9,505","5,884",All
David Wecht,,,"3,310","16,658","3,370","3,657","24,166","19,754","18,590","18,179","17,028","13,794","16,027","17,039","12,338","14,742","11,538","11,518","7,133","7,833","3,998","3,017",All
Christine Donohue,,,,"1,884","4,825","3,672","24,098","20,199","16,488","14,667","17,398","15,404","14,443","16,786","9,873","12,082","16,235","10,740","9,248","9,081","8,529","4,867",All
Dwayne D Woodruff,,,,,208,"1,441","6,108","6,417","4,083","3,979","3,970","5,347","5,296","4,190","2,549","2,845","3,404","3,055","2,297","2,118","1,939","1,198",All
John Henry Foradora,,,,,,238,"5,124","4,686","5,052","3,242","3,790","3,073","3,630","3,889","2,440","2,958","3,121","3,965","2,591","2,180","3,025","1,281",All
Derek S Green,,,,,,,"1,546","22,987","17,391","18,511","11,548","20,049","14,751","11,371","13,042","10,547","12,562","12,389","5,720","10,395","5,356","3,120",All
Blondell Reynolds Brown,,,,,,,,959,"14,695","25,554","15,329","20,600","27,570","19,167","16,564","8,386","8,004","5,871","6,713","4,394","4,881","3,292",All
Allan Domb,,,,,,,,,"1,306","14,167","14,066","11,964","10,184","12,337","10,648","15,132","8,246","11,839","9,953","4,685","5,746","3,101",All
William K Greenlee,,,,,,,,,,329,"12,142","14,004","16,867","17,362","21,724","8,645","3,958","4,818","6,533","2,083","2,105","3,162",All
Helen Gym,,,,,,,,,,,"1,190","11,973","11,700","19,277","6,223","17,175","7,747","9,411","5,054","2,142","4,895","3,205",All
Isaiah Thomas,,,,,,,,,,,,"1,325","17,769","9,817","9,958","9,832","5,627","8,422","4,475","2,923","2,841","1,379",All
W Wilson Goode Jr,,,,,,,,,,,,,651,"13,880","11,092","6,093","5,323","4,532","6,574","3,028","2,756","1,316",All
Sherrie Cohen,,,,,,,,,,,,,,268,"10,226","11,735","8,050","6,602","6,482","2,699","5,825","2,903",All
Ed Neilson,,,,,,,,,,,,,,,492,"5,091","2,374","3,599","5,212","1,488","1,488","2,580",All
Paul Steinke,,,,,,,,,,,,,,,,269,"4,533","12,740","5,139","2,137","2,390","2,056",All
Jenne Ayers,,,,,,,,,,,,,,,,,588,"5,570","3,871","7,356","6,552","3,161",All
Thomas Wyatt,,,,,,,,,,,,,,,,,,231,"3,868","4,296","3,880","1,755",All
Frank Rizzo,,,,,,,,,,,,,,,,,,,416,"1,886","2,584","2,016",All
Wilson Alexander,,,,,,,,,,,,,,,,,,,,417,"2,348","1,012",All
Carla M Cain,,,,,,,,,,,,,,,,,,,,,125,"2,630",All
Marnie Aument Loughrey,,,,,,,,,,,,,,,,,,,,,,137,All
Total,"140,495","81,482","63,095","61,205","14,449","14,406","67,939","62,105","56,882","50,197","48,463","47,370","45,755","45,152","40,309","36,468","32,305","29,947","25,656","19,040","16,888","10,726",All
